baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
nothing -> free+education,nothing,free+education,auc,,1.0,full,1.0,0.2301043363362436,0.015120148575869075,0.9342900320062872
nothing -> free+education+hours,nothing,free+education+hours,auc,,1.0,full,1.0,0.2301043363362436,0.012090702300172618,0.9474555651897629
free -> free+education,free,free+education,auc,,1.0,full,1.0,0.06031288678230573,0.015120148575869075,0.7493048437485015
free -> free+education+hours,free,free+education+hours,auc,,1.0,full,1.0,0.06031288678230573,0.012090702300172618,0.7995336826802374
free+education -> free+education+hours,free+education,free+education+hours,auc,,1.0,full,1.0,0.015120148575869075,0.012090702300172618,0.2003582346096312
nothing -> free,nothing,free,brier_skill,,0.25,rare-first,0.26748889330946224,0.03373654687332939,0.03132338680292113,0.07152955160078922
nothing -> free+education,nothing,free+education,brier_skill,,0.25,rare-first,0.26748889330946224,0.03373654687332939,0.0004198987845656088,0.9875535932547512
nothing -> free+education+hours,nothing,free+education+hours,brier_skill,,0.25,rare-first,0.26748889330946224,0.03373654687332939,0.00013770887160302614,0.995918110050798
free -> free+education,free,free+education,brier_skill,,0.25,rare-first,0.26748889330946224,0.03132338680292113,0.0004198987845656088,0.9865947195554713
free -> free+education+hours,free,free+education+hours,brier_skill,,0.25,rare-first,0.26748889330946224,0.03132338680292113,0.00013770887160302614,0.9956036404214699
free+education -> free+education+hours,free+education,free+education+hours,brier_skill,,0.25,rare-first,0.26748889330946224,0.0004198987845656088,0.00013770887160302614,0.6720427001343005
nothing -> free,nothing,free,brier_skill,,0.5,rare-first,0.5232080100789073,0.09692526075501284,0.06980523014242046,0.2798035352325815
nothing -> free+education,nothing,free+education,brier_skill,,0.5,rare-first,0.5232080100789073,0.09692526075501284,0.013684701071242755,0.8588118209366282
nothing -> free+education+hours,nothing,free+education+hours,brier_skill,,0.5,rare-first,0.5232080100789073,0.09692526075501284,0.009498851679722309,0.9019981828707019
free -> free+education,free,free+education,brier_skill,,0.5,rare-first,0.5232080100789073,0.06980523014242046,0.013684701071242755,0.8039588001741063
free -> free+education+hours,free,free+education+hours,brier_skill,,0.5,rare-first,0.5232080100789073,0.06980523014242046,0.009498851679722309,0.8639234959852975
free+education -> free+education+hours,free+education,free+education+hours,brier_skill,,0.5,rare-first,0.5232080100789073,0.013684701071242755,0.009498851679722309,0.30587802902882955
nothing -> free,nothing,free,brier_skill,,0.75,rare-first,0.8137059876666004,0.11536515927073321,0.08784446988030004,0.2385528660854096
nothing -> free+education,nothing,free+education,brier_skill,,0.75,rare-first,0.8137059876666004,0.11536515927073321,0.023558269082903927,0.7957939014532234
nothing -> free+education+hours,nothing,free+education+hours,brier_skill,,0.75,rare-first,0.8137059876666004,0.11536515927073321,0.017182597796903454,0.8510590380534196
free -> free+education,free,free+education,brier_skill,,0.75,rare-first,0.8137059876666004,0.08784446988030004,0.023558269082903927,0.731818415945759
free -> free+education+hours,free,free+education+hours,brier_skill,,0.75,rare-first,0.8137059876666004,0.08784446988030004,0.017182597796903454,0.8043975013985847
free+education -> free+education+hours,free+education,free+education+hours,brier_skill,,0.75,rare-first,0.8137059876666004,0.023558269082903927,0.017182597796903454,0.2706341142281652
nothing -> free,nothing,free,brier_skill,,1.0,full,1.0,0.12528291312400885,0.09932743156515111,0.20717495236693784
nothing -> free+education,nothing,free+education,brier_skill,,1.0,full,1.0,0.12528291312400885,0.02940677161352534,0.7652770766559553
nothing -> free+education+hours,nothing,free+education+hours,brier_skill,,1.0,full,1.0,0.12528291312400885,0.023685397991869528,0.8109447058560572
free -> free+education,free,free+education,brier_skill,,1.0,full,1.0,0.09932743156515111,0.02940677161352534,0.7039410850542656
