log,target,weighting,rule,adopts,regret,share_positive,n_cells
BPIC15_4,handover,uniform,one-number,True,0.15224891390702067,0.3824074074074074,1080
BPIC15_4,handover,uniform,uniform-beneficial,False,0.042014836673641906,0.3824074074074074,1080
BPIC15_4,handover,uniform,majority,False,0.042014836673641906,0.3824074074074074,1080
BPIC15_4,handover,reference-adjacent,one-number,True,0.07421283014354974,0.3602607709750567,1080
BPIC15_4,handover,reference-adjacent,uniform-beneficial,False,0.026755060882799244,0.3602607709750567,1080
BPIC15_4,handover,reference-adjacent,majority,False,0.026755060882799244,0.3602607709750567,1080
BPIC15_5,duration,uniform,one-number,True,0.04356066412644087,0.6722222222222222,1080
BPIC15_5,duration,uniform,uniform-beneficial,False,0.042274654371012396,0.6722222222222222,1080
BPIC15_5,duration,uniform,majority,True,0.04356066412644087,0.6722222222222222,1080
BPIC15_5,duration,reference-adjacent,one-number,True,0.028054500836863838,0.7389455782312926,1080
BPIC15_5,duration,reference-adjacent,uniform-beneficial,False,0.04437802122374941,0.7389455782312926,1080
BPIC15_5,duration,reference-adjacent,majority,True,0.028054500836863838,0.7389455782312926,1080
BPIC17,duration,uniform,one-number,True,0.0012787487460730294,0.6472222222222221,1080
BPIC17,duration,uniform,uniform-beneficial,False,0.005025690526421659,0.6472222222222221,1080
BPIC17,duration,uniform,majority,True,0.0012787487460730294,0.6472222222222221,1080
BPIC17,duration,reference-adjacent,one-number,True,0.001074764065840287,0.6918934240362811,1080
BPIC17,duration,reference-adjacent,uniform-beneficial,False,0.005362628902685161,0.6918934240362811,1080
BPIC17,duration,reference-adjacent,majority,True,0.001074764065840287,0.6918934240362811,1080
BPIC19,duration,uniform,one-number,True,0.09014997889852013,0.6509259259259258,1080
BPIC19,duration,uniform,uniform-beneficial,False,0.07428132067277476,0.6509259259259258,1080
BPIC19,duration,uniform,majority,True,0.09014997889852013,0.6509259259259258,1080
BPIC19,duration,reference-adjacent,one-number,True,0.08893964732477522,0.6539115646258504,1080
BPIC19,duration,reference-adjacent,uniform-beneficial,False,0.060130285511797874,0.6539115646258504,1080
BPIC19,duration,reference-adjacent,majority,True,0.08893964732477522,0.6539115646258504,1080
Helpdesk,duration,uniform,one-number,False,0.0037859787228054337,0.2574074074074074,1080
Helpdesk,duration,uniform,uniform-beneficial,False,0.0037859787228054337,0.2574074074074074,1080
Helpdesk,duration,uniform,majority,False,0.0037859787228054337,0.2574074074074074,1080
Helpdesk,duration,reference-adjacent,one-number,False,0.0034869980827457615,0.251984126984127,1080
Helpdesk,duration,reference-adjacent,uniform-beneficial,False,0.0034869980827457615,0.251984126984127,1080
Helpdesk,duration,reference-adjacent,majority,False,0.0034869980827457615,0.251984126984127,1080
RoadFines,duration,uniform,one-number,True,0.0011865823770853775,0.8638888888888887,1080
RoadFines,duration,uniform,uniform-beneficial,False,0.01573463790100645,0.8638888888888887,1080
RoadFines,duration,uniform,majority,True,0.0011865823770853775,0.8638888888888887,1080
RoadFines,duration,reference-adjacent,one-number,True,0.0009105364103202898,0.8968253968253967,1080
RoadFines,duration,reference-adjacent,uniform-beneficial,False,0.017129194624895393,0.8968253968253967,1080
RoadFines,duration,reference-adjacent,majority,True,0.0009105364103202898,0.8968253968253967,1080
Sepsis,duration,uniform,one-number,True,0.00613497271287639,0.9435185185185183,1080
Sepsis,duration,uniform,uniform-beneficial,False,0.19149037912597305,0.9435185185185183,1080
Sepsis,duration,uniform,majority,True,0.00613497271287639,0.9435185185185183,1080
Sepsis,duration,reference-adjacent,one-number,True,0.0031546923815734575,0.9659863945578231,1080
Sepsis,duration,reference-adjacent,uniform-beneficial,False,0.18637628395308758,0.9659863945578231,1080
Sepsis,duration,reference-adjacent,majority,True,0.0031546923815734575,0.9659863945578231,1080
UCI498,duration,uniform,one-number,False,0.00965549916316617,0.4925925925925925,1080
UCI498,duration,uniform,uniform-beneficial,False,0.00965549916316617,0.4925925925925925,1080
UCI498,duration,uniform,majority,False,0.00965549916316617,0.4925925925925925,1080
UCI498,duration,reference-adjacent,one-number,False,0.008599140104895098,0.4237528344671202,1080
UCI498,duration,reference-adjacent,uniform-beneficial,False,0.008599140104895098,0.4237528344671202,1080
UCI498,duration,reference-adjacent,majority,False,0.008599140104895098,0.4237528344671202,1080
UCI498,handover,uniform,one-number,False,0.007978849362110272,0.4814814814814815,1080
UCI498,handover,uniform,uniform-beneficial,False,0.007978849362110272,0.4814814814814815,1080
UCI498,handover,uniform,majority,False,0.007978849362110272,0.4814814814814815,1080
UCI498,handover,reference-adjacent,one-number,False,0.006485624311287131,0.4189342403628118,1080
UCI498,handover,reference-adjacent,uniform-beneficial,False,0.006485624311287131,0.4189342403628118,1080
UCI498,handover,reference-adjacent,majority,False,0.006485624311287131,0.4189342403628118,1080
