estimator,baseline,real,null_mean,null_sd,z_pooled,n_draws,null_se
"E2 logistic, item target-encoded",intake fields only,0.17964162968442154,0.00021828240584862064,0.001475228072024314,29.88895760197318,30,0.00026933856417085753
"E2 logistic, item target-encoded",+ intake routing queue,0.10287887685195496,-6.242082165842285e-05,0.0016184321085644974,19.97740650847556,30,0.00029548392455047505
"E3 boosting, item target-encoded",intake fields only,0.17343001887528475,-0.0036202871978503323,0.0024638689978071057,28.189356267107396,30,0.00044983887627886613
"E3 boosting, item target-encoded",+ intake routing queue,0.09181457493136413,0.004168978009033331,0.002020353771212021,16.417706206390385,30,0.00036886444487781845
