world,rep,V_hat,V_oracle,auc_full,auc_base,naive_shift,nested_shift,naive_pct_lo,naive_pct_hi,naive_pct_width,naive_basic_lo,naive_basic_hi,naive_basic_width,naive_bc_lo,naive_bc_hi,naive_bc_width,nested_pct_lo,nested_pct_hi,nested_pct_width,nested_basic_lo,nested_basic_hi,nested_basic_width,nested_bc_lo,nested_bc_hi,nested_bc_width,naive_lo,naive_hi,nested_lo,nested_hi,naive_width,nested_width,V_limit
linear,4,0.20192528993345016,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.0018050551402800652,-0.0034670441529029983,0.17319159959154215,0.2333008184492052,0.060109218857663044,0.17054976141769512,0.23065898027535817,0.060109218857663044,0.1704543325213493,0.22791753647528204,0.05746320395393273,0.17165043272156555,0.22571609448363117,0.05406566176206562,0.17813448538326915,0.23220014714533477,0.05406566176206562,0.1770756447874926,0.22930391011069007,0.052228265323197465,0.17319159959154215,0.2333008184492052,0.17165043272156555,0.22571609448363117,0.060109218857663044,0.05406566176206562,0.19181526714026131
linear,5,0.17937952786091116,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0025511508319458476,0.006249866648380453,0.15120433764102142,0.2036353943842451,0.05243105674322368,0.1551236613375772,0.2075547180808009,0.05243105674322368,0.1538176027758546,0.20812335838459126,0.054305755608736656,0.14817488676665225,0.21396308812545042,0.06578820135879818,0.1447959675963719,0.21058416895517007,0.06578820135879818,0.14116294508888763,0.2041752196484293,0.06301227455954167,0.15120433764102142,0.2036353943842451,0.14817488676665225,0.21396308812545042,0.05243105674322368,0.06578820135879818,0.19181526714026131
linear,6,0.15698918634680392,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.002571874888817771,0.00047909197207551824,0.12375117269629021,0.18324319380597298,0.05949202110968277,0.13073517888763486,0.19022719999731763,0.05949202110968277,0.128294472718909,0.19108277947866897,0.06278830675975997,0.12509661873405067,0.1843327115481089,0.05923609281405823,0.12964566114549894,0.18888175395955717,0.05923609281405823,0.12492967655259697,0.18368929365634246,0.058759617103745485,0.12375117269629021,0.18324319380597298,0.12509661873405067,0.1843327115481089,0.05949202110968277,0.05923609281405823,0.19181526714026131
linear,7,0.18665436220868636,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0023245127041212066,0.002287793839654495,0.15628346455959735,0.21789148976044626,0.061608025200848904,0.15541723465692647,0.21702525985777538,0.061608025200848904,0.15887801197426146,0.222367393006834,0.06348938103257254,0.15694153858843105,0.21312202304534544,0.0561804844569144,0.16018670137202728,0.21636718582894168,0.0561804844569144,0.15181405890124722,0.2110302786816587,0.05921621978041147,0.15628346455959735,0.21789148976044626,0.15694153858843105,0.21312202304534544,0.061608025200848904,0.0561804844569144,0.19181526714026131
linear,0,0.1823986957859639,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.0015305803826754505,0.0038855528637905534,0.15293552928196694,0.2096557186086837,0.05672018932671677,0.1551416729632441,0.21186186228996087,0.05672018932671677,0.14891801037630012,0.20721314272036434,0.05829513234406422,0.15934271924999646,0.21362529126205387,0.05428257201205741,0.15117210030987394,0.20545467232193135,0.05428257201205741,0.1587438707005327,0.2065625940872872,0.0478187233867545,0.15293552928196694,0.2096557186086837,0.15934271924999646,0.21362529126205387,0.05672018932671677,0.05428257201205741,0.19181526714026131
linear,1,0.1778969132213576,0.1919673433573298,0.7592463717580317,0.5672790284007019,-9.46218698944512e-05,-0.0035627196602223687,0.15497307016775266,0.20804845829379529,0.05307538812604262,0.1477453681489199,0.20082075627496251,0.05307538812604262,0.1572719003075274,0.20824135978777658,0.05096945948024917,0.1469665445711792,0.2058276705532425,0.058861125982063306,0.14996615588947268,0.20882728187153599,0.058861125982063306,0.15213644218809452,0.21642907459821714,0.06429263241012262,0.15497307016775266,0.20804845829379529,0.1469665445711792,0.2058276705532425,0.05307538812604262,0.058861125982063306,0.19181526714026131
linear,2,0.20431195041524186,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0028031070315502338,-0.0044277690469113895,0.1777737107142047,0.23233128929197377,0.05455757857776908,0.17629261153850995,0.23085019011627902,0.05455757857776908,0.18617292953031786,0.23861210793041976,0.0524391784001019,0.17054719006736044,0.23452845322910154,0.0639812631617411,0.17409544760138218,0.23807671076312328,0.0639812631617411,0.17458227022308528,0.24041097221845265,0.06582870199536736,0.1777737107142047,0.23233128929197377,0.17054719006736044,0.23452845322910154,0.05455757857776908,0.0639812631617411,0.19181526714026131
linear,3,0.17968746613259112,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.0004901241558329938,-0.002005337194533441,0.15474292785912674,0.20475228483437163,0.05000935697524489,0.1546226474308106,0.2046320044060555,0.05000935697524489,0.1539427782871442,0.20436191342048712,0.050419135133342924,0.14369874853133316,0.21408929100455232,0.07039054247321916,0.14528564126062993,0.2156761837338491,0.07039054247321916,0.1501723464728564,0.21641580559798265,0.06624345912512625,0.15474292785912674,0.20475228483437163,0.14369874853133316,0.21408929100455232,0.05000935697524489,0.07039054247321916,0.19181526714026131
linear,8,0.1941412971614468,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0007323250499862155,0.004444103996443904,0.1622944298192469,0.2229962285323617,0.06070179871311479,0.16528636579053188,0.22598816450364667,0.06070179871311479,0.16336761461957014,0.22386922896566058,0.06050161434609044,0.169657230438449,0.2324836761961867,0.06282644575773771,0.15579891812670688,0.2186253638844446,0.06282644575773771,0.16751220750279702,0.2200419411416042,0.05252973363880717,0.1622944298192469,0.2229962285323617,0.169657230438449,0.2324836761961867,0.06070179871311479,0.06282644575773771,0.19181526714026131
linear,9,0.18282366492305002,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0008907336531342458,-0.0032614829132865952,0.15460572982870827,0.21725383893019243,0.06264810910148416,0.14839349091590762,0.21104160001739178,0.06264810910148416,0.1573901487862979,0.22027995024805838,0.06288980146176049,0.1484917505180019,0.21239783720795222,0.06390608668995032,0.15324949263814783,0.21715557932809815,0.06390608668995032,0.15518280663281842,0.21977260272078347,0.06458979608796506,0.15460572982870827,0.21725383893019243,0.1484917505180019,0.21239783720795222,0.06264810910148416,0.06390608668995032,0.19181526714026131
linear,10,0.17919248440228652,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.001635239106131503,-0.0010359669031753116,0.1475382763382746,0.2048525572866394,0.0573142809483648,0.15353241151793365,0.21084669246629845,0.0573142809483648,0.14701081114716477,0.20411065276169083,0.05709984161452605,0.14241978473407516,0.20970377171862065,0.06728398698454549,0.1486811970859524,0.2159651840704979,0.06728398698454549,0.14382546008155148,0.2109592856107396,0.06713382552918812,0.1475382763382746,0.2048525572866394,0.14241978473407516,0.20970377171862065,0.0573142809483648,0.06728398698454549,0.19181526714026131
linear,11,0.21298799180797057,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0002803373998960801,0.0017394173964841997,0.1862402336795523,0.24616665968882245,0.059926426009270145,0.17980932392711868,0.23973574993638883,0.059926426009270145,0.18758209359060932,0.251380117080067,0.0637980234894577,0.1802081689250697,0.25107403471566964,0.07086586579059995,0.1749019489002715,0.24576781469087144,0.07086586579059995,0.17786156661327812,0.24802868526041075,0.07016711864713263,0.1862402336795523,0.24616665968882245,0.1802081689250697,0.25107403471566964,0.059926426009270145,0.07086586579059995,0.19181526714026131
linear,12,0.19518085738190305,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.00045648985934071407,-0.002756750185263779,0.16880124668871632,0.21855329343993327,0.049752046751216944,0.17180842132387283,0.22156046807508978,0.049752046751216944,0.16936966899032355,0.2195610244813037,0.050191355490980166,0.1690469484493379,0.2182365483735477,0.04918959992420979,0.1721251663902584,0.2213147663144682,0.04918959992420979,0.1721746777231494,0.22290303224586552,0.050728354522716124,0.16880124668871632,0.21855329343993327,0.1690469484493379,0.2182365483735477,0.049752046751216944,0.04918959992420979,0.19181526714026131
linear,13,0.18677430822108998,0.1919673433573298,0.7592463717580317,0.5672790284007019,0.002065325401829854,-0.0028966584206338575,0.15050183534117853,0.21428208924496953,0.063780253903791,0.15926652719721043,0.22304678110100143,0.063780253903791,0.14527509367470026,0.2122457299524202,0.06697063627771993,0.15214808693972734,0.21401264862964423,0.061864561689916886,0.15953596781253573,0.22140052950245262,0.061864561689916886,0.1563120826616047,0.2156344311011927,0.059322348439588,0.15050183534117853,0.21428208924496953,0.15214808693972734,0.21401264862964423,0.063780253903791,0.061864561689916886,0.19181526714026131
linear,14,0.20231553819444448,0.1919673433573298,0.7592463717580317,0.5672790284007019,-0.0004770205987872367,-0.006484263524926759,0.17308490707264235,0.23306870734725385,0.059983800274611504,0.1715623690416351,0.2315461693162466,0.059983800274611504,0.17519820236130473,0.2341202901258569,0.058922087764552156,0.16419545844650862,0.22307685890196458,0.05888140045545595,0.18155421748692438,0.24043561794238033,0.05888140045545595,0.18476747409596295,0.23317918015252517,0.048411706056562226,0.17308490707264235,0.23306870734725385,0.16419545844650862,0.22307685890196458,0.059983800274611504,0.05888140045545595,0.19181526714026131
