log,target,family,encoding,split,quality,level,quality_level,rung,metric,without_f,with_f,V
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,logloss_skill,-0.009732859508883474,-0.01678510836430447,-0.007052248855420995
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,auc,0.38382013449764135,0.42310298102981025,0.0392828465321689
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,ap,0.21830905577104565,0.22801189427987217,0.009702838508826528
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,brier_skill,-0.09418510187912976,-0.07425078759050874,0.019934314288621025
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,nagelkerke,-0.1273169897311137,-0.09698004239716077,0.030336947333952924
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,logloss_skill,-0.06865604817544968,-0.052836525960098246,0.015819522215351434
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,auc,0.5252684934256749,0.5232861587875139,-0.0019823346381609985
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,ap,0.3260626732216346,0.3337978280290326,0.007735154807397948
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,brier_skill,0.01785383493607362,0.019639510039258568,0.0017856751031849472
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,nagelkerke,0.005430747568842117,0.00265252532648977,-0.0027782222423523473
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,logloss_skill,0.003067265406079489,0.0014966298693301905,-0.0015706355367492986
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,auc,0.5013528138528138,0.5022321428571428,0.0008793290043289659
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,ap,0.37560184975730887,0.36690707604805195,-0.00869477370925692
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,brier_skill,-0.02309386740918895,0.010834620138538309,0.03392848754772726
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,nagelkerke,-0.040340290569673296,-0.014678354977432593,0.025661935592240705
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,logloss_skill,-0.020961451278054044,-0.007701111479379019,0.013260339798675025
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,auc,0.5359848484848485,0.5160984848484849,-0.019886363636363646
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,ap,0.41505495965533323,0.37125354530755067,-0.043801414347782563
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,brier_skill,0.024245110432028483,0.01227632782304744,-0.011968782608981043
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,nagelkerke,0.027204720130776353,-0.014153852775803149,-0.0413585729065795
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,logloss_skill,0.014504845004072231,-0.007427405219178063,-0.021932250223250294
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,auc,0.623241341991342,0.6225649350649352,-0.0006764069264068029
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,ap,0.47458200950060614,0.47415460527503245,-0.00042740422557369095
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,brier_skill,0.10965397129590959,0.10921578784706187,-0.00043818344884771765
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,nagelkerke,0.13180288827835854,0.1310689480596268,-0.0007339402187317434
BPIC13_closed,handover,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,logloss_skill,0.07330414109222305,0.07287357843633291,-0.0004305626558901432
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,auc,0.5013528138528138,0.5228625541125542,0.021509740259740395
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,ap,0.37560184975730887,0.4067176150613515,0.031115765304042642
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,brier_skill,-0.02309386740918895,-0.04910011188482777,-0.026006244475638818
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,nagelkerke,-0.040340290569673296,-0.07679208185171327,-0.03645179128203997
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,logloss_skill,-0.020961451278054044,-0.03936905435327631,-0.018407603075222267
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,auc,0.5359848484848485,0.5350378787878788,-0.0009469696969697239
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,ap,0.41505495965533323,0.41492801006413754,-0.00012694959119569083
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,brier_skill,0.024245110432028483,0.02433336828932786,8.825785729937863e-05
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,nagelkerke,0.027204720130776353,0.027265220455872742,6.0500325096388835e-05
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,logloss_skill,0.014504845004072231,0.014537444904101915,3.259990002968394e-05
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake_g,auc,0.623241341991342,0.5747429653679653,-0.04849837662337664
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake_g,ap,0.47458200950060614,0.4833909849701349,0.008808975469528746
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake_g,brier_skill,0.10965397129590959,0.059668218124064976,-0.049985753171844616
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake_g,nagelkerke,0.13180288827835854,-0.042556919999969196,-0.17435980827832773
BPIC13_closed,handover,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake_g,logloss_skill,0.07330414109222305,-0.022094969575094936,-0.09539911066731799
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_half,auc,0.5013528138528138,0.5074404761904762,0.006087662337662336
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_half,ap,0.37560184975730887,0.3658360830070485,-0.009765766750260363
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_half,brier_skill,-0.02309386740918895,0.003687295535260704,0.026781162944449655
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_half,nagelkerke,-0.040340290569673296,-0.016309278288669023,0.024031012281004273
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_half,logloss_skill,-0.020961451278054044,-0.00855149856191928,0.012409952716134764
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake,auc,0.5359848484848485,0.5276650432900434,-0.00831980519480513
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake,ap,0.41505495965533323,0.3798607062931728,-0.03519425336216042
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake,brier_skill,0.024245110432028483,0.021656478762360987,-0.002588631669667496
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake,nagelkerke,0.027204720130776353,0.0065783586769817,-0.020626361453794654
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake,logloss_skill,0.014504845004072231,0.0034795183243776506,-0.01102532667969458
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake_g,auc,0.623241341991342,0.6238501082251083,0.000608766233766378
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake_g,ap,0.47458200950060614,0.46421882566270206,-0.010363183837904077
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake_g,brier_skill,0.10965397129590959,0.11024923144304288,0.0005952601471332919
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake_g,nagelkerke,0.13180288827835854,0.1328274591749527,0.0010245708965941625
BPIC13_closed,handover,logistic,frequency,rolling1,corrupt,0.15,corrupt/0.15,B_intake_g,logloss_skill,0.07330414109222305,0.07390565123569559,0.000601510143472539
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_half,auc,0.4870037386505252,0.4433861491899591,-0.0436175894605661
BPIC13_closed,handover,logistic,frequency,rolling2,clean,1.0,clean/1.0,B_half,ap,0.2458208431971391,0.2016489376433976,-0.04417190555374148
