metric,psi,rank_based,R,R_psi,dR,V0,V0_psi,dV0,note
auc,squared,True,0.3717868175414224,0.3717868175414224,0.0,0.08990990593532588,0.08990990593532588,0.0,
auc,sqrt,True,0.3717868175414224,0.3717868175414224,0.0,0.08990990593532588,0.08990990593532588,0.0,
auc,logit-shift,True,0.3717868175414224,0.3717868175414224,0.0,0.08990990593532588,0.08990990593532588,0.0,
ap,squared,True,0.3146881597567689,0.3146881597567689,0.0,0.10487995600852223,0.10487995600852223,0.0,
ap,sqrt,True,0.3146881597567689,0.3146881597567689,0.0,0.10487995600852223,0.10487995600852223,0.0,
ap,logit-shift,True,0.3146881597567689,0.3146881597567689,0.0,0.10487995600852223,0.10487995600852223,0.0,
brier_skill,squared,False,-0.6779042784651275,0.2268452043937922,0.9047494828589197,0.0539736681457903,0.12166242044260267,0.06768875229681237,
brier_skill,sqrt,False,-0.6779042784651275,-12.373760648315715,11.695856369850587,0.0539736681457903,0.005331124204166926,0.04864254394162337,
brier_skill,logit-shift,False,-0.6779042784651275,0.14152424140829212,0.8194285198734196,0.0539736681457903,0.10092488314671777,0.04695121500092747,
logloss_skill,squared,False,-0.49401849009309085,0.25072696738980205,0.7447454574828929,0.051407820817900074,0.140312363599306,0.08890454278140592,
logloss_skill,sqrt,False,-0.49401849009309085,-9.744608731589484,9.250590241496393,0.051407820817900074,0.0060318904306480015,0.04537593038725207,
logloss_skill,logit-shift,False,-0.49401849009309085,0.16284156578422948,0.6568600558773203,0.051407820817900074,0.09523976458547412,0.043831943767574044,
nagelkerke,squared,False,-0.41761364947313395,0.31020747090888934,0.7278211203820233,0.14424696822018623,0.2950826039909016,0.15083563577071535,
nagelkerke,sqrt,False,-0.41761364947313395,-9.344939140866382,8.927325491393248,0.14424696822018623,0.03141477470565324,0.112832193514533,
nagelkerke,logit-shift,False,-0.41761364947313395,0.2121402186864867,0.6297538681596206,0.14424696822018623,0.19086049050476753,0.046613522284581294,
nb_0.250,squared,False,-0.038461538461536326,0.30312499999999987,0.3415865384615362,0.013000000000000012,0.026666666666666672,0.01366666666666666,
nb_0.250,sqrt,False,-0.038461538461536326,2.374999999999953,2.4134615384614895,0.013000000000000012,-0.0006666666666666765,0.013666666666666688,
nb_0.250,logit-shift,False,-0.038461538461536326,0.36393442622950734,0.40239596469104366,0.013000000000000012,0.02541666666666667,0.01241666666666666,
brier_skill,squared,False,0.0,0.0,0.0,,,,cancelling configuration
