threshold,gain_intake,gain_plus_group,shrinkage,lo,hi,p_le_0,n_draws
1,0.2381994327088408,0.0922721343950218,61.262655689105216,54.295609013386496,67.36698998943116,0.0,2000
2,0.24882549943647336,0.1394911032859737,43.94018956984487,31.492436429477426,54.493198631119114,0.0,2000
