learner,split,quality,level,rung,metric,log,target,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,lo,hi,resolved
hgb,holdout70,clean,1.0,B_half,ap,BPIC13_closed,handover,-0.0252971266992052,0.041078055575699456,400,-0.07727488866905556,0.07855149276246463,-0.12914574616087504,0.02668063527064516,-0.10047697952995979,0.03462712804607654,0.01524089642128965,-0.12914574616087504,0.02668063527064516,False
hgb,holdout70,clean,1.0,B_half,auc,BPIC13_closed,handover,-0.0169753086419753,0.06242735995649842,400,-0.10463625999180153,0.1423239960707542,-0.1762746133547048,0.07068564270785092,-0.13627621363160444,0.0909745121226147,0.02121993829366075,-0.1762746133547048,0.07068564270785092,False
hgb,holdout70,clean,1.0,B_half,brier_skill,BPIC13_closed,handover,-0.1911523518920665,0.13078559112535798,400,-0.5162966081992465,0.0003583511368672983,-0.3826630549210003,0.1339919044151135,-0.38155031418840973,0.14209014866211112,-0.053151949070214505,-0.3826630549210003,0.1339919044151135,False
hgb,holdout70,clean,1.0,B_half,logloss_skill,BPIC13_closed,handover,-0.181968743745752,0.2703459007380332,400,-1.114131574357617,-0.04696330686631701,-0.316974180625187,0.750194086866113,-0.2595283256163682,0.31508063141750603,-0.3832936026424243,-0.316974180625187,0.750194086866113,False
hgb,holdout70,clean,1.0,B_half,nagelkerke,BPIC13_closed,handover,-0.6212913126510119,2.017343541113433,400,-8.493941320247139,-0.16986637964530207,-1.0727162456567216,7.2513586949451145,-0.9498792655753422,2.0904360413450713,-1.869737961071114,-1.0727162456567216,7.2513586949451145,False
hgb,holdout70,clean,1.0,B_half,nb_0.050,BPIC13_closed,handover,-0.0008242081714353,0.021146783421089735,400,-0.07771399976451188,0.0001442364300010959,-0.001792652772871696,0.07606558342164127,-0.003318040393349937,0.010361463651794233,-0.027375485694100952,-0.001792652772871696,0.07606558342164127,False
hgb,holdout70,clean,1.0,B_half,nb_0.075,BPIC13_closed,handover,-0.000786020920249,0.022731071892443985,400,-0.08374448273777127,0.0008555535401172117,-0.0024275953806152115,0.08217244089727327,-0.003591528948314493,0.012455384018001333,-0.03038273172501365,-0.0024275953806152115,0.08217244089727327,False
hgb,holdout70,clean,1.0,B_half,nb_0.100,BPIC13_closed,handover,-0.0007457121551081,0.025163661695020677,400,-0.08232662192393728,0.0059843400447425876,-0.007475764354958787,0.08083519761372107,-0.009634081277863504,0.03778107486321586,-0.031817051951280095,-0.007475764354958787,0.08083519761372107,False
hgb,holdout70,clean,1.0,B_half,nb_0.125,BPIC13_closed,handover,-0.0006391818472354,0.025579791690570886,400,-0.08823905401086607,0.007358581016299038,-0.008636944710769838,0.08696069031639526,-0.0092681367849152,0.034195673289392055,-0.0300415468200704,-0.008636944710769838,0.08696069031639526,False
hgb,holdout70,clean,1.0,B_half,nb_0.150,BPIC13_closed,handover,-0.0027635215159889,0.02694739473842613,400,-0.08666929859191988,0.012518094486116554,-0.018045137518094355,0.08114225555994208,-0.02392026749997828,0.04017916985617198,-0.028095802079220952,-0.018045137518094355,0.08114225555994208,False
