task,shrink_pct,lo,hi,p_le_zero,n_boot
reassigned,43.673515041607914,40.179484253587184,47.07862425992661,0.0,2000
reopened,33.29796905597625,-0.8041286487949663,59.876836666463525,0.0295,2000
long-handling,33.530403535464984,28.72248772229346,37.997723505111495,0.0,2000
