rho,n,rep,R_hat,V_lo,V_hi,R_true
0.0,5000,0,0.12837048257952766,0.22666061417887406,0.19756408175495987,0.1328895331262817
0.0,5000,1,0.18064000544106606,0.26529224007116314,0.21736984838123563,0.1328895331262817
0.0,5000,2,0.1407207795309442,0.22423223300416284,0.19267809837985272,0.1328895331262817
0.0,5000,3,0.10666046987530708,0.2485898526711745,0.22207514217903368,0.1328895331262817
0.0,5000,4,0.2190336597125091,0.24069311824413875,0.18797322368750935,0.1328895331262817
0.0,5000,5,0.1386013083939931,0.24144605116796458,0.20798131256952168,0.1328895331262817
0.0,5000,6,0.07601881172833724,0.23721051954640615,0.21917805772102683,0.1328895331262817
0.0,5000,7,0.16484901900674453,0.2322654604812281,0.19397672717174785,0.1328895331262817
0.0,5000,8,0.16995246059425995,0.2460465535095222,0.20423033631984167,0.1328895331262817
0.0,5000,9,0.11512509237562196,0.24111664672889155,0.2133580705009277,0.1328895331262817
0.0,20000,0,0.13857835602237467,0.2376965880723948,0.20475698566519474,0.1328895331262817
0.0,20000,1,0.13926011524318138,0.25891120610267215,0.22285520170306294,0.1328895331262817
0.0,20000,2,0.11317160516119751,0.2434808399943581,0.2159257225061999,0.1328895331262817
0.0,20000,3,0.10881402274876473,0.24383990874932904,0.21730670737162283,0.1328895331262817
0.0,20000,4,0.13268724976127877,0.23324994744422656,0.20230065341088932,0.1328895331262817
0.0,20000,5,0.10136905848302302,0.22669928145783158,0.20371898873767336,0.1328895331262817
0.0,20000,6,0.10825208203780623,0.22961322598776845,0.2047571162111752,0.1328895331262817
0.0,20000,7,0.1377297177150485,0.2514093508631796,0.2167828119378703,0.1328895331262817
0.0,20000,8,0.09698802216300895,0.23860162471333402,0.21546012504750722,0.1328895331262817
0.0,20000,9,0.12815534204759793,0.24180920811662132,0.21082006634017691,0.1328895331262817
0.0,60000,0,0.11978080776211553,0.24509560766145266,0.2157378577968173,0.1328895331262817
0.0,60000,1,0.11938710227634819,0.23743459726036575,0.20908796871329893,0.1328895331262817
0.0,60000,2,0.1154915150034076,0.23473194430185784,0.20762239643474079,0.1328895331262817
0.0,60000,3,0.1372893975982742,0.24705847604008602,0.21313996669299495,0.1328895331262817
0.0,60000,4,0.1334946597207367,0.24260848802945945,0.21022155047460434,0.1328895331262817
0.0,60000,5,0.13327068388358498,0.23745321412132292,0.20580766188501887,0.1328895331262817
0.0,60000,6,0.1360416253709943,0.2422408812787259,0.20928603805826596,0.1328895331262817
0.0,60000,7,0.12878773787821007,0.2458052798814182,0.21414857392697006,0.1328895331262817
0.0,60000,8,0.15137935445796824,0.23550863379047926,0.19985748883799848,0.1328895331262817
0.0,60000,9,0.1140865844657486,0.24250344088944553,0.21483705159717714,0.1328895331262817
0.0,60000,10,0.14834600773813,0.24159883770055923,0.20575861465350886,0.1328895331262817
0.0,60000,11,0.12786571932056423,0.24716253067232297,0.21555891589881537,0.1328895331262817
0.0,60000,12,0.11749899078233128,0.24551242116659777,0.21666495945499586,0.1328895331262817
0.0,60000,13,0.12816148955114937,0.24492141130089806,0.21353191840560526,0.1328895331262817
0.0,60000,14,0.12770862187638843,0.24110870715981958,0.21031704644604132,0.1328895331262817
0.0,60000,15,0.14204957005699248,0.24142418184793324,0.20712998061507315,0.1328895331262817
0.0,60000,16,0.1315585338082722,0.24573739157842556,0.21340854064049863,0.1328895331262817
0.0,60000,17,0.12039776387538792,0.23863467205416145,0.2099035911557039,0.1328895331262817
0.0,60000,18,0.1306920642934961,0.245568470975698,0.21347462057848654,0.1328895331262817
0.0,60000,19,0.14049434914450143,0.2497176962204426,0.21463377102008718,0.1328895331262817
0.0,60000,20,0.13401055480694768,0.24407911115793934,0.21136993405487725,0.1328895331262817
0.0,60000,21,0.14191312445526116,0.24764742115815952,0.21250300185831716,0.1328895331262817
0.0,60000,22,0.14588135603379238,0.23922532624989812,0.2043268112589366,0.1328895331262817
0.0,60000,23,0.13046045235162773,0.2388620446901919,0.20769999429027475,0.1328895331262817
0.0,60000,24,0.11796261715686196,0.24325589714799778,0.21456079488157953,0.1328895331262817
0.0,60000,25,0.12256935815325265,0.23683826246720951,0.20780914865047206,0.1328895331262817
0.0,60000,26,0.15429692446344578,0.2409707014187521,0.20378966330403936,0.1328895331262817
0.0,60000,27,0.11875062687387417,0.24182360533229463,0.2131069006061843,0.1328895331262817
0.0,60000,28,0.11513705684824083,0.24528208371166826,0.21704102649550294,0.1328895331262817
0.0,60000,29,0.11119235376174808,0.24111378706371578,0.2143037775556923,0.1328895331262817
0.0,60000,30,0.14248277634164963,0.24501956489978793,0.21010849703484313,0.1328895331262817
0.0,60000,31,0.13745131890327156,0.24456057425170652,0.21094540076906798,0.1328895331262817
