k,auc,recovered,coverage
8,0.7040933915510796,0.5790819420537945,0.3015274372996417
16,0.722579346676312,0.7579747729245802,0.4246967125526432
32,0.7225309408373386,0.757506338510131,0.5719089823370419
64,0.7372422187671395,0.8998707517503646,0.7051354579169024
128,0.7428711526334848,0.9543432367971603,0.8196932553900308
256,0.7427209748415774,0.9528899318342174,0.8928908165189515
