log,target,metric,measure,component,order,share,scale
BPIC13_closed,handover,logloss_skill,equal-level,split+quality_level+rung,3,0.034833451661538055,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,learner+split+quality_level+rung,4,0.03564094429352608,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner,1,0.1746172023768863,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,split,1,0.1607429989396767,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,quality_level,1,0.02960072901558807,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,rung,1,0.07507029297447665,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+split,2,0.13022331529498787,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+quality_level,2,0.03328034063316078,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+rung,2,0.06504037034064758,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,split+quality_level,2,0.05273381080452764,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,split+rung,2,0.07077706217005997,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,quality_level+rung,2,0.011719867097790946,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+split+quality_level,3,0.052221119763601206,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+split+rung,3,0.07440576208146614,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+quality_level+rung,3,0.012824840282808121,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,split+quality_level+rung,3,0.02777784720538527,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner+split+quality_level+rung,4,0.028964441018936853,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner,1,0.0032748055125167187,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,split,1,0.38438795080438926,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,quality_level,1,0.10934037447885703,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,rung,1,0.10811256410090823,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+split,2,0.030976723707529016,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+quality_level,2,0.005951605034460084,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+rung,2,0.0008990874291933664,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,split+quality_level,2,0.05802348492039385,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,split+rung,2,0.17018827863124822,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,quality_level+rung,2,0.03154759036741977,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+split+quality_level,3,0.034281940731582757,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+split+rung,3,0.023011267043908178,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+quality_level+rung,3,0.0038053969653642373,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,split+quality_level+rung,3,0.018098948495300953,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner+split+quality_level+rung,4,0.018099981776928238,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner,1,0.025722003990620107,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,split,1,0.3951659800043196,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,quality_level,1,0.1291679639166027,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,rung,1,0.12799743211691955,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+split,2,0.006536780230629175,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+quality_level,2,0.0014436807030539889,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+rung,2,0.003196622709946136,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,split+quality_level,2,0.044620461645643886,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,split+rung,2,0.19486809663417,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,quality_level+rung,2,0.02413491781563302,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+split+quality_level,3,0.008647166684573125,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+split+rung,3,0.005400402942188782,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+quality_level+rung,3,0.004007242112908741,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,split+quality_level+rung,3,0.025345240477379898,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner+split+quality_level+rung,4,0.0037460080154112594,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner,1,0.11142413389672724,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,split,1,0.27940655534362685,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,quality_level,1,0.016055338732595823,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,rung,1,0.02171212352442957,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+split,2,0.0194884700942477,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+quality_level,2,0.004867591584370641,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+rung,2,0.040216449408818515,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,split+quality_level,2,0.07200104057252846,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,split+rung,2,0.2233025790950685,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,quality_level+rung,2,0.0044096231381353474,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+split+quality_level,3,0.03224313272233348,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+split+rung,3,0.08681463606631076,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+quality_level+rung,3,0.00515847837397981,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,split+quality_level+rung,3,0.05032470127048083,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner+split+quality_level+rung,4,0.032575146176346416,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner,1,0.07849870483621456,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,split,1,0.4682998848582871,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,quality_level,1,0.015085215052014728,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,rung,1,0.028634638802949197,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+split,2,0.10159455911595493,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+quality_level,2,0.00627600884895964,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+rung,2,0.026240592519275314,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,split+quality_level,2,0.044642024231621516,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,split+rung,2,0.1220235056357909,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,quality_level+rung,2,0.002268176270848486,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+split+quality_level,3,0.04048606567770741,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+split+rung,3,0.033036274857818335,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+quality_level+rung,3,0.0027004094093915384,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,split+quality_level+rung,3,0.01935655293545944,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner+split+quality_level+rung,4,0.010857386947706951,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner,1,0.03580465456427245,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,split,1,0.2276168551867863,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,quality_level,1,0.02914159810508814,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,rung,1,0.0037446011538001716,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+split,2,0.15163662296638167,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+quality_level,2,0.02598579279208819,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+rung,2,0.0037206453234587757,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,split+quality_level,2,0.13751924967542636,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,split+rung,2,0.02279807205381174,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,quality_level+rung,2,0.017488687054612796,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+split+quality_level,3,0.131112262307634,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+split+rung,3,0.028780566892237472,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+quality_level+rung,3,0.016818354202181737,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,split+quality_level+rung,3,0.08755458055004851,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner+split+quality_level+rung,4,0.0802774571721717,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner,1,0.01668733131989241,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,split,1,0.07120837222156381,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,quality_level,1,0.098723146359999,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,rung,1,0.693349114989483,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+split,2,0.015846898045906794,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+quality_level,2,0.005441708104411903,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+rung,2,0.0002994691662113366,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,split+quality_level,2,0.012637110962034126,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,split+rung,2,0.01932238488223193,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,quality_level+rung,2,0.03793937749119578,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+split+quality_level,3,0.0058639623046329425,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+split+rung,3,0.0031322663294379993,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+quality_level+rung,3,0.0017246109616816468,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,split+quality_level+rung,3,0.013203402913964147,raw-within-metric
BPIC13_incidents,handover,ap,equal-level,learner+split+quality_level+rung,4,0.004620843947353169,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner,1,0.02408275311999549,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,split,1,0.10273772519074163,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,quality_level,1,0.1924541407348575,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,rung,1,0.5323864090866398,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+split,2,0.02702056117715205,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+quality_level,2,0.009658986567841529,raw-within-metric
BPIC13_incidents,handover,auc,equal-level,learner+rung,2,0.003084725883372571,raw-within-metric
