baseline,base_auc,with_ident,gain,lo,hi
intake fields only,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.17228442361090682,0.19492231019987902
+ intake routing queue,0.6442537504512584,0.747589110707169,0.10333536025591061,0.09399907132148715,0.11347648546336091
+ knowledge reference,0.8052042468608479,0.8019845220085675,-0.0032197248522803923,-0.005586048794278703,-0.0009802728562707127
