learner,split,quality,level,rung,metric,log,target,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,lo,hi,resolved
hgb,holdout70,clean,1.0,B_half,ap,BPIC13_closed,handover,-0.0252971266992052,0.03611634256786731,400,-0.07190365385759945,0.06548008752571123,-0.11607434092412164,0.021309400459189047,-0.09924850181904306,0.023123270458052892,0.0176387000648734,-0.11607434092412164,0.021309400459189047,False
hgb,holdout70,clean,1.0,B_half,auc,BPIC13_closed,handover,-0.0169753086419753,0.06914095590312555,400,-0.11236402487952149,0.15257049328658337,-0.18652111057053397,0.07841340759557089,-0.15221139603315512,0.10949091911229085,0.02175051356075935,-0.18652111057053397,0.07841340759557089,False
hgb,holdout70,clean,1.0,B_half,brier_skill,BPIC13_closed,handover,-0.1911523518920665,0.13433326291255698,400,-0.42059333387734243,0.10257688442980065,-0.4848815882139337,0.03828863009320943,-0.4618170485552074,0.059367125780696084,0.019965584109251172,-0.4848815882139337,0.03828863009320943,False
hgb,holdout70,clean,1.0,B_half,logloss_skill,BPIC13_closed,handover,-0.181968743745752,0.18773744709999005,400,-0.6302332382685606,0.07128526660434757,-0.4352227540958516,0.2662957507770566,-0.4317394999492483,0.2405750648182171,-0.0905338797298123,-0.4352227540958516,0.2662957507770566,False
hgb,holdout70,clean,1.0,B_half,nagelkerke,BPIC13_closed,handover,-0.6212913126510119,0.8189701653992357,400,-3.239191647790655,0.2896358049440475,-1.5322184302460713,1.996609022488631,-1.764592769913217,0.8960269482317311,-0.3809964177465234,-1.5322184302460713,1.996609022488631,False
hgb,holdout70,clean,1.0,B_half,nb_0.050,BPIC13_closed,handover,-0.0008242081714353,0.02181530048730253,400,-0.07678273597409063,0.0028910200106635467,-0.004539436353534146,0.07513431963122003,-0.007330767882884403,0.0645710138530763,-0.02714562842134665,-0.004539436353534146,0.07513431963122003,False
hgb,holdout70,clean,1.0,B_half,nb_0.075,BPIC13_closed,handover,-0.000786020920249,0.02429785539331752,400,-0.08710784673248796,0.008572876244169017,-0.010144918084667016,0.08553580489198996,-0.008143248588894529,0.0372194164755843,-0.03463000722410735,-0.010144918084667016,0.08553580489198996,False
hgb,holdout70,clean,1.0,B_half,nb_0.100,BPIC13_closed,handover,-0.0007457121551081,0.028115850615755517,400,-0.08527764690645342,0.020877669990809828,-0.02236909430102603,0.08378622259623722,-0.01601718062898302,0.103249320484641,-0.0351252159254383,-0.02236909430102603,0.08378622259623722,False
hgb,holdout70,clean,1.0,B_half,nb_0.125,BPIC13_closed,handover,-0.0006391818472354,0.03383103003542336,400,-0.08595755588797996,0.0537909972133883,-0.0550693609078591,0.08467919219350915,-0.024655768296243642,0.11661485937241324,-0.03580257192643079,-0.0550693609078591,0.08467919219350915,False
hgb,holdout70,clean,1.0,B_half,nb_0.150,BPIC13_closed,handover,-0.0027635215159889,0.03659621619587646,400,-0.08830843246949197,0.0674228079029301,-0.0729498509349079,0.08278138943751416,-0.030699252239952842,0.12484930909285694,-0.030283866364570904,-0.0729498509349079,0.08278138943751416,False
hgb,holdout70,clean,1.0,B_half,nb_0.175,BPIC13_closed,handover,-0.0079316656497864,0.040814946277026774,400,-0.08391887299218578,0.07314601054864171,-0.08900934184821452,0.06805554169261299,-0.05593285388379942,0.12737232567537463,-0.0213255309875085,-0.08900934184821452,0.06805554169261299,False
hgb,holdout70,clean,1.0,B_half,nb_0.200,BPIC13_closed,handover,-0.0027964205816554,0.04095033066278315,400,-0.08481490798837764,0.07587389644997336,-0.08146673761328416,0.07922206682506684,-0.052643171635804946,0.12941726633143075,-0.019578371257160554,-0.08146673761328416,0.07922206682506684,False
hgb,holdout70,clean,1.0,B_half,nb_0.225,BPIC13_closed,handover,-0.0282167857400592,0.041225503815478785,400,-0.07934041375379268,0.07635982953141808,-0.13279340101153647,0.02290684227367428,-0.09293026826841057,0.05782584638315278,0.009178813219242996,-0.13279340101153647,0.02290684227367428,False
hgb,holdout70,clean,1.0,B_half,nb_0.250,BPIC13_closed,handover,-0.0223713646532438,0.041709776167689575,400,-0.08049287814627654,0.07965404571112192,-0.12439677501760951,0.035750148839788935,-0.08922954544102109,0.061537942499151815,0.0106042110583098,-0.12439677501760951,0.035750148839788935,False
hgb,holdout70,clean,1.0,B_half,nb_0.275,BPIC13_closed,handover,-0.0158913831674766,0.04126794491801632,400,-0.07342423440475465,0.08151446067442869,-0.11329722700938188,0.04164146806980145,-0.09271870798272475,0.05795381067958851,0.008682010991566201,-0.11329722700938188,0.04164146806980145,False
hgb,holdout70,clean,1.0,B_half,nb_0.300,BPIC13_closed,handover,-0.0134228187919463,0.04037039717514219,400,-0.07574613002752166,0.0833012189489098,-0.1101468565328024,0.04890049244362906,-0.09279724232989306,0.05899288352146474,0.0118530481817136,-0.1101468565328024,0.04890049244362906,False
hgb,holdout70,clean,1.0,B_half,nb_0.325,BPIC13_closed,handover,-0.0362084679758058,0.03998107388652506,400,-0.07455620857075863,0.0776277136920115,-0.1500446496436231,0.002139272619147037,-0.08911641754721265,0.012133154251561704,0.03500659525137175,-0.1500446496436231,0.002139272619147037,False
