log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC13_closed,handover,auc,AUC,concentrated,majority,216,False,0.0015811445779328978,0.0,0.0,0.010292820226969328,0.0015811445779328978,0.0015811445779328978,-0.008711675649036429,0.20083199999999995
BPIC13_closed,handover,auc,AUC,concentrated,weighted-mean,216,False,0.0015811445779328978,0.0,0.0,0.010292820226969328,0.0015811445779328978,0.0015811445779328978,-0.008711675649036429,0.20083199999999995
BPIC13_closed,handover,brier_skill,Brier skill,equal-level,one-number,216,False,0.009429508665879672,0.0,0.0,0.05524956768344765,0.009429508665879672,0.009429508665879672,-0.04582005901756797,0.26388888888888884
BPIC13_closed,handover,brier_skill,Brier skill,equal-level,uniform-beneficial,216,False,0.009429508665879672,0.0,0.0,0.05524956768344765,0.009429508665879672,0.009429508665879672,-0.04582005901756797,0.26388888888888884
BPIC13_closed,handover,brier_skill,Brier skill,equal-level,majority,216,False,0.009429508665879672,0.0,0.0,0.05524956768344765,0.009429508665879672,0.009429508665879672,-0.04582005901756797,0.26388888888888884
BPIC13_closed,handover,brier_skill,Brier skill,equal-level,weighted-mean,216,False,0.009429508665879672,0.0,0.0,0.05524956768344765,0.009429508665879672,0.009429508665879672,-0.04582005901756797,0.26388888888888884
BPIC13_closed,handover,brier_skill,Brier skill,reference,one-number,216,False,0.006781869950967952,0.0,0.0,0.04411548467692944,0.006781869950967952,0.006781869950967952,-0.03733361472596149,0.28
BPIC13_closed,handover,brier_skill,Brier skill,reference,uniform-beneficial,216,False,0.006781869950967952,0.0,0.0,0.04411548467692944,0.006781869950967952,0.006781869950967952,-0.03733361472596149,0.28
BPIC13_closed,handover,brier_skill,Brier skill,reference,majority,216,False,0.006781869950967952,0.0,0.0,0.04411548467692944,0.006781869950967952,0.006781869950967952,-0.03733361472596149,0.28
BPIC13_closed,handover,brier_skill,Brier skill,reference,weighted-mean,216,False,0.006781869950967952,0.0,0.0,0.04411548467692944,0.006781869950967952,0.006781869950967952,-0.03733361472596149,0.28
BPIC13_closed,handover,brier_skill,Brier skill,concentrated,one-number,216,False,0.0025320278624128513,0.0,0.0,0.019032127184552772,0.0025320278624128513,0.0025320278624128513,-0.016500099322139923,0.19455999999999996
BPIC13_closed,handover,brier_skill,Brier skill,concentrated,uniform-beneficial,216,False,0.0025320278624128513,0.0,0.0,0.019032127184552772,0.0025320278624128513,0.0025320278624128513,-0.016500099322139923,0.19455999999999996
BPIC13_closed,handover,brier_skill,Brier skill,concentrated,majority,216,False,0.0025320278624128513,0.0,0.0,0.019032127184552772,0.0025320278624128513,0.0025320278624128513,-0.016500099322139923,0.19455999999999996
BPIC13_closed,handover,brier_skill,Brier skill,concentrated,weighted-mean,216,False,0.0025320278624128513,0.0,0.0,0.019032127184552772,0.0025320278624128513,0.0025320278624128513,-0.016500099322139923,0.19455999999999996
BPIC13_closed,handover,logloss_skill,log-loss skill,equal-level,one-number,216,False,0.011293009995694955,0.0,0.0,0.09080756676731544,0.011293009995694955,0.011293009995694955,-0.0795145567716205,0.24074074074074076
BPIC13_closed,handover,logloss_skill,log-loss skill,equal-level,uniform-beneficial,216,False,0.011293009995694955,0.0,0.0,0.09080756676731544,0.011293009995694955,0.011293009995694955,-0.0795145567716205,0.24074074074074076
BPIC13_closed,handover,logloss_skill,log-loss skill,equal-level,majority,216,False,0.011293009995694955,0.0,0.0,0.09080756676731544,0.011293009995694955,0.011293009995694955,-0.0795145567716205,0.24074074074074076
BPIC13_closed,handover,logloss_skill,log-loss skill,equal-level,weighted-mean,216,False,0.011293009995694955,0.0,0.0,0.09080756676731544,0.011293009995694955,0.011293009995694955,-0.0795145567716205,0.24074074074074076
BPIC13_closed,handover,logloss_skill,log-loss skill,reference,one-number,216,False,0.006782610354936686,0.0,0.0,0.0707637109863671,0.006782610354936686,0.006782610354936686,-0.06398110063143041,0.16249999999999998
BPIC13_closed,handover,logloss_skill,log-loss skill,reference,uniform-beneficial,216,False,0.006782610354936686,0.0,0.0,0.0707637109863671,0.006782610354936686,0.006782610354936686,-0.06398110063143041,0.16249999999999998
BPIC13_closed,handover,logloss_skill,log-loss skill,reference,majority,216,False,0.006782610354936686,0.0,0.0,0.0707637109863671,0.006782610354936686,0.006782610354936686,-0.06398110063143041,0.16249999999999998
BPIC13_closed,handover,logloss_skill,log-loss skill,reference,weighted-mean,216,False,0.006782610354936686,0.0,0.0,0.0707637109863671,0.006782610354936686,0.006782610354936686,-0.06398110063143041,0.16249999999999998
BPIC13_closed,handover,logloss_skill,log-loss skill,concentrated,one-number,216,False,0.0017232550951964073,0.0,0.0,0.024216594470953055,0.0017232550951964073,0.0017232550951964073,-0.022493339375756646,0.07193599999999999
BPIC13_closed,handover,logloss_skill,log-loss skill,concentrated,uniform-beneficial,216,False,0.0017232550951964073,0.0,0.0,0.024216594470953055,0.0017232550951964073,0.0017232550951964073,-0.022493339375756646,0.07193599999999999
BPIC13_closed,handover,logloss_skill,log-loss skill,concentrated,majority,216,False,0.0017232550951964073,0.0,0.0,0.024216594470953055,0.0017232550951964073,0.0017232550951964073,-0.022493339375756646,0.07193599999999999
BPIC13_closed,handover,logloss_skill,log-loss skill,concentrated,weighted-mean,216,False,0.0017232550951964073,0.0,0.0,0.024216594470953055,0.0017232550951964073,0.0017232550951964073,-0.022493339375756646,0.07193599999999999
BPIC13_closed,handover,nagelkerke,Nagelkerke R2,equal-level,one-number,216,False,0.02585194728811161,0.0,0.0,0.3113765811832717,0.02585194728811161,0.02585194728811161,-0.2855246338951601,0.2361111111111111
BPIC13_closed,handover,nagelkerke,Nagelkerke R2,equal-level,uniform-beneficial,216,False,0.02585194728811161,0.0,0.0,0.3113765811832717,0.02585194728811161,0.02585194728811161,-0.2855246338951601,0.2361111111111111
BPIC13_closed,handover,nagelkerke,Nagelkerke R2,equal-level,majority,216,False,0.02585194728811161,0.0,0.0,0.3113765811832717,0.02585194728811161,0.02585194728811161,-0.2855246338951601,0.2361111111111111
BPIC13_closed,handover,nagelkerke,Nagelkerke R2,equal-level,weighted-mean,216,False,0.02585194728811161,0.0,0.0,0.3113765811832717,0.02585194728811161,0.02585194728811161,-0.2855246338951601,0.2361111111111111
BPIC13_closed,handover,nagelkerke,Nagelkerke R2,reference,one-number,216,False,0.014386580859640107,0.0,0.0,0.22330024541922774,0.014386580859640107,0.014386580859640107,-0.2089136645595876,0.15999999999999998
