log,prefix,n,n_train,n_test,prevalence,prevalence_test,card_register,base_auc,with_auc,V,se,lo,hi,n_draws,resolved
BPIC14,0,46606,32624,13982,0.9266403467364717,0.9452152767844372,3019,0.641127051868453,0.8983072579166639,0.2571802060482109,0.011710891065132107,0.23291276811511613,0.28077689903553493,300,True
BPIC14,1,46605,32623,13982,0.9266602295890999,0.9452152767844372,3019,0.7333440279683144,0.8996166921652052,0.1662726641968908,0.01575227511954982,0.14451307806748703,0.20323041282179793,300,True
BPIC14,2,11080,7755,3325,0.691696750902527,0.7215037593984962,1567,0.7106722833578066,0.7745573434575421,0.06388506009973549,0.010148604573370315,0.04659586609722585,0.08752607709697066,300,True
BPIC14,3,6583,4608,1975,0.6229682515570408,0.6116455696202532,1224,0.7987752229810823,0.8162543063626237,0.01747908338154147,0.018337214213333355,-0.025116527201473303,0.039456490089290704,300,False
BPIC14,5,3005,2103,902,0.43227953410981695,0.37250554323725055,700,0.7430958690896853,0.7868553340063942,0.0437594649167089,0.018139247290768525,0.02135150807162574,0.0873335492540068,300,True
BPIC14,8,857,599,258,0.5752625437572929,0.5503875968992248,341,0.672292374939291,0.7414400194269063,0.06914764448761535,0.0336295842496888,-0.0008280259319677907,0.1263858298793489,300,False
