statistic,note,all 19,itsm 8,other 11,all 19 n,itsm 8 n,other 11 n,all 19 lo,itsm 8 lo,other 11 lo,all 19 hi,itsm 8 hi,other 11 hi
baseline spread (AUC),,0.07323546196342309,0.0699101975815271,0.08760982203198911,19,8,11,0.0237383157068151,0.01377957522365565,0.0218622061676238,0.0967028050197842,0.1315966737480798,0.09719278632190251
higher-order share,,0.5599687766933726,0.3645291617485251,0.6077354317003762,19,8,11,0.40948155645053474,0.23299078680680074,0.5319065249136501,0.6077354317003762,0.4495288552889586,0.7322559327731425
largest first-order index,,0.2867836040347122,0.3547878336905127,0.2013711473668046,19,8,11,0.18520611315278535,0.2775483814121327,0.1507379865843338,0.3521781952832608,0.35815718289322584,0.30491384945889505
"misreport, all cells",,0.3277777777777778,0.27083333333333337,0.3527777777777777,19,8,11,0.24270833333333333,0.24375000000000002,0.19051697530864195,0.4523148148148148,0.48148148148148145,0.6166666666666667
"misreport, analyst latitude only","clean register, single holdout; pipeline, rung and metric only",0.19999999999999998,0.19374999999999998,0.39999999999999997,19,8,11,0.09999999999999999,0.06666666666666667,0.06666666666666668,0.4666666666666666,0.36666666666666664,0.6
"misreport, magnitude-weighted",,0.5022866652668097,0.29641031260132805,0.5074911457075018,19,8,11,0.10234997618868934,0.024692421669135486,0.13909075967591503,0.622752716260335,0.622752716260335,0.6397912614833194
"misreport, resolved cells (pooled)","disagreeing cells / resolved cells, calibrated band",0.07477678571428571,0.03536067892503536,0.2222222222222222,896,707,189,,,,,,
robustness index rho (calibrated),,0.0166666666666666,0.06944444444444439,0.0,19,8,11,0.0,-0.00555555555555555,0.0,0.18194444444444446,0.5520833333333334,0.18194444444444446
one-number excess regret (AUC),,0.0,0.0,0.0,19,8,11,0.0,0.0,0.0,0.00273020904672645,0.011493346571331,0.0054604180934529
