metric,b_lo,b_hi,V_lo,V_hi,D,D_lo,D_hi,R,R_fieller_lo,R_fieller_hi,fieller_kind
auc,B_half,B_intake,0.18278777904251375,0.1838046123974374,-0.0010168333549236408,-0.004939785597789292,0.0033228187555879836,-0.005562917609974072,-0.027015863378373473,0.015645869734727258,bounded
auc,B_half,B_intake_g,0.18278777904251375,0.10344533795377764,0.07934244108873612,0.06190968356227351,0.08955151903601904,0.4340686314169955,0.35718974764294464,0.5127462158599831,bounded
auc,B_half,B_intake_g_km,0.18278777904251375,-0.0028649673662244357,0.1856527464087382,0.17594508890403604,0.2025288785031232,1.015673735854945,0.9904073154017544,1.042513410715296,bounded
auc,B_intake,B_intake_g,0.1838046123974374,0.10344533795377764,0.08035927444365976,0.06259666989710819,0.09135516842784945,0.43719944453787885,0.3610842279966785,0.5150847004931591,bounded
auc,B_intake,B_intake_g_km,0.1838046123974374,-0.0028649673662244357,0.18666957976366183,0.17730200612904495,0.20397451534198677,1.0155870265106817,0.9904505742698397,1.0422435432944648,bounded
auc,B_intake_g,B_intake_g_km,0.10344533795377764,-0.0028649673662244357,0.10631030532000207,0.0965482334502318,0.13078392338145362,1.0276954710854596,0.9831110135361271,1.0770946978505092,bounded
ap,B_half,B_intake,0.2251536207553964,0.2265229832455442,-0.0013693624901477963,-0.003923448055896793,0.003058687970451744,-0.006081903038261283,-0.02252682524663152,0.00996199173244372,bounded
ap,B_half,B_intake_g,0.2251536207553964,0.09011132175706771,0.1350422989983287,0.12293559028051357,0.14964475551383516,0.5997784914373492,0.5463594706996241,0.6560079360408593,bounded
ap,B_half,B_intake_g_km,0.2251536207553964,-0.0037899425086368455,0.22894356326403326,0.21757956448462243,0.25053051215065125,1.0168326962538798,0.9887903319496719,1.046917697115464,bounded
ap,B_intake,B_intake_g,0.2265229832455442,0.09011132175706771,0.1364116614884765,0.12434024645996722,0.150190370715008,0.6021978853272045,0.5493602632882171,0.6579384893916262,bounded
ap,B_intake,B_intake_g_km,0.2265229832455442,-0.0037899425086368455,0.23031292575418105,0.21911035659418424,0.2501047564997983,1.016730940297253,0.9888550054806318,1.0466147116515665,bounded
ap,B_intake_g,B_intake_g_km,0.09011132175706771,-0.0037899425086368455,0.09390126426570455,0.0812127873482496,0.11135453153851771,1.0420584498677559,0.9726908347404112,1.1234129523875906,bounded
brier_skill,B_half,B_intake,0.16668905998099026,0.16786323508573076,-0.0011741751047404936,-0.002766613984513068,0.00013396621725614549,-0.007044104183408395,-0.015812640381580367,0.001674077774431293,bounded
brier_skill,B_half,B_intake_g,0.16668905998099026,0.06984571218883184,0.09684334779215842,0.0888153490268759,0.10611761099244962,0.5809820260741931,0.5246168928650178,0.6431599191776836,bounded
brier_skill,B_half,B_intake_g_km,0.16668905998099026,-0.006309606751465746,0.172998666732456,0.16312372425132904,0.1907165931633241,1.03785255464387,0.9880674360901227,1.0923621113516562,bounded
brier_skill,B_intake,B_intake_g,0.16786323508573076,0.06984571218883184,0.09801752289689891,0.09003306633999508,0.10747046276270475,0.583912986347723,0.5283643316903867,0.6453297416845114,bounded
brier_skill,B_intake,B_intake_g_km,0.16786323508573076,-0.006309606751465746,0.1741728418371965,0.1642558122101525,0.19213776297439936,1.0375877823887008,0.9881448016515146,1.091671183013726,bounded
brier_skill,B_intake_g,B_intake_g_km,0.06984571218883184,-0.006309606751465746,0.07615531894029759,0.0644168967683034,0.0911186288744246,1.0903363507040684,0.9726328882831972,1.2374003102559379,bounded
nagelkerke,B_half,B_intake,0.2219055584545495,0.22330876343451045,-0.001403204979960937,-0.003320626392166858,0.0002450188192761331,-0.006323433219669994,-0.01475486278242788,0.0020453760690941625,bounded
nagelkerke,B_half,B_intake_g,0.2219055584545495,0.09711001305290395,0.12479554540164556,0.11479337072994261,0.13663493234319765,0.5623813403809174,0.5108582666294531,0.6181572500506354,bounded
nagelkerke,B_half,B_intake_g_km,0.2219055584545495,-0.005070734528033749,0.22697629298258326,0.21572422234850583,0.24790391525133684,1.0228508675643306,0.9824872654503093,1.067018133045649,bounded
nagelkerke,B_intake,B_intake_g,0.22330876343451045,0.09711001305290395,0.1261987503816065,0.11624028721563687,0.1379189725743075,0.5651312041706624,0.5142959100402902,0.6202694215822282,bounded
nagelkerke,B_intake,B_intake_g_km,0.22330876343451045,-0.005070734528033749,0.2283794979625442,0.21701329420186777,0.24900093810929422,1.022707279598191,0.9825884639780378,1.0665636714946056,bounded
nagelkerke,B_intake_g,B_intake_g_km,0.09711001305290395,-0.005070734528033749,0.1021807475809377,0.08859911790854319,0.12023764084064692,1.052216392199137,0.9612645764973651,1.162225347958804,bounded
logloss_skill,B_half,B_intake,0.13646552137706924,0.1373339673263424,-0.0008684459492731555,-0.002155711776839072,7.181905376305031e-05,-0.006363848835293284,-0.014684735742028776,0.0018692208774612196,bounded
logloss_skill,B_half,B_intake_g,0.13646552137706924,0.06381181217198018,0.07265370920508907,0.06603070834708627,0.07965737063361744,0.532396084167948,0.47903219710790923,0.5907821522228276,bounded
logloss_skill,B_half,B_intake_g_km,0.13646552137706924,-0.0038500698485191,0.14031559122558834,0.13211515558512352,0.15405194898123686,1.0282127661966787,0.9794531620289311,1.0818734188049366,bounded
logloss_skill,B_intake,B_intake_g,0.1373339673263424,0.06381181217198018,0.07352215515436222,0.06714122857674598,0.0808087724269665,0.5353530272642152,0.4827183347938607,0.593069923520081,bounded
logloss_skill,B_intake,B_intake_g_km,0.1373339673263424,-0.0038500698485191,0.1411840371748615,0.13307559027062094,0.15517495156033456,1.028034359768915,0.9795708550107809,1.08130535603916,bounded
logloss_skill,B_intake_g,B_intake_g_km,0.06381181217198018,-0.0038500698485191,0.06766188202049928,0.05826941303121694,0.0795538669600794,1.0603347517876898,0.9574705298604574,1.1855378412619928,bounded
