claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K556,noisyGapSmall,$+0.0361$,1,app_noisy.tex:19,,make_numbers.py,519,s18_legacy_facts.csv,False,False,False
K557,noisyGapTight,$+0.0361$,1,app_noisy.tex:31,,make_numbers.py,521,s18_legacy_facts.csv,False,False,False
K558,oosMajorityAuc,0.00011,2,40_multilog.tex:451; app_secondary.tex:59,"Decision rules, in sample and out",round20_numbers.py,332,s23_heldout.csv,True,False,False
K559,oosMeanAuc,0.00002,3,40_multilog.tex:451; 80_limits.tex:240; app_secondary.tex:59,"Conclusion; Decision rules, in sample and out",round20_numbers.py,333,s23_heldout.csv,True,False,True
K560,oosOneNumberAuc,0.00450,3,40_multilog.tex:450; 80_limits.tex:240; app_secondary.tex:58,"Conclusion; Decision rules, in sample and out",round20_numbers.py,331,s23_heldout.csv,True,False,True
K561,oostMajority,0.01922,2,40_multilog.tex:461; app_secondary.tex:75,"Decision rules, in sample and out",round20_numbers.py,335,s23_heldout.csv,False,False,False
K562,oostMean,0.0191,0,,,round20_numbers.py,336,s23_heldout.csv,False,False,False
K563,oostOneNumber,0.00885,2,40_multilog.tex:461; app_secondary.tex:74,"Decision rules, in sample and out",round20_numbers.py,334,s23_heldout.csv,False,False,False
K564,otherHigherOrderPct,60.8\%,0,,,round21_numbers.py,545,,False,False,False
K565,otherLargestFirstOrderPct,20.1\%,0,,,round21_numbers.py,547,,False,False,False
K566,pMinAttainableHolm,0.00250,1,20_inference.tex:243,"Planned contrasts, and a $p$-value the design can produce",round20_numbers.py,356,s24_facts.csv,True,False,False
K567,pMinAttainableRaw,0.00050,0,,,round20_numbers.py,355,s24_facts.csv,True,False,False
K568,pPlannedMin,0.00250,0,,,round20_numbers.py,358,s24_facts.csv,False,False,False
K569,pThreeRawA,0.421,1,app_props.tex:148,Proposition~\ref{prop:scale,make_numbers.py,434,s07_prop3.csv,False,False,False
K570,pThreeRawB,0.284,1,app_props.tex:148,Proposition~\ref{prop:scale,make_numbers.py,435,s07_prop3.csv,False,False,False
K571,pThreeSqrtA,0.232,1,app_props.tex:149,Proposition~\ref{prop:scale,make_numbers.py,436,s07_prop3.csv,False,False,False
K572,pThreeSqrtB,0.390,1,app_props.tex:149,Proposition~\ref{prop:scale,make_numbers.py,437,s07_prop3.csv,False,False,False
K573,pcThreeHi,$+0.01210$,1,20_inference.tex:249,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,266,s32_tiebreak.csv,True,False,False
K574,pcThreeLo,$-0.00059$,1,20_inference.tex:249,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,265,s32_tiebreak.csv,True,False,False
K575,pcThreePholm,0.00250,1,20_inference.tex:249,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,264,s32_tiebreak.csv,False,False,False
K576,pcThreePraw,0.00100,1,20_inference.tex:248,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,263,s32_tiebreak.csv,False,False,False
K577,pcThreeQhi,$+0.01596$,1,20_inference.tex:255,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,274,s32_tiebreak.csv,False,False,False
K578,pcThreeQlo,$+0.00327$,1,20_inference.tex:254,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,273,s32_tiebreak.csv,False,False,False
K579,pcThreeShift,0.00193,1,20_inference.tex:257,"Planned contrasts, and a $p$-value the design can produce",round21_numbers.py,275,s32_tiebreak.csv,False,False,False
K580,planeKnMax,0.500,1,app_calibration.tex:21,The inflation factor has a closed form,round21_numbers.py,301,s33_regions.csv,False,False,False
K581,planeKnMin,0.0025,1,app_calibration.tex:21,The inflation factor has a closed form,round21_numbers.py,300,s33_regions.csv,False,False,False
K582,planeNtrainHi,"8{,}000",2,40_multilog.tex:186; 80_limits.tex:101,"Limitations; Resolution regions, and the coverage they have",round21_numbers.py,139,s01_surface.csv.gz,False,False,True
K583,planeNtrainLo,"2{,}000",2,40_multilog.tex:186; 80_limits.tex:101,"Limitations; Resolution regions, and the coverage they have",round21_numbers.py,138,s01_surface.csv.gz,False,False,True
K584,prevAdmittedMax,0.927,1,30_design.tex:100,What the corpus does and does not have in common,round21_numbers.py,798,s25_audit.csv,False,False,False
K585,prevExcludedAboveMin,0.959,1,30_design.tex:102,What the corpus does and does not have in common,round21_numbers.py,818,s25_audit.csv,False,False,False
K586,prevHi,0.95,2,30_design.tex:62; 30_design.tex:100,"Targets, splits and exclusions; What the corpus does and does not have in common",make_numbers.py,254,s10_coverage.csv,False,False,False
K587,prevLo,0.05,1,30_design.tex:62,"Targets, splits and exclusions",make_numbers.py,253,s10_coverage.csv,False,False,False
K588,prevRegisteredHandover,0.927,1,50_cmdb.tex:44,"One log, two published answers, and what separates them",round21_numbers.py,229,s32_tiebreak.csv,False,False,False
K589,prevTauOne,0.402,1,50_cmdb.tex:105,Three decision times,round21_numbers.py,731,s38_facts.csv,False,False,False
K590,prevTauTwo,0.400,1,50_cmdb.tex:125,Three decision times,round21_numbers.py,711,s38_facts.csv,False,False,False
K591,prevTauZero,0.146,1,50_cmdb.tex:124,Three decision times,round21_numbers.py,710,s38_facts.csv,False,False,False
K592,promisedPerThousand,1.71,2,60_dca.tex:163; 80_limits.tex:246,"Conclusion; The decision, in units a service desk uses",round21_numbers.py,574,s35_facts.csv,False,False,True
K593,propOneApGap,0.417,3,10_surface.tex:197; app_props.tex:29; app_props.tex:94,Proposition~\ref{prop:nonid; Two propositions,round20_numbers.py,463,s29_prop1.csv,True,False,False
K594,propOneAucGap,$2.2 \times 10^{-16}$,2,10_surface.tex:196; app_props.tex:93,Proposition~\ref{prop:nonid; Two propositions,round20_numbers.py,462,s29_prop1.csv,False,False,False
K595,propOneRapA,-0.250,1,app_props.tex:94,Proposition~\ref{prop:nonid,round20_numbers.py,471,s29_prop1.csv,False,False,False
K596,propOneRapB,-0.667,1,app_props.tex:94,Proposition~\ref{prop:nonid,round20_numbers.py,472,s29_prop1.csv,False,False,False
K597,propOneRauc,-0.000,0,,,round20_numbers.py,470,s29_prop1.csv,False,False,False
K598,propOneRho,3,2,app_props.tex:28; app_props.tex:90,Proposition~\ref{prop:nonid,round20_numbers.py,466,s29_prop1.csv,False,False,False
K599,propOneSweepAp,0.417,0,,,round20_numbers.py,468,s29_prop1.csv,True,False,False
K600,propOneSweepAuc,$2.2 \times 10^{-16}$,0,,,round20_numbers.py,467,s29_prop1.csv,False,False,False
K601,propTwoCancelShift,machine precision,0,,,make_numbers.py,431,,False,False,False
K602,propTwoNonRankShift,11.696,0,,,make_numbers.py,430,,True,False,False
K603,propTwoRankShift,exactly zero,0,,,make_numbers.py,429,,False,False,False
K604,qCalibratedMedian,4.62,1,40_multilog.tex:177,"Resolution regions, and the coverage they have",round21_numbers.py,338,s33_sensitivity.csv,False,False,False
K605,qClean,$+0.1034$,1,50_cmdb.tex:191,Register quality,round21_numbers.py,648,s39_absorption.csv,False,False,False
K606,qCleanCorpus,$+0.1673$,0,,,,0,,False,False,False
