rung,learner,threshold,dnb,se,q_maxt,q_emp,q_lo,q_hi,n_family,n_draws,sim_lo,sim_hi,pt_lo,pt_hi,construction,sim_harmful,pt_harmful
B_half,hgb,0.05,0.0,1.776054741750432e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-6.347994364104059e-05,6.347994364104059e-05,-3.0113905848838662e-05,0.0,basic,False,False
B_half,hgb,0.075,0.0,6.150549328124864e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.00021983360959133648,0.00021983360959133648,-5.2335628433528055e-05,0.000191655680856065,basic,False,False
B_half,hgb,0.1,0.0,8.954657495796997e-05,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.00032005835169121794,0.00032005835169121794,-9.55593699836482e-05,0.0002628379344871925,basic,False,False
B_half,hgb,0.125,0.0,0.00019503819780899,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.0006971076686838163,0.0006971076686838163,-0.00036858614136539016,0.00033921163945486993,basic,False,False
B_half,hgb,0.15,0.0,0.0006373808152937795,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.002328618587732315,0.002227648432827248,-0.001375928715070585,0.0009361826550101475,basic,False,False
B_half,hgb,0.175,0.001436912393857,0.0008772586142068924,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.0011123433923004872,0.005158671355092487,0.0010270781047493475,0.004196521068213055,basic,False,False
B_half,hgb,0.2,0.0016986125017879,0.0008053512061723449,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.00016071512329065857,0.005596275129011859,0.0012507152052637126,0.00415042554713172,basic,False,False
B_half,hgb,0.225,0.0020533312415501,0.0007127045883598714,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0004957264750102756,0.005590439609494624,0.0018469022383615897,0.004490047111262505,basic,False,False
B_half,hgb,0.25,0.0024316978972964,0.0007225543565195837,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0006001017076253728,0.005765225141179627,0.0018815858484716218,0.00455704953988445,basic,False,False
B_half,hgb,0.275,0.0028361588051633,0.0008146004901716339,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.00039318754567229915,0.0062162955828823,0.0019383295764504368,0.004932635062814802,basic,False,False
B_half,hgb,0.3,0.0032695097778776,0.0008772050138889249,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0002568005996966263,0.006527432189399273,0.001949445205059329,0.0052217647179025875,basic,False,False
