log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,rep
BPIC14,handover,ap,envelope,0.7042777566373607,0.2957222433626393,0.2742179877487843,rung,0.3920842520771169,rung,0.00022448328825864448,0.008853830418155451,960,1.0,0
BPIC14,handover,auc,envelope,0.4093308091741669,0.590669190825833,0.5791134337593163,learner,0.2726508244335142,learner,0.0024701009799904775,0.012650144152100565,960,1.0000000000000002,0
BPIC14,handover,brier_skill,envelope,0.8403160422086102,0.15968395779138977,0.1285980148922612,rung,0.4652671441442937,rung,0.011891793853988992,0.12905122427291957,960,0.9999999999999999,0
BPIC14,handover,logloss_skill,envelope,0.9094179900009339,0.09058200999906607,0.07742424161477379,learner,0.6505388019630901,learner,0.010735537503450797,0.1597046249282055,960,1.0,0
BPIC14,handover,nagelkerke,envelope,0.776190511387947,0.22380948861205296,0.19755631784103223,learner,0.3650762832462813,rung,0.019028656136023767,0.12316406594069652,960,1.0,0
BPIC14,handover,ap,envelope,0.8507621985889434,0.14923780141105658,0.1259984212682771,learner,0.6288229736115698,learner,0.00024818020958161104,0.01081473494752208,960,1.0,1
BPIC14,handover,auc,envelope,0.8522108094231104,0.14778919057688955,0.14296291762692037,rung,0.7699016848220758,rung,0.007455154534761899,0.055449546286771456,960,1.0,1
BPIC14,handover,brier_skill,envelope,0.862660491796438,0.137339508203562,0.1316154307250328,learner,0.7710429694810391,learner,0.012615115296546547,0.0876403107061766,960,1.0,1
BPIC14,handover,logloss_skill,envelope,0.8313768573959287,0.1686231426040713,0.14101967220251221,learner,0.4347448819492943,learner,0.011223274868903288,0.125161478129277,960,1.0,1
BPIC14,handover,nagelkerke,envelope,0.6634230080461434,0.3365769919538566,0.2921866987846021,learner,0.3075516436462165,learner,0.02064370008636772,0.09270370445370864,960,0.9999999999999998,1
BPIC14,handover,ap,envelope,0.9169865240185672,0.08301347598143283,0.06837523799096634,learner,0.6695947577076139,learner,0.00028442300683892153,0.024302400118581254,960,0.9999999999999999,2
BPIC14,handover,auc,envelope,0.8389899871240406,0.1610100128759594,0.1393185942447882,learner,0.49535841579374496,learner,0.011885977709537303,0.12638501899459684,960,0.9999999999999999,2
BPIC14,handover,brier_skill,envelope,0.7428424066366248,0.2571575933633752,0.23753690909134995,rung,0.4342328574528266,rung,0.010407132808275309,0.07776579132415258,960,1.0000000000000002,2
BPIC14,handover,logloss_skill,envelope,0.8949984890651276,0.10500151093487242,0.09245341820406927,rung,0.7963039443353401,rung,0.008241939991560077,0.08217042619179192,960,1.0,2
BPIC14,handover,nagelkerke,envelope,0.7219393733589878,0.27806062664101217,0.2734533083205103,learner,0.6653397826299801,learner,0.009950012901264849,0.03521017039392204,960,1.0,2
BPIC14,handover,ap,envelope,0.9140305866619415,0.08596941333805852,0.06867190764654196,rung,0.5697894100225889,rung,0.00012138235681299293,0.01961554390373579,960,1.0000000000000002,3
BPIC14,handover,auc,envelope,0.883361556937386,0.11663844306261395,0.10803302645978219,learner,0.8271000962635654,learner,0.012886339297105169,0.06951249046541394,960,0.9999999999999998,3
BPIC14,handover,brier_skill,envelope,0.5832384151701359,0.41676158482986414,0.3608206478858487,rung,0.36362306142276085,rung,0.006867295992920199,0.041207156239125645,960,1.0000000000000002,3
BPIC14,handover,logloss_skill,envelope,0.8464555174202939,0.1535444825797061,0.11502804337758737,rung,0.4316465314659856,rung,0.013448245332490777,0.143905036302289,960,0.9999999999999997,3
BPIC14,handover,nagelkerke,envelope,0.7990563181273227,0.2009436818726773,0.1565905284887943,rung,0.4228251164000125,rung,0.014158652973593616,0.12289274608196686,960,0.9999999999999997,3
BPIC14,handover,ap,envelope,0.8346773611738019,0.16532263882619813,0.1510114786674469,rung,0.5651412424392742,rung,0.00022585608706956995,0.014981682312391198,960,0.9999999999999998,4
BPIC14,handover,auc,envelope,0.8476325841880932,0.15236741581190683,0.14047481214533852,rung,0.6554177648293713,rung,0.004086545611417984,0.06389765742943015,960,1.0,4
BPIC14,handover,brier_skill,envelope,0.6538365990772279,0.3461634009227721,0.29916747112756026,rung,0.3803883920435389,rung,0.008398961957301285,0.05651629744774003,960,0.9999999999999999,4
BPIC14,handover,logloss_skill,envelope,0.6506824812744256,0.34931751872557437,0.3239262036647886,rung,0.4645883185765191,rung,0.007959115994448302,0.042374267455172206,960,1.0000000000000004,4
BPIC14,handover,nagelkerke,envelope,0.8866572748697528,0.11334272513024723,0.10197614516253373,learner,0.8099632826047028,learner,0.013227840244782716,0.08822413738503135,960,0.9999999999999999,4
BPIC14,handover,ap,envelope,0.790628582772401,0.209371417227599,0.1934250055618102,rung,0.6423718627551518,rung,7.043356479268253e-05,0.005957690638310115,960,0.9999999999999997,5
BPIC14,handover,auc,envelope,0.8522934934777597,0.14770650652224027,0.10063021682171785,rung,0.3188932782692458,rung,0.010105126216658713,0.13216230316644734,960,1.0,5
BPIC14,handover,brier_skill,envelope,0.8868435591473876,0.11315644085261245,0.10362041370368325,rung,0.8096230684293558,rung,0.006046021800313162,0.06269590424229927,960,0.9999999999999999,5
BPIC14,handover,logloss_skill,envelope,0.8210526962337482,0.1789473037662518,0.1698871561625631,rung,0.6865003059969308,rung,0.012404406314491799,0.07990491119434591,960,0.9999999999999999,5
BPIC14,handover,nagelkerke,envelope,0.8758554773734427,0.12414452262655729,0.10955150357041576,learner,0.6746794160891306,learner,0.01874498938713197,0.16354389805676628,960,0.9999999999999999,5
BPIC14,handover,ap,envelope,0.8936549264001503,0.10634507359984968,0.08932996028592743,learner,0.7083287504866435,learner,0.00023237235617105926,0.016479377391619417,960,1.0000000000000002,6
BPIC14,handover,auc,envelope,0.880195053063842,0.11980494693615795,0.10765915223483369,rung,0.630020801384953,rung,0.008954280715856125,0.1123516516252945,960,0.9999999999999999,6
BPIC14,handover,brier_skill,envelope,0.8652873513266088,0.13471264867339117,0.11707654223033548,learner,0.589209352190823,learner,0.01097568515122041,0.1288961863307246,960,0.9999999999999999,6
BPIC14,handover,logloss_skill,envelope,0.8646534407954972,0.13534655920450278,0.09794933939680073,rung,0.6037963158594233,rung,0.010036913828415418,0.15697547256663003,960,1.0000000000000002,6
BPIC14,handover,nagelkerke,envelope,0.8711632821903881,0.12883671780961192,0.08626576876843595,quality_level,0.31659935292225877,rung,0.01886530421932766,0.20277675621111851,960,1.0,6
BPIC14,handover,ap,envelope,0.8624403283790002,0.1375596716209998,0.11350174014257908,rung,0.5709769377964377,rung,0.00014851505954214603,0.01562817500176451,960,1.0000000000000002,7
BPIC14,handover,auc,envelope,0.5476295905251953,0.45237040947480467,0.4115683388581057,learner,0.31750913477896064,learner,0.006649917139603873,0.033371697309374844,960,1.0,7
BPIC14,handover,brier_skill,envelope,0.7905698726625263,0.20943012733747368,0.1669700156535831,rung,0.416798639242228,rung,0.012043428149857986,0.1112926302508603,960,1.0,7
BPIC14,handover,logloss_skill,envelope,0.8551817631353875,0.14481823686461248,0.12094591756834266,quality_level,0.3865234838628734,learner,0.010783471595638318,0.1342274211999192,960,0.9999999999999998,7
BPIC14,handover,nagelkerke,envelope,0.8241173929084185,0.17588260709158154,0.1569186677008334,learner,0.5508421817882794,learner,0.025772097071108193,0.1616363585741408,960,0.9999999999999998,7
BPIC14,handover,ap,envelope,0.7625229006557799,0.23747709934422012,0.18801147607472823,learner,0.5424274728705746,learner,0.0001416422639990562,0.00788434214311546,960,1.0000000000000002,8
BPIC14,handover,auc,envelope,0.8390993167666856,0.1609006832333144,0.12357188991515083,learner,0.39374584227210324,learner,0.010959687397621438,0.1190237287894797,960,1.0,8
BPIC14,handover,brier_skill,envelope,0.8749128290325694,0.1250871709674306,0.08443264749982615,learner,0.29614291504914886,learner,0.010927226787845943,0.15735057939520522,960,1.0,8
BPIC14,handover,logloss_skill,envelope,0.6870608948237642,0.3129391051762358,0.263167595341524,learner,0.3004844963540067,rung,0.011499043207425052,0.07491455403422191,960,1.0,8
