log,target,metric,split_set,share_resampling,share_analyst,share_counterfactual,share_mixed,check_sum,var_pooled
BPIC13_closed,handover,ap,all,0.839768808240461,0.08701807593536523,0.03204334614094111,0.041169769683232764,1.0,0.0009408256657493026
BPIC13_closed,handover,auc,all,0.8963402280590748,0.06263342861570485,0.01629496591252936,0.024731377412691172,1.0000000000000002,0.0009362418989708009
BPIC13_closed,handover,brier_skill,all,0.5420223252445933,0.31519700490287506,0.028793999247193947,0.11398667060533793,1.0000000000000002,0.0074157290536984695
BPIC13_closed,handover,logloss_skill,all,0.5664850613177292,0.34160404339761896,0.02831759928547863,0.06359329599917354,1.0000000000000004,0.02126811367056538
BPIC13_closed,handover,nagelkerke,all,0.5978463572786415,0.3147278656920105,0.02960072901558807,0.057825048013759844,1.0,0.37816188676966483
BPIC13_incidents,duration,ap,all,0.7370685761112805,0.11228645704261832,0.10934037447885703,0.04130459236724409,0.9999999999999999,0.0010048294838807578
BPIC13_incidents,duration,auc,all,0.6843301366343157,0.1569160588174858,0.12916796391660273,0.029585840631595757,1.0000000000000002,0.0014235994652745322
BPIC13_incidents,duration,brier_skill,all,0.7961562613409431,0.17335270682997536,0.016055338732595823,0.014435693096485801,1.0,0.0026966653607235825
BPIC13_incidents,duration,logloss_skill,all,0.8402962542603466,0.13337393615843907,0.015085215052014727,0.011244594529199663,1.0,0.0117196312854773
BPIC13_incidents,duration,nagelkerke,all,0.8672956668044979,0.0432699010415314,0.02914159810508814,0.06029283404888272,1.0,3.091380202467546
BPIC13_incidents,handover,ap,all,0.14583524160712497,0.7103359154755868,0.098723146359999,0.04510569655728933,1.0,0.001432137615725665
BPIC13_incidents,handover,auc,all,0.1817178148556658,0.559553888090008,0.1924541407348575,0.0662741563194689,1.0,0.0015962770926604565
BPIC13_incidents,handover,brier_skill,all,0.42303638980050107,0.19216196990610623,0.34654951158168007,0.038252128711712796,1.0000000000000002,0.003039784660591639
BPIC13_incidents,handover,logloss_skill,all,0.8351761145314613,0.10821720483116144,0.03254869354447436,0.024057987092902702,0.9999999999999999,0.02315952846349751
BPIC13_incidents,handover,nagelkerke,all,0.8657918091349998,0.06394746167725804,0.018721468721037353,0.051539260466704734,0.9999999999999999,0.9052673830426903
BPIC14,duration,ap,all,0.0701680519536634,0.7028382867802437,0.1591448386844025,0.06784882258169024,0.9999999999999998,0.002865844323968434
BPIC14,duration,auc,all,0.04768700600515565,0.6700230934732813,0.17483041099847418,0.10745948952308886,0.9999999999999999,0.0019830354900698417
BPIC14,duration,brier_skill,all,0.04830352333811381,0.7214530780733349,0.14950372428553643,0.08073967430301518,1.0000000000000002,0.002840052039427822
BPIC14,duration,logloss_skill,all,0.051380742566388235,0.7190190598231965,0.15064572130263143,0.07895447630778407,1.0000000000000002,0.001865052526963499
BPIC14,duration,nagelkerke,all,0.05346420119211436,0.7232353966239944,0.14704373411434096,0.07625666806955025,1.0,0.0049138100007386
BPIC14,handover,ap,all,0.049965272111192005,0.862438584719315,0.03478932667921391,0.05280681649027891,0.9999999999999998,0.00021966723328240316
BPIC14,handover,auc,all,0.03604528305570362,0.82007623621133,0.07210526866853809,0.07177321206442831,1.0,0.009960747131741329
BPIC14,handover,brier_skill,all,0.030787576558875273,0.691806109364489,0.15706798922257867,0.12033832485405704,1.0,0.010811033065487691
BPIC14,handover,logloss_skill,all,0.03778250245220654,0.722956048063705,0.1332158772420932,0.10604557224199514,0.9999999999999998,0.013833730668357965
BPIC14,handover,nagelkerke,all,0.031253312838479284,0.7394175936354475,0.12654930660319275,0.10277978692288056,1.0,0.018169320439264135
BPIC15_1,duration,ap,all,0.736453526182189,0.14106365660346695,0.0911780997944477,0.031304717419896266,0.9999999999999999,0.001969489150383295
BPIC15_1,duration,auc,all,0.6434121371278455,0.3176141502278528,0.005643952263835305,0.03332976038046635,0.9999999999999999,0.002103413376676562
BPIC15_1,duration,brier_skill,all,0.853886402412977,0.07395707673166944,0.024747225181777906,0.04740929567357557,0.9999999999999998,0.006469964272443692
BPIC15_1,duration,logloss_skill,all,0.804993409285014,0.09428331925990319,0.03877376401620519,0.06194950743887775,1.0000000000000002,0.008142680689944158
