partition,recovered,sd
routing queue,0.08054434065385524,0.003440102419676898
"random, matched profile",0.10048307323999088,0.00866091630449367
Category,-0.009042658410927685,0.001671283395872723
Priority,-0.010766302179676024,0.00502714772236294
Impact,-0.007571795319397057,0.0032434435382281144
