baseline,base_auc,gain,null_mean,null_sd,z,tuned_gain,C_base,C_full,resolvable
intake fields only,0.5623977964686157,0.18345785349865806,-0.011389563992672573,0.004171012411640298,46.71465780047983,0.18190651886474296,0.1,1.0,True
+ intake routing queue,0.6442537504512584,0.10333536025591061,0.0013667095928019994,0.003059499709928054,33.328537450819525,0.10333536025591061,1.0,1.0,True
+ knowledge reference,0.8052042468608479,-0.0032197248522803923,-0.00399158814087169,0.001002440995761629,0.7699837614929703,0.0002775567328862083,3.0,1.0,False
