field,nominal_k,perplexity,real,matched,matched_sd,delta,lo,hi
CI Type,13,2.669722256148054,0.6048836795950536,0.6024307939211289,0.019923832825229734,0.002452885673924765,-0.0441419098875447,0.04401427791010859
CI Subtype,61,5.824455159682437,0.5858655134338058,0.6293853747431359,0.02003551366457983,-0.043519861309330166,-0.07602509801615362,0.00257773843882969
Service Component,256,38.14992777355378,0.7175375551511224,0.6770848737806814,0.017911097833764156,0.040452681370441,0.010958642445741445,0.08096015373747036
CI Name,2554,182.00660610194274,0.7458556499672737,0.7109608782306122,0.007959114694808828,0.034894771736661556,0.020413818583691658,0.051593341411057966
