coverage,recovered,sd,rule,k
0.3015274372996417,0.5790819420537945,0.0,top-k,8
0.4246967125526432,0.7579747729245802,0.0,top-k,16
0.5719089823370419,0.757506338510131,0.0,top-k,32
0.7051354579169024,0.8998707517503646,0.0,top-k,64
0.8196932553900308,0.9543432367971603,0.0,top-k,128
0.8928908165189515,0.9528899318342174,0.0,top-k,256
0.926708152618015,0.9778367930396386,0.0,top-k,512
0.9519140109372054,0.9838024823905525,0.0,top-k,1024
0.12175393383200284,0.22019582696883624,0.12657742560989388,volume-proportional,8
0.23635992205669745,0.4371155866929435,0.12850005121360933,volume-proportional,16
0.3755180505793367,0.6059439642106899,0.12705753018804467,volume-proportional,32
0.5562176545770737,0.77880486113006,0.0583830476922263,volume-proportional,64
0.7169495254258597,0.8804738100130545,0.04694969211242142,volume-proportional,128
0.8327047583129047,0.9488285631392457,0.030643788814571516,volume-proportional,256
0.8988015169610494,0.961971756946467,0.012483686515185374,volume-proportional,512
0.9400339430511033,0.9748979703588453,0.004720906567120084,volume-proportional,1024
0.002256584323338991,0.002195479114147579,0.011269823930635041,uniform-random,8
0.003347161983782765,0.008940600563509994,0.030755542679244706,uniform-random,16
0.008528715402183251,0.024026779984879253,0.0581239941863398,uniform-random,32
0.02168164770465355,0.05384296829566251,0.06725546926149734,uniform-random,64
0.05247449033042094,0.11372045810643447,0.09288145915327703,uniform-random,128
0.08735830871414504,0.17989537258596913,0.11821880586740056,uniform-random,256
0.1882823139941752,0.36130777770786043,0.12464416575420097,uniform-random,512
0.3943616820667547,0.5963995888855042,0.12452372444842445,uniform-random,1024
