log,target,unit,threshold_measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC13_closed,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,186,False,0.007367223426921684,0.0006188694966327846,0.09170673367546545,0.006748353930288899,0.007367223426921684,0.006748353930288899,0.0006188694966327863,0.33870967741935476
BPIC13_closed,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.007367223426921684,0.0006188694966327846,0.09170673367546545,0.006748353930288899,0.007367223426921684,0.006748353930288899,0.0006188694966327863,0.33870967741935476
BPIC13_closed,handover,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.007367223426921684,0.0006188694966327846,0.09170673367546545,0.006748353930288899,0.007367223426921684,0.006748353930288899,0.0006188694966327863,0.33870967741935476
BPIC13_closed,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.006748353930288899,0.0,0.0,0.006748353930288899,0.007367223426921684,0.006748353930288899,0.0006188694966327863,0.33870967741935476
BPIC13_closed,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,False,0.003603987457023052,0.0,0.0,0.0043552954527266135,0.003603987457023052,0.003603987457023052,-0.0007513079957035609,0.4128534178907912
BPIC13_closed,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.003603987457023052,0.0,0.0,0.0043552954527266135,0.003603987457023052,0.003603987457023052,-0.0007513079957035609,0.4128534178907912
BPIC13_closed,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,0.003603987457023052,0.0,0.0,0.0043552954527266135,0.003603987457023052,0.003603987457023052,-0.0007513079957035609,0.4128534178907912
BPIC13_closed,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,False,0.003603987457023052,0.0,0.0,0.0043552954527266135,0.003603987457023052,0.003603987457023052,-0.0007513079957035609,0.4128534178907912
BPIC13_incidents,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,186,True,0.016526395882177886,0.0,0.0,0.016526395882177886,0.018480758959367318,0.016526395882177886,0.0019543630771894326,0.521505376344086
BPIC13_incidents,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.018480758959367318,0.0019543630771894326,0.11825706531071445,0.016526395882177886,0.018480758959367318,0.016526395882177886,0.0019543630771894326,0.521505376344086
