log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,boot_shift,sim_lo,sim_hi,raw_lo,raw_hi,sim_resolved,raw_resolved,label
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,ap,-0.041182505370312,0.0195961758422384,2.4341788529885044,0.0082853869018855,-0.0971684891068184,-0.0017672954375765,-0.0888831022049329,0.0065180914643089,True,False,harmful
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,auc,-0.0292080698584763,0.0338431442348685,2.4341788529885044,0.0051341645460827,-0.1167225004197159,0.0480380316105979,-0.1115883358736332,0.0531721961566806,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,brier_skill,-0.0145575526355523,0.0349863749379305,2.4341788529885044,-0.0199759438719977,-0.0797447027801921,0.0905814852530829,-0.0997206466521898,0.0706055413810852,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,logloss_skill,-0.0207580062001666,0.0327482365831204,2.4341788529885044,-0.021480875243067,-0.0789921959203957,0.0804379340061967,-0.1004730711634628,0.0589570587631296,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,nagelkerke,-0.0490785168817825,0.0850340752778633,2.4341788529885044,-0.0564617575461795,-0.1996049071604105,0.2143713884892045,-0.25606666470659,0.157909630943025,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,scalars,5,ap,0.0011650179878267,0.0272220514769913,2.278158380990668,0.0050244291983694,-0.0658755559306098,0.0581567335095243,-0.0608511267322404,0.0631811627078938,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,scalars,5,auc,-0.0085315667971495,0.0231321114758209,2.278158380990668,0.0007192982241775,-0.0619494786499789,0.0434477486073248,-0.0612301804258014,0.0441670468315024,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,scalars,5,brier_skill,-0.0075115287194982,0.0333331240495843,2.278158380990668,-0.0046416179211148,-0.0788080467165455,0.0730682251197787,-0.0834496646376603,0.0684266071986639,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,scalars,5,logloss_skill,-0.0023671770308478,0.0295751934585396,2.278158380990668,-0.0083860649639155,-0.0613580869139247,0.0733958627800602,-0.0697441518778402,0.0650097978161446,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,scalars,5,nagelkerke,-0.003759416108133,0.0507066349162972,2.278158380990668,-0.0138184007720567,-0.1054587606424726,0.1255767299703202,-0.1192771614145294,0.1117583291982634,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake_g,scalars,5,ap,-0.0144480850365501,0.0304246062714322,2.2345235940792336,-0.0009849719723757,-0.0814476136182606,0.0545213874899118,-0.0824325855906363,0.0535364155175361,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake_g,scalars,5,auc,-0.0090710629328516,0.0159984696422445,2.2345235940792336,-0.0018405127589875,-0.0429795080586197,0.0285184077108916,-0.0448200208176073,0.0266778949519041,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake_g,scalars,5,brier_skill,-0.0134902018903672,0.0282789454711379,2.2345235940792336,-0.0053835753650516,-0.0712965973962533,0.0550833443456222,-0.076680172761305,0.0496997689805706,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake_g,scalars,5,logloss_skill,-0.0042859417161112,0.0238246496240319,2.2345235940792336,-0.0068852135302325,-0.050637469891449,0.0558360135196917,-0.0575226834216815,0.0489507999894591,False,False,unresolved
BPIC13_closed,handover,logit,clean,1.0,B_intake_g,scalars,5,nagelkerke,-0.0057731387405943,0.0347358861917218,2.2345235940792336,-0.0102453085307677,-0.0731459874664799,0.0820903270468269,-0.0833912959972477,0.0718450185160591,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_half,scalars,5,ap,-0.0373617889815573,0.0177915700236274,2.589852077333769,0.0057125174022745,-0.0891518409685527,0.003003228200889,-0.0834393235662781,0.0087157456031635,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_half,scalars,5,auc,-0.0238005620796949,0.0298967265765862,2.589852077333769,0.001744736712439,-0.1029733982219855,0.0518828006377175,-0.1012286615095464,0.0536275373501566,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_half,scalars,5,brier_skill,-0.0242458199275255,0.0254959768319187,2.589852077333769,-0.0134424747581864,-0.0768341537311375,0.0552274633924594,-0.090276628489324,0.0417849886342729,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_half,scalars,5,logloss_skill,-0.0299905819850565,0.0257686062786267,2.589852077333769,-0.0143599984541148,-0.082367462031639,0.0511062949697557,-0.0967274604857539,0.0367462965156409,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_half,scalars,5,nagelkerke,-0.0713302745379294,0.0674531874411653,2.589852077333769,-0.0325163228074142,-0.2135077293478013,0.135879825886771,-0.2460240521552155,0.1033635030793568,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake,scalars,5,ap,-0.0167647658794395,0.0224997122083311,2.575251410288101,0.0081188041736802,-0.0828259856487008,0.0330588455424614,-0.0747071814750206,0.0411776497161416,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake,scalars,5,auc,-0.0200993676603433,0.01681868546863,2.575251410288101,-0.0012269120559284,-0.0621847990766963,0.0244398878678666,-0.0634117111326248,0.0232129758119382,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake,scalars,5,brier_skill,-0.0275061955966013,0.0229605227620849,2.575251410288101,-0.0085413484082971,-0.0780939658123154,0.040164271435707,-0.0866353142206125,0.0316229230274099,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake,scalars,5,logloss_skill,-0.0207892737988166,0.0201332122768042,2.575251410288101,-0.008292940560443,-0.0643444165478434,0.0393517500710963,-0.0726373571082864,0.0310588095106532,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake,scalars,5,nagelkerke,-0.0334093667847878,0.036903248825853,2.575251410288101,-0.0152422419350125,-0.1132022684327658,0.0768680187332154,-0.1284445103677784,0.0616257767982028,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake_g,scalars,5,ap,-0.0095160903628417,0.0249064053708032,2.396425731653244,-0.0075979990879591,-0.061604441988462,0.0577682594386969,-0.0692024410764212,0.0501702603507378,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake_g,scalars,5,auc,-0.0104762621700291,0.010819010992414,2.396425731653244,-0.0038417865735359,-0.0325614319297535,0.0192924807367671,-0.0364032185032894,0.0154506941632311,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake_g,scalars,5,brier_skill,-0.0150677306337302,0.0195802784157995,2.396425731653244,-0.007647036008902,-0.0543433776533848,0.0395019884037284,-0.0619904136622868,0.0318549523948264,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake_g,scalars,5,logloss_skill,-0.0117373771397455,0.0166708907591703,2.396425731653244,-0.0085401986399046,-0.043147730084697,0.0367533730850152,-0.0516879287246016,0.0282131744451106,False,False,unresolved
BPIC13_closed,handover,logit,mask_rare,0.5,B_intake_g,scalars,5,nagelkerke,-0.0158859781909004,0.0246264707461234,2.396425731653244,-0.0130183133501865,-0.0618831730165299,0.0561478433351023,-0.0749014863667165,0.0431295299849157,False,False,unresolved
