org,task,intake,config_only,both,delta,lo,hi
Rabobank,long-handling,0.6534420516192667,0.7342594789177066,0.7614983328907379,0.10805628127147116,0.09786229610839645,0.11835509502322925
ServiceNow-IT,sla-breach,0.7393155583554132,,0.7418139972067082,0.0024984388512949707,0.0001484998205664001,0.004805070906115424
