log,target,learner,quality,level,rung,metric,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,pct_resolved,basic_resolved,bc_resolved,lo,hi,resolved
BPIC13_closed,handover,logit,clean,1.0,B_half,ap,-0.041182505370312,0.01959617584223842,250,-0.07177021488422894,0.004871078308511421,-0.08723608904913542,-0.010594795856395056,-0.07988288180417331,-0.009585586020468311,0.008285386901885503,False,True,True,-0.08723608904913542,-0.010594795856395056,True
BPIC13_closed,handover,logit,clean,1.0,B_half,auc,-0.0292080698584763,0.03384314423486859,250,-0.09130852044886957,0.03903644157478505,-0.09745258129173764,0.03289238073191697,-0.10088527541875394,0.03321314178254978,0.0051341645460827,False,False,False,-0.09745258129173764,0.03289238073191697,False
BPIC13_closed,handover,logit,clean,1.0,B_half,brier_skill,-0.0145575526355523,0.03498637493793055,250,-0.11687766056571651,0.02642636750702554,-0.05554147277813014,0.08776255529461191,-0.05595615692950405,0.04431910398021015,-0.019975943871997748,False,False,False,-0.05554147277813014,0.08776255529461191,False
BPIC13_closed,handover,logit,clean,1.0,B_half,logloss_skill,-0.0207580062001666,0.032748236583120434,250,-0.11253502737781249,0.014849341437679565,-0.05636535383801276,0.07101901497747928,-0.0629535072390983,0.019567121622493064,-0.021480875243067098,False,False,False,-0.05636535383801276,0.07101901497747928,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nagelkerke,-0.0490785168817825,0.08503407527786336,250,-0.27190563892428404,0.03509530114032044,-0.13325233490388544,0.17374860516071905,-0.15325874704261302,0.05008711950325223,-0.056461757546179506,False,False,False,-0.13325233490388544,0.17374860516071905,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.050,0.0,0.0004821934639738852,250,0.0,0.0006799717414340707,-0.0006799717414340707,0.0,-0.004356528906158,-0.0011592913075845384,0.0,False,False,True,-0.0006799717414340707,0.0,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.075,0.0001813894431343,0.002087987485547877,250,-0.0057636495555957595,0.003665578330007805,-0.003302799443739205,0.006126428441864359,-0.006240361114914608,0.0020616547017085853,1.0001765041178778e-16,False,False,False,-0.003302799443739205,0.006126428441864359,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.100,0.0019885657469549,0.003674833667060303,250,-0.0084514044245588,0.006655480984339986,-0.002678349490430186,0.0124285359184686,-0.0024857071836937,0.011373224358124061,-0.0009942828734775002,False,False,False,-0.002678349490430186,0.0124285359184686,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.125,-0.0006391818472355,0.004307637850171985,250,-0.0076701821668264,0.009835410674336797,-0.011113774368807797,0.0063918184723554,-0.012943423304418382,0.004570304336455367,0.0022371364653242997,False,False,False,-0.011113774368807797,0.0063918184723554,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.150,0.0027635215159889,0.006019449127263031,250,-0.008757731280431632,0.014314383471509406,-0.008787340439531607,0.014284774312409432,-0.01174543812157651,0.012381986310764342,0.0011185682326621499,False,False,False,-0.008787340439531607,0.014284774312409432,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.175,0.005152193071656,0.007897762475243717,250,-0.008406209748491577,0.021815470137617702,-0.011511083994305702,0.01871059589180358,-0.013919643780490902,0.016520003804376966,0.0023388244864755506,False,False,False,-0.011511083994305702,0.01871059589180358,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.200,0.0156599552572706,0.01044916935851196,250,-0.011744966442953,0.0262863534675615,0.005033557046979702,0.0430648769574942,0.0,0.0320999825273175,-0.0053131991051454,False,True,False,0.005033557046979702,0.0430648769574942,True
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.225,0.0263404777368838,0.014380691771402882,250,-0.022355127372447114,0.033089774121382684,0.01959118135238492,0.07503608284621471,0.015443535509440002,0.039039068775052616,-0.017211517644511752,False,True,True,0.01959118135238492,0.07503608284621471,True
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.250,0.0082028337061894,0.017146342047961515,250,-0.03173005219985083,0.036950037285607744,-0.020544369873228944,0.048135719612229635,-0.03173005219985084,0.036950037285607744,-0.0003728560775540495,False,False,False,-0.020544369873228944,0.048135719612229635,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.275,0.0037028465632955,0.019678376561301877,250,-0.03717889377458914,0.03891653166705234,-0.03151083854046134,0.04458458690118014,-0.04097014115628416,0.03226023695913115,0.004319987657178101,False,False,False,-0.03151083854046134,0.04458458690118014,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.300,0.0233301374240971,0.022259694811678075,250,-0.04204218600191749,0.039661233620965027,0.0069990412272291705,0.08870246085011169,0.001256340482333565,0.05532691430505097,-0.01725790987535955,False,True,True,0.0069990412272291705,0.08870246085011169,True
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.325,0.0091142596735437,0.025119457779792746,250,-0.047282293479161394,0.04455630126771066,-0.02632778192062326,0.0655108128262488,-0.02859002611315004,0.05984642890042893,-0.01234567901234555,False,False,False,-0.02632778192062326,0.0655108128262488,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.350,-0.0111856823266219,0.024622537374747795,250,-0.05544656685596278,0.044807262089141285,-0.06717862674238509,0.03307520220271898,-0.055036828306960724,0.04604887060209827,-0.0003441748408190993,False,False,False,-0.06717862674238509,0.03307520220271898,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.375,-0.0013422818791946,0.023565099753791455,250,-0.05945190156599551,0.03827740492170012,-0.04096196868008932,0.05676733780760631,-0.03372496515179895,0.04906990074883221,-0.015212527964205799,False,False,False,-0.04096196868008932,0.05676733780760631,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.400,-0.0201342281879194,0.028190365133134908,250,-0.064131245339299,0.04423937360178972,-0.08450782997762851,0.023862788963460196,-0.0753169276659209,0.025725136125878213,0.00708426547352725,False,False,False,-0.08450782997762851,0.023862788963460196,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.425,-0.0317089777259021,0.031026877028774158,250,-0.07396897188989396,0.04755130823849817,-0.11096926369030238,0.010551016438089755,-0.09286591592186876,0.0110884155237817,0.016778523489932903,False,False,False,-0.11096926369030238,0.010551016438089755,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.450,-0.0518608907870652,0.03207726196509023,250,-0.07967256457189341,0.045840959934919635,-0.14956274150905002,-0.024049217002236986,-0.10492425808458464,-0.027163751745093175,0.035285743339434544,False,True,True,-0.14956274150905002,-0.024049217002236986,True
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.475,-0.0187493341855757,0.030523822730476716,250,-0.0749973367423031,0.04077713859593058,-0.07827580696708197,0.037498668371151705,-0.07612412359935034,0.03425851394876877,0.0019708106956428523,False,False,False,-0.07827580696708197,0.037498668371151705,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.500,-0.0044742729306487,0.028835484262591048,250,-0.0805369127516778,0.03255033557046975,-0.04149888143176715,0.07158836689038041,-0.049217002237136424,0.07213582931259013,-0.0156599552572707,False,False,False,-0.04149888143176715,0.07158836689038041,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.525,-0.0051807370775933,0.027401932276145586,250,-0.07412575061815614,0.028190863063699462,-0.03855233721888606,0.06376427646296955,-0.042582561785484994,0.06109350746588395,-0.01872129989403035,False,False,False,-0.03855233721888606,0.06376427646296955,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.550,0.005965697240865,0.026352699043533122,250,-0.07846134725329354,0.023775789212030742,-0.011844394730300743,0.09039274173502354,-0.013919960228685,0.036279248244030185,-0.0289584886900323,False,False,False,-0.011844394730300743,0.09039274173502354,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.575,0.0078957757599683,0.02693987074751375,250,-0.07798723516252128,0.02068364258455052,-0.00489209106461392,0.09377878668245787,-0.0085537570732991,0.04486223550729874,-0.03191209369653886,False,False,False,-0.00489209106461392,0.09377878668245787,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.600,-0.0100671140939597,0.027946905333642594,250,-0.0805369127516778,0.02323825503355701,-0.04337248322147641,0.060402684563758406,-0.0559284116331096,0.03763138195828377,-0.012863534675615202,False,False,False,-0.04337248322147641,0.060402684563758406,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.625,-0.0305741983594332,0.027838482474992897,250,-0.0842654735272184,0.025260999254287764,-0.08640939597315417,0.023117076808352004,-0.09014383065288824,0.011325385138364272,0.008948545861297497,False,False,False,-0.08640939597315417,0.023117076808352004,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.650,-0.0159795461808884,0.028389583664386885,250,-0.08527484819431125,0.024712368168743913,-0.05667146053052071,0.05331575583253445,-0.07409060781482821,0.028961399927263716,-0.006391818472355398,False,False,False,-0.05667146053052071,0.05331575583253445,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.675,-0.016692479779728,0.02676616875253751,250,-0.08125967991739806,0.018508002065049003,-0.051892961624505005,0.04787472035794206,-0.07642411974566118,0.025249283193827313,-0.0024952675959388493,False,False,False,-0.051892961624505005,0.04787472035794206,False
BPIC13_closed,handover,logit,clean,1.0,B_half,nb_0.700,-0.0149142431021625,0.02543874161607041,250,-0.0745712155108128,0.026845637583892575,-0.056674123788217574,0.0447427293064878,-0.0698388163262774,0.03363001130242445,-0.004101416853094701,False,False,False,-0.056674123788217574,0.0447427293064878,False
