coverage,spread,n_rules,top-k,volume-proportional,uniform-random
0.35,0.10369164857249091,3,0.6494841908550225,0.5749851469108127,0.5457925422825316
0.45,0.08069935313790988,2,0.7578942570093212,0.6771949038714113,
0.55,0.015280873340323131,2,0.7575760536318886,0.7728569269722118,
0.7,0.024630457140751405,2,0.8943830553305829,0.8697525981898315,
0.85,0.00147382631065196,2,0.9537415098861401,0.9522676835754882,
