variant,gain
split 55%,0.0912702444113217
split 65%,0.10077207772248076
split 70%,0.10333536025591061
split 75%,0.11629246194586007
split 80%,0.11832262392191883
target >= 2,0.0678006432248488
cutoff 2013-10-15,0.11903462032438195
cutoff 2013-11-01,0.11703716855571655
cutoff 2013-12-01,0.12957661557720546
