axis,S,S_total,levels,interaction
baseline_pair,0.2593571930841244,0.6156324853951727,6,0.35627529231104826
metric,0.2589889536965393,0.6522002466893332,5,0.3932112929927939
population,0.07185374551799859,0.2522041671868982,4,0.1803504216688996
