label,n,n_test,prevalence,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,central_share,seed,actual_central
central=0.00,14989,4497,0.6070713809206137,0.5779264123916077,0.8232983202422932,0.8205778092874867,0.8320815479559114,0.24537190785068552,0.01150373866842469,0.9531171324004011,0.0,0,0.0
central=0.00,14989,4497,0.6070713809206137,0.5779264123916077,0.8232983202422932,0.8205778092874867,0.8320815479559114,0.24537190785068552,0.01150373866842469,0.9531171324004011,0.0,1,0.0
central=0.00,14989,4497,0.6070713809206137,0.5779264123916077,0.8232983202422932,0.8205778092874867,0.8320815479559114,0.24537190785068552,0.01150373866842469,0.9531171324004011,0.0,2,0.0
central=0.20,18735,5621,0.513787582280733,0.5746443894414527,0.8019105515536487,0.7944494193772026,0.811201745263847,0.22726616211219597,0.016752325886644437,0.926287636791375,0.2,0,0.2
central=0.20,18735,5621,0.5185909980430529,0.5791258609607771,0.8048062941256264,0.7892522683218411,0.8154431610587742,0.22568043316484931,0.02619089273693309,0.8839469936775519,0.2,1,0.2
central=0.20,18735,5621,0.5191247109055328,0.5779134548797987,0.8141821705986569,0.7889615452786827,0.8202290020201958,0.2362687157188582,0.0312674567415131,0.8676614606111501,0.2,2,0.2
central=0.40,24979,7494,0.4419535628502802,0.5915943097517079,0.7767023873883241,0.7429748020039876,0.781525977157683,0.1851080776366162,0.03855117515369544,0.7917369374373016,0.4,0,0.4000160134512991
central=0.40,24979,7494,0.4466239658393381,0.5915478873248569,0.7906102222268012,0.7403316525227036,0.7943267183760472,0.19906233490194436,0.05399506585334357,0.7287529763983684,0.4,1,0.4000160134512991
central=0.40,24979,7494,0.44849212703496133,0.5943783581514177,0.7922885825533386,0.7363126432895859,0.7948530103600077,0.19791022440192085,0.05854036707042176,0.7042074645343407,0.4,2,0.4000160134512991
central=0.66,44084,13226,0.37486768486314836,0.5624333540589526,0.7488211450299594,0.6467321875305542,0.7504366260526497,0.18638779097100688,0.10370443852209554,0.4436092730010034,0.66,0,0.6600127030215044
central=0.66,44084,13226,0.37486768486314836,0.5656894303050315,0.7478121615864505,0.648187432878365,0.7496288855413046,0.18212273128141898,0.10144145266293958,0.4430049892773099,0.66,1,0.6600127030215044
central=0.66,44084,13226,0.37501890216240735,0.5633266226594755,0.7481895693005939,0.6486442105437744,0.7513911070806959,0.18486294664111835,0.10274689653692148,0.4441996170471737,0.66,2,0.6600127030215044
central=0.80,38082,11425,0.3422319474835886,0.5399844811655461,0.7223594584062907,0.6024768706406454,0.7248023135315047,0.18237497724074458,0.12232544289085934,0.3292641088070799,0.8,0,0.8000105036500184
central=0.80,38082,11425,0.34407002188183805,0.5431900680384891,0.7244434231350145,0.6073176526466658,0.7275795536794057,0.1812533550965254,0.12026190103273993,0.336498345265415,0.8,1,0.8000105036500184
central=0.80,38082,11425,0.34407002188183805,0.5450200743992124,0.7263571053569728,0.596038214443343,0.7313210357992153,0.18133703095776044,0.13528282135587222,0.25397024181241734,0.8,2,0.8000105036500184
central=0.95,32069,9621,0.3145203201330423,0.5401315212560138,0.6905520615619898,0.5486511141499474,0.6919358984830484,0.15042054030597596,0.143284784333101,0.047438707229477184,0.95,0,0.9500140322429761
central=0.95,32069,9621,0.31607940962477915,0.5391450830543866,0.6935222176355763,0.5511834712825429,0.694183844100235,0.15437713458118973,0.14300037281769218,0.07369460376604098,0.95,1,0.9500140322429761
central=0.95,32069,9621,0.31566365242698263,0.5382709793070558,0.6943731593457922,0.5498958321247345,0.6952452508570882,0.15610218003873644,0.14534941873235374,0.06888283881566815,0.95,2,0.9500140322429761
