log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
BPIC15_1,duration,B_intake_g,logit,isotonic,with_f,360,0.18301011607760145,0.21309219703951066,1.3150721040069573,-0.9246849847325986
BPIC15_1,duration,B_intake_g,hgb,raw,without_f,360,0.22723523113783173,0.27531599522903566,0.4169717503338186,-1.1904778895225607
BPIC15_1,duration,B_intake_g,hgb,raw,with_f,360,0.21613567673856812,0.2799275948194102,0.3406050110075147,-1.3188479450572783
BPIC15_1,duration,B_intake_g,hgb,platt,without_f,360,0.19664773595251406,0.2137764956967464,3.483033250060437,-0.3515157749107407
BPIC15_1,duration,B_intake_g,hgb,platt,with_f,360,0.1644489566235908,0.20468360881109363,2.264153147240845,-0.47017756392724425
BPIC15_1,duration,B_intake_g,hgb,isotonic,without_f,360,0.1507969801211479,0.2001885991174695,1.8813271941419125,-0.5305162284627348
BPIC15_1,duration,B_intake_g,hgb,isotonic,with_f,360,0.14796216550254032,0.20183262634114205,1.644535683507242,-0.6147348628507538
BPIC13_closed,handover,B_half,logit,raw,without_f,447,0.16252776419559506,0.2709045694949956,-0.27955752728433386,-0.7973771125128859
BPIC13_closed,handover,B_half,logit,raw,with_f,447,0.1732674733072081,0.27416491454970615,-0.09517800710000451,-0.8188888127279182
BPIC13_closed,handover,B_half,logit,platt,without_f,447,0.15532542265395244,0.24926479679167668,-0.14346228011440343,-0.747297332425392
BPIC13_closed,handover,B_half,logit,platt,with_f,447,0.15279955388315375,0.24856060301387878,-0.01995644618776543,-0.7335790883620704
BPIC13_closed,handover,B_half,logit,isotonic,without_f,447,0.1493595238573179,0.26222238524343916,-0.28804157642818834,-0.6621101401201163
BPIC13_closed,handover,B_half,logit,isotonic,with_f,447,0.14580178067496258,0.2615232418779942,-0.2012455708781624,-0.6935741920643465
BPIC13_closed,handover,B_half,hgb,raw,without_f,447,0.21119345266741976,0.28316947392794006,-0.045554666432916224,-0.8942232201967649
BPIC13_closed,handover,B_half,hgb,raw,with_f,447,0.2660615986370011,0.3259804216737561,-0.009419112948673295,-1.2140378696363991
BPIC13_closed,handover,B_half,hgb,platt,without_f,447,0.2191631782464447,0.2608556984915449,-0.4164072002814457,-0.7851247749948619
BPIC13_closed,handover,B_half,hgb,platt,with_f,447,0.1560966963634437,0.23805690376033553,-0.12461409094736371,-0.6839044581485018
BPIC13_closed,handover,B_half,hgb,isotonic,without_f,447,0.12647689422569583,0.2806159735350965,-0.1962860385306671,-0.6491018922430464
BPIC13_closed,handover,B_half,hgb,isotonic,with_f,447,0.18829076570675063,0.25764570364480605,-0.4022408475514717,-0.6782590898988258
