code,n_eligible_adjudicated,n_in,weighted_eligible,p,se_design,design_lo,design_hi,boot_lo,boot_hi,wilson_lo,wilson_hi,design_width,boot_width,wilson_width
B_stated,37,0,54.875,0.8496583143507973,0.04849350383530288,0.7546110468336037,0.9447055818679909,0.7046979865771812,0.9727891156462585,0.6818105651859963,0.9371293814314039,0.19009453503438722,0.2680911290690773,0.25531881624540764
B_justified,37,0,54.875,0.17539863325740318,0.037423051384211425,0.10204945254434879,0.2487478139704576,0.06666320166320167,0.31468743121285475,0.0784849370943008,0.3469291189774939,0.14669836142610881,0.24802422954965309,0.2684441818831931
M_justified,37,0,54.875,0.05466970387243736,0.006531300046320232,0.041868355781649706,0.06747105196322502,0.0,0.12903225806451613,0.013334724451530638,0.1983736822995984,0.02560269618157531,0.12903225806451613,0.18503895784806776
Theta_stated,37,0,54.875,0.27107061503416857,0.055827213706970115,0.16164927616850716,0.38049195389983,0.12059841090268095,0.44216135513628374,0.14440344419285492,0.450362258510411,0.21884267773132282,0.32156294423360277,0.3059588143175561
Range_reported,37,0,54.875,0.4396355353075171,0.06244174223652649,0.3172497205239252,0.562021350091109,0.26391649500680614,0.6194690265486725,0.2781594134873129,0.6149877618523543,0.2447716295671838,0.3555525315418664,0.3368283483650414
