instrument,rank_based,R_before,R_after,abs_shift
auc,True,-2.181775754352198,-2.181775754352198,0.0
ap,True,-2.6086279364648632,-2.6086279364648632,0.0
brier_skill,False,-1.062237204397202,1.1381171869793927,2.2003543913765946
nagelkerke,False,-0.5485940449809226,1.0960270285678615,1.644621073548784
nb_0.20,False,-1.3362068965517233,2.918961447678993,4.255168344230716
nb_0.40,False,-1.278481012658225,1.4024916147580258,2.6809726274162506
