log,actual,predicted
BPIC14,0.2562870289293525,0.5001343919887999
BPIC14,0.3495940642641149,-0.03038872345112653
BPIC13_incidents,0.378454700397685,0.12123913826268896
BPIC13_incidents,0.1346388995032478,0.42889621235500464
BPIC19,0.4711233345501765,0.09662522822113925
BPIC15_3,0.024231127679409,0.016197555405081054
BPIC15_4,0.0226354082457553,-0.0034990848334413016
Sepsis,0.0346962466142121,0.4453914862006233
RoadFines,-0.1595309840171312,0.20801835119566667
