pair,b_lo,b_hi,instrument,population,regime,V_lo,R
empty -> B0_half,empty,B0_half,nb_0.500,1.0,full,0.0121584894864826,-0.029411764705876475
empty -> B0,empty,B0,nb_0.500,1.0,full,0.0121584894864826,-0.029411764705876475
empty -> B0+g,empty,B0+g,nb_0.500,1.0,full,0.0121584894864826,-0.35294117647059253
B0_half -> B0,B0_half,B0,nb_0.500,1.0,full,0.0125160921184379,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.500,1.0,full,0.0125160921184379,-0.31428571428572605
B0 -> B0+g,B0,B0+g,nb_0.500,1.0,full,0.0125160921184379,-0.31428571428572605
empty -> B0_half,empty,B0_half,nb_0.525,0.5,random,0.0066476447161387,0.013590033975082183
empty -> B0,empty,B0,nb_0.525,0.5,random,0.0066476447161387,0.002831257078150795
empty -> B0+g,empty,B0+g,nb_0.525,0.5,random,0.0066476447161387,0.768969422423559
B0_half -> B0,B0_half,B0,nb_0.525,0.5,random,0.0065573029985921,-0.01090700344430573
