pair,b_lo,b_hi,instrument,population,regime,V_lo,R
B0 -> B0+g,B0,B0+g,nb_0.300,0.5,random,0.0013486727833745,-0.7878787878787046
empty -> B0_half,empty,B0_half,nb_0.300,0.5,rare-first,0.0031979892514865,0.022364217252436203
empty -> B0,empty,B0,nb_0.300,0.5,rare-first,0.0031979892514865,0.022364217252436203
empty -> B0+g,empty,B0+g,nb_0.300,0.5,rare-first,0.0031979892514865,-0.43450479233227823
B0_half -> B0,B0_half,B0,nb_0.300,0.5,rare-first,0.0031264687250953,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.300,0.5,rare-first,0.0031264687250953,-0.4673202614379788
B0 -> B0+g,B0,B0+g,nb_0.300,0.5,rare-first,0.0031264687250953,-0.4673202614379788
empty -> B0_half,empty,B0_half,nb_0.300,0.75,rare-first,0.0031979892514865,0.11501597444091749
empty -> B0,empty,B0,nb_0.300,0.75,rare-first,0.0031979892514865,0.11501597444091749
empty -> B0+g,empty,B0+g,nb_0.300,0.75,rare-first,0.0031979892514865,-0.5814696485622786
B0_half -> B0,B0_half,B0,nb_0.300,0.75,rare-first,0.0028301694014752,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.300,0.75,rare-first,0.0028301694014752,-0.7870036101083251
B0 -> B0+g,B0,B0+g,nb_0.300,0.75,rare-first,0.0028301694014752,-0.7870036101083251
empty -> B0_half,empty,B0_half,nb_0.300,1.0,full,0.0030958170709278,0.07590759075909248
empty -> B0,empty,B0,nb_0.300,1.0,full,0.0030958170709278,0.00660066006596316
empty -> B0+g,empty,B0+g,nb_0.300,1.0,full,0.0030958170709278,-0.6600660066007036
B0_half -> B0,B0_half,B0,nb_0.300,1.0,full,0.0028608210556428,-0.07500000000006635
B0_half -> B0+g,B0_half,B0+g,nb_0.300,1.0,full,0.0028608210556428,-0.7964285714286508
B0 -> B0+g,B0,B0+g,nb_0.300,1.0,full,0.0030753826348162,-0.671096345514921
B0_half -> B0,B0_half,B0,nb_0.325,0.25,rare-first,0.0001430410527821,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.325,0.25,rare-first,0.0001430410527821,1.0
B0 -> B0+g,B0,B0+g,nb_0.325,0.25,rare-first,0.0001430410527821,1.0
empty -> B0_half,empty,B0_half,nb_0.325,0.5,random,0.0013138585588877,-0.37298387096779284
empty -> B0,empty,B0,nb_0.325,0.5,random,0.0013138585588877,-0.37298387096779284
empty -> B0+g,empty,B0+g,nb_0.325,0.5,random,0.0013138585588877,-1.09475806451632
B0_half -> B0,B0_half,B0,nb_0.325,0.5,random,0.0018039066100858,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.325,0.5,random,0.0018039066100858,-0.5256975036711544
B0 -> B0+g,B0,B0+g,nb_0.325,0.5,random,0.0018039066100858,-0.5256975036711544
empty -> B0_half,empty,B0_half,nb_0.325,0.5,rare-first,0.0036634402962538,-0.03904555314532421
empty -> B0,empty,B0,nb_0.325,0.5,rare-first,0.0036634402962538,-0.03904555314532421
empty -> B0+g,empty,B0+g,nb_0.325,0.5,rare-first,0.0036634402962538,-0.36587129428778375
B0_half -> B0,B0_half,B0,nb_0.325,0.5,rare-first,0.0038064813490359,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.325,0.5,rare-first,0.0038064813490359,-0.3145441892832477
B0 -> B0+g,B0,B0+g,nb_0.325,0.5,rare-first,0.0038064813490359,-0.3145441892832477
empty -> B0_half,empty,B0_half,nb_0.325,0.75,rare-first,0.0036634402962538,0.03253796095443229
empty -> B0,empty,B0,nb_0.325,0.75,rare-first,0.0036634402962538,0.05206073752710816
empty -> B0+g,empty,B0+g,nb_0.325,0.75,rare-first,0.0036634402962538,-0.6059291395517572
B0_half -> B0,B0_half,B0,nb_0.325,0.75,rare-first,0.0035442394189354,0.020179372197317025
B0_half -> B0+g,B0_half,B0+g,nb_0.325,0.75,rare-first,0.0035442394189354,-0.6599402092675986
B0 -> B0+g,B0,B0+g,nb_0.325,0.75,rare-first,0.0034727188925443,-0.6941266209001253
empty -> B0_half,empty,B0_half,nb_0.325,1.0,full,0.0031283608025132,-0.24132091447927362
empty -> B0,empty,B0,nb_0.325,1.0,full,0.0031283608025132,-0.10668924640136401
empty -> B0+g,empty,B0+g,nb_0.325,1.0,full,0.0031283608025132,-0.9297205757832747
B0_half -> B0,B0_half,B0,nb_0.325,1.0,full,0.0038832996921968,0.10845839017735937
B0_half -> B0+g,B0_half,B0+g,nb_0.325,1.0,full,0.0038832996921968,-0.55457025920874
B0 -> B0+g,B0,B0+g,nb_0.325,1.0,full,0.0034621232590049,-0.7436878347360583
B0_half -> B0,B0_half,B0,nb_0.350,0.25,rare-first,0.0001430410527821,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.350,0.25,rare-first,0.0001430410527821,-0.03846153846183409
B0 -> B0+g,B0,B0+g,nb_0.350,0.25,rare-first,0.0001430410527821,-0.03846153846183409
empty -> B0_half,empty,B0_half,nb_0.350,0.5,random,0.0017825115808237,-0.1697530864197665
empty -> B0,empty,B0,nb_0.350,0.5,random,0.0017825115808237,-0.1697530864197665
empty -> B0+g,empty,B0+g,nb_0.350,0.5,random,0.0017825115808237,-0.8333333333333428
B0_half -> B0,B0_half,B0,nb_0.350,0.5,random,0.0020850984232475,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.350,0.5,random,0.0020850984232475,-0.5672823218997263
B0 -> B0+g,B0,B0+g,nb_0.350,0.5,random,0.0020850984232475,-0.5672823218997263
empty -> B0_half,empty,B0_half,nb_0.350,0.5,rare-first,0.0041646952675418,-0.034346103038297215
empty -> B0,empty,B0,nb_0.350,0.5,rare-first,0.0041646952675418,-0.034346103038297215
empty -> B0+g,empty,B0+g,nb_0.350,0.5,rare-first,0.0041646952675418,-0.3262879788639088
B0_half -> B0,B0_half,B0,nb_0.350,0.5,rare-first,0.0043077363203239,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.350,0.5,rare-first,0.0043077363203239,-0.2822477650063735
B0 -> B0+g,B0,B0+g,nb_0.350,0.5,rare-first,0.0043077363203239,-0.2822477650063735
empty -> B0_half,empty,B0_half,nb_0.350,0.75,rare-first,0.0041206826359165,-0.14419225634180588
empty -> B0,empty,B0,nb_0.350,0.75,rare-first,0.0041206826359165,-0.14419225634180588
