world,n,V_mean,V_sd,gap,n_reps,V_limit
drift,2000,-0.00023461016514569888,0.002911507413443577,-0.0034763504118809907,2,-0.0037109605770266896
drift,4000,-0.006007531282284595,0.000883546805921636,0.0022965707052579054,2,-0.0037109605770266896
drift,8000,-0.004448512041941688,0.004312032512489145,0.0007375514649149983,2,-0.0037109605770266896
drift,16000,0.003430706285951046,0.003444772476204576,-0.007141666862977736,2,-0.0037109605770266896
drift,32000,-0.0013090727554331272,0.008350731625066554,-0.0024018878215935624,2,-0.0037109605770266896
drift,64000,-0.007047059098061859,0.002056315437079931,0.003336098521035169,2,-0.0037109605770266896
imbalanced,2000,0.12433946956563524,0.0204597895467424,-0.001060267577540852,2,0.12327920198809439
imbalanced,4000,0.11746778883827097,0.006443865535316306,0.005811413149823419,2,0.12327920198809439
imbalanced,8000,0.116726315058714,0.00914979407370308,0.006552886929380386,2,0.12327920198809439
imbalanced,16000,0.12113978814119508,0.014221119740715762,0.0021394138468993074,2,0.12327920198809439
imbalanced,32000,0.11313825111535686,0.004740812146049412,0.01014095087273753,2,0.12327920198809439
imbalanced,64000,0.1235811111360825,0.007113687401747276,-0.00030190914798811086,2,0.12327920198809439
linear,2000,0.0843503561164674,0.009098309226788899,0.00548031947064459,2,0.089830675587112
linear,4000,0.08887303517714035,0.004342798164343607,0.0009576404099716496,2,0.089830675587112
linear,8000,0.08973038796041416,0.0027339175752846808,0.00010028762669783697,2,0.089830675587112
linear,16000,0.08820981193518546,0.004627905803607252,0.0016208636519265407,2,0.089830675587112
linear,32000,0.08653316995088156,0.0010401120683187852,0.0032975056362304356,2,0.089830675587112
linear,64000,0.08616232119724088,2.5536947744608183e-05,0.00366835438987112,2,0.089830675587112
noisy,2000,0.04817747782997961,0.0013300101044045538,0.030786356677790172,2,0.07896383450776978
noisy,4000,0.05352560255975658,0.0018398363580291054,0.0254382319480132,2,0.07896383450776978
noisy,8000,0.05487695163163514,0.007211913390538853,0.02408688287613464,2,0.07896383450776978
noisy,16000,0.05350792845275176,0.002351305741245327,0.02545590605501802,2,0.07896383450776978
noisy,32000,0.051600542802535176,0.0013542133303363615,0.027363291705234605,2,0.07896383450776978
noisy,64000,0.05512728136664885,0.003023197789877655,0.02383655314112093,2,0.07896383450776978
nonlinear,2000,0.2240361883527482,0.00388996010176219,0.010464322743476084,2,0.23450051109622427
nonlinear,4000,0.23424078875134902,0.00010603373095215962,0.00025972234487525725,2,0.23450051109622427
nonlinear,8000,0.23542834549421626,0.0026996103004237205,-0.000927834397991989,2,0.23450051109622427
nonlinear,16000,0.2406817675448728,0.0036898982885807167,-0.006181256448648531,2,0.23450051109622427
nonlinear,32000,0.23234956714448873,0.005190052847693432,0.00215094395173554,2,0.23450051109622427
nonlinear,64000,0.2390973495683162,0.002144198348600498,-0.004596838472091913,2,0.23450051109622427
sparse,2000,0.087073336795845,0.005544592130752038,0.03238017971187451,2,0.11945351650771951
sparse,4000,0.10027989768152695,0.0036403856802827155,0.019173618826192562,2,0.11945351650771951
sparse,8000,0.11440200493852809,0.0008492678736868283,0.005051511569191425,2,0.11945351650771951
sparse,16000,0.1158984706037483,0.0012263690248829416,0.00355504590397121,2,0.11945351650771951
sparse,32000,0.12047741816533208,0.0027074498248009344,-0.0010239016576125692,2,0.11945351650771951
sparse,64000,0.12044523830463905,0.000652266941325744,-0.0009917217969195313,2,0.11945351650771951
