org,layer,auc,gain,lo,hi
ServiceNow-IT,base,0.5588973142517301,,,
ServiceNow-IT,+ service,0.7002789315539385,0.14138161730220844,0.1267485152519564,0.15573277961003767
ServiceNow-IT,+ CI,0.7015702326026274,0.0012913010486889087,-0.0005190470204557179,0.0030552132795462197
VolvoIT,base,0.8076837410844001,,,
VolvoIT,+ service,0.8678162665087296,0.06013252542432945,0.04480534053667199,0.07548773792650146
Rabobank,base,0.565556138314809,,,
Rabobank,+ service,0.7244689961866101,0.1589128578718011,0.14784764045389315,0.16959613086004988
Rabobank,+ CI,0.7417509297161707,0.017281933529560645,0.010574470936207236,0.02463432541287037
