log,domain,target,f_rule,g_rule,n,n_test,prevalence,f,g,n_b0,card_f,card_g,auc_b0,auc_b0f,auc_b0g,auc_b0gf,naive,honest,reduction,primary,naive_lo,naive_hi,honest_lo,honest_hi,frac_denom_pos,reduction_lo,reduction_hi,n_draws
BPIC13_closed,itsm,handover,amended,primary,1487,447,0.3846671149966375,product,org:resource,5,337,412,0.6914583960654421,0.6829268292682926,0.7735872729097661,0.7645162099769145,-0.008531566797149504,-0.009071062932851648,,True,-0.0367204622051433,0.020300374922660683,-0.028907550366633096,0.010146570509727471,0.2845,,,2000.0
BPIC13_closed,itsm,handover,registered,g=org:role,1487,447,0.0968392737054472,product,org:role,5,337,26,0.7594387755102041,0.7632884972170688,0.7586502782931355,0.7650510204081633,0.003849721706864706,0.006400742115027835,-0.6626506024095788,False,,,,,,,,
BPIC13_closed,itsm,handover,amended,g=org:role,1487,447,0.0968392737054472,product,org:role,5,337,26,0.7594387755102041,0.7632884972170688,0.7586502782931355,0.7650510204081633,0.003849721706864706,0.006400742115027835,-0.6626506024095788,False,,,,,,,,
BPIC13_closed,itsm,handover,registered,g=org:group,1487,447,0.08271687962340282,product,org:group,5,337,13,0.6059552358113509,0.6108713029576338,0.6104316546762589,0.6145483613109513,0.004916067146282899,0.004116706634692324,0.16260162601623152,False,,,,,,,,
BPIC13_closed,itsm,handover,amended,g=org:group,1487,447,0.08271687962340282,product,org:group,5,337,13,0.6059552358113509,0.6108713029576338,0.6104316546762589,0.6145483613109513,0.004916067146282899,0.004116706634692324,0.16260162601623152,False,,,,,,,,
BPIC17,lending,duration,registered,primary,31509,9453,0.4982068615316259,case:RequestedAmount,org:resource,2,701,111,0.569591267430465,0.5745104785372535,0.5870320070950785,0.5891186263269135,0.004919211106788501,0.002086619231834952,0.5758223856350825,False,,,,,,,,
BPIC17,lending,duration,amended,primary,31509,9453,0.4982068615316259,case:RequestedAmount,org:resource,2,701,111,0.569591267430465,0.5745104785372535,0.5870320070950785,0.5891186263269135,0.004919211106788501,0.002086619231834952,0.5758223856350825,True,-0.0019418949045672735,0.011812406333171706,-0.0039138534072628624,0.008146611500083126,0.918,,,2000.0
BPIC19,procurement,duration,registered,primary,251734,75521,0.3985953427030119,case:Purchasing Document,org:resource,8,76349,355,0.6205450771663794,0.6211700089298913,0.6344234882170156,0.6381841420283034,0.0006249317635118601,0.003760653811287873,-5.017703101142661,False,,,,,,,,
BPIC19,procurement,duration,amended,primary,251734,75521,0.3985953427030119,case:Vendor,org:resource,8,1975,355,0.6205450771663794,0.6667236670077512,0.6344234882170156,0.6588462668274954,0.0461785898413718,0.02442277861047981,0.4711233345501765,True,0.04233119468233612,0.05006028330925345,0.020692328275512116,0.02839903869652001,1.0,0.40821237255210324,0.5336643486712611,2000.0
BPIC15_1,permitting,duration,registered,primary,1199,360,0.48123436196830693,case:parts,org:resource,9,88,15,0.8057980537563754,0.8053599924903784,0.8007916392878376,0.8018867924528302,-0.0004380612659969918,0.001095153164992646,,False,,,,,,,,
BPIC15_1,permitting,duration,amended,primary,1199,360,0.48123436196830693,case:parts,org:resource,9,88,15,0.8057980537563754,0.8053599924903784,0.8007916392878376,0.8018867924528302,-0.0004380612659969918,0.001095153164992646,,True,-0.025300496031746052,0.024073561487959437,-0.024577889936532146,0.025159741834007755,0.479,,,2000.0
BPIC15_1,permitting,handover,registered,primary,1199,360,0.8698915763135947,case:parts,org:resource,9,88,15,0.947419502169445,0.951130395067367,0.9440511532313313,0.951130395067367,0.0037108928979219247,0.007079241836035699,-0.9076923076923151,False,,,,,,,,
BPIC15_1,permitting,handover,amended,primary,1199,360,0.8698915763135947,case:parts,org:resource,9,88,15,0.947419502169445,0.951130395067367,0.9440511532313313,0.951130395067367,0.0037108928979219247,0.007079241836035699,-0.9076923076923151,True,-0.003924308491671282,0.011761131614367513,-0.0002771446404438382,0.01504771733187539,0.8315,,,2000.0
BPIC15_3,permitting,duration,registered,primary,1409,423,0.4854506742370476,case:SUMleges,org:resource,9,532,10,0.7411015994593375,0.741090335661185,0.7426560036044154,0.7403581887812571,-1.1263798152527649e-05,-0.002297814823158273,,False,,,,,,,,
BPIC15_3,permitting,duration,amended,primary,1409,423,0.4854506742370476,case:parts,org:resource,9,93,10,0.7411015994593375,0.7773597657129985,0.7426560036044154,0.7780355936021627,0.03625816625366096,0.03537958999774726,0.024231127679409048,True,0.00859049678812689,0.06447995085382986,0.008480661977218454,0.06336470420051941,0.997,,,2000.0
BPIC15_3,permitting,handover,registered,primary,1409,423,0.8537970191625266,case:SUMleges,org:resource,9,532,10,0.8965731070496085,0.870593994778068,0.9011749347258486,0.8740208877284595,-0.025979112271540483,-0.027154046997389103,,False,,,,,,,,
BPIC15_3,permitting,handover,amended,primary,1409,423,0.8537970191625266,case:parts,org:resource,9,93,10,0.8965731070496085,0.8946801566579634,0.9011749347258486,0.8981396866840732,-0.001892950391645054,-0.0030352480417754624,,True,-0.03047187257221644,0.025873174688735706,-0.029626693372809106,0.023455551331054363,0.428,,,2000.0
BPIC15_4,permitting,duration,registered,primary,1053,316,0.41690408357075026,case:SUMleges,org:resource,8,476,7,0.4531762000574878,0.4823799942512216,0.4617418798505318,0.4898534061511929,0.029203794193733756,0.028111526300661105,0.03740157480314732,False,,,,,,,,
BPIC15_4,permitting,duration,amended,primary,1053,316,0.41690408357075026,case:parts,org:resource,8,52,7,0.4531762000574878,0.4887323943661972,0.4617418798505318,0.4964932451853981,0.03555619430870938,0.034751365334866335,0.022635408245755384,True,0.017135716924432737,0.056106078447991564,0.01858322756185818,0.05406938371421511,0.9995,,,2000.0
BPIC15_4,permitting,handover,registered,primary,1053,316,0.8945868945868946,case:SUMleges,org:resource,8,476,7,0.7093760862009038,0.8223409801876956,0.6395550921098366,0.7213677441779631,0.11296489398679188,0.08181265206812649,0.27576923076923154,False,,,,,,,,
BPIC15_4,permitting,handover,amended,primary,1053,316,0.8945868945868946,case:parts,org:resource,8,52,7,0.7093760862009038,0.6908672228015293,0.6395550921098366,0.6410323253388948,-0.01850886339937441,0.001477233229058128,,True,-0.0372183507925135,-0.0008550207653986401,-0.012097839377999306,0.015589347836772214,0.0195,,,2000.0
BPIC15_5,permitting,duration,registered,primary,1156,347,0.435121107266436,case:SUMleges,org:resource,8,565,18,0.6004398826979472,0.6400904203323559,0.547613229064842,0.5861029651352232,0.03965053763440862,0.0384897360703812,0.02927580893682724,False,,,,,,,,
BPIC15_5,permitting,duration,amended,primary,1156,347,0.435121107266436,case:parts,org:resource,8,106,18,0.6004398826979472,0.6159376018246986,0.547613229064842,0.5795658194851743,0.015497719126751353,0.03195259042033227,-1.061760840998685,True,-0.03552645181144856,0.06573780346336378,-0.006354330458939408,0.07013811061693896,0.715,,,2000.0
Sepsis,healthcare,duration,registered,primary,1050,315,0.4828571428571429,Diagnose,org:group,23,145,4,0.6236734693877553,0.7818979591836734,0.6301020408163265,0.7828367346938776,0.1582244897959182,0.15273469387755112,0.03469624661421211,False,,,,,,,,
Sepsis,healthcare,duration,amended,primary,1050,315,0.4828571428571429,Diagnose,org:group,23,145,4,0.6236734693877553,0.7818979591836734,0.6301020408163265,0.7828367346938776,0.1582244897959182,0.15273469387755112,0.03469624661421211,True,0.11763182654187983,0.2008236405850047,0.11158329264017233,0.1949981983769475,1.0,-0.03237472750180854,0.09793467314836259,2000.0
RoadFines,enforcement,duration,registered,primary,150370,45111,0.4786460065172574,amount,org:resource,3,113,147,0.5359238273996558,0.5295635549457817,0.5357289516618411,0.532976512051211,-0.006360272453874161,-0.0027524396106300975,,False,,,,,,,,
RoadFines,enforcement,duration,amended,primary,150370,45111,0.4786460065172574,article,org:resource,3,66,147,0.5359238273996558,0.5623341127667347,0.5357289516618411,0.5663524958417033,0.0264102853670789,0.03062354417986224,-0.15953098401713128,True,0.02165900552222499,0.03116944014007944,0.026363276967101806,0.03519948250110901,1.0,-0.37143459643910676,0.004623792206015584,2000.0
