baseline,base_auc,with_item,gain
intake only,0.5623977964686157,0.7458556499672737,0.18345785349865806
+ opening group  (the paper's),0.6442537504512584,0.747589110707169,0.10333536025591061
+ hour of day,0.6509019230030899,0.7488658923942111,0.09796396939112118
+ hour + day of week,0.6488752421097561,0.7478729972573246,0.09899775514756848
+ service component WBS,0.7220230823346723,0.74520090517768,0.023177822843007734
WBS instead of the group,0.7175375551511224,0.7428559035282448,0.025318348377122435
