log,target,learner,rung,slope_min,slope_max,n_arms,n_ok,admitted,reason
BPIC15_4,duration,hgb,B_half,-0.1776712413609067,0.3621039864409378,2,0,False,recalibrated slope below 0.5
BPIC15_4,duration,hgb,B_intake,-0.1456929795928742,-0.0217363332296122,2,0,False,recalibrated slope below 0.5
BPIC15_4,duration,hgb,B_intake_g,-0.1436316055838059,-0.0761110740256566,2,0,False,recalibrated slope below 0.5
BPIC15_4,duration,logit,B_half,0.0131535815196189,0.0391843370346741,2,0,False,recalibrated slope below 0.5
BPIC15_4,duration,logit,B_intake,-0.0463094364100357,0.0866551436460159,2,0,False,recalibrated slope below 0.5
BPIC15_4,duration,logit,B_intake_g,-0.0047720221205424,0.062877417448179,2,0,False,recalibrated slope below 0.5
BPIC15_4,handover,hgb,B_half,0.5916548645037043,0.6060992020149838,2,2,True,
BPIC15_4,handover,hgb,B_intake,0.6293161707172391,0.7152188619743186,2,2,True,
BPIC15_4,handover,hgb,B_intake_g,0.4479409406536614,0.6550010204929094,2,1,False,recalibrated slope below 0.5
BPIC15_4,handover,logit,B_half,0.3898478421064414,0.4350861894455586,2,0,False,recalibrated slope below 0.5
BPIC15_4,handover,logit,B_intake,0.4503103976888372,0.4621640020613644,2,0,False,recalibrated slope below 0.5
BPIC15_4,handover,logit,B_intake_g,0.018760588909556,0.0712014089329767,2,0,False,recalibrated slope below 0.5
BPIC15_5,duration,hgb,B_half,-0.2671045420850977,1.2548711494149127,2,1,False,recalibrated slope below 0.5
BPIC15_5,duration,hgb,B_intake,0.4018687146116076,0.4270370671951419,2,0,False,recalibrated slope below 0.5
BPIC15_5,duration,hgb,B_intake_g,0.0661011854159792,0.1198033460715355,2,0,False,recalibrated slope below 0.5
BPIC15_5,duration,logit,B_half,0.2585104476490865,0.4812664885800232,2,0,False,recalibrated slope below 0.5
BPIC15_5,duration,logit,B_intake,0.437302567220815,0.8069586353334628,2,1,False,recalibrated slope below 0.5
BPIC15_5,duration,logit,B_intake_g,0.2168713643168112,0.4625464941633615,2,0,False,recalibrated slope below 0.5
