task,baseline,base_auc,with_ident,gain,lo,hi,boot_se,null_mean,null_sd,z_pooled,shrink_pct
reassigned,intake only,0.5623977964686157,0.7458556499672737,0.18345785349865806,0.17228442361090682,0.19492231019987902,0.005796788946753107,-0.01099959070250659,0.004078977105223088,27.43444821988332,
reassigned,+ routing queue,0.6442537504512584,0.747589110707169,0.10333536025591061,0.09399907132148715,0.11347648546336091,0.004989092349515913,0.0015000983308340809,0.003034762054182322,17.438766122622702,43.673515041607914
reopened,intake only,0.5519801828358687,0.6346367903510666,0.08265660751519788,0.05419211081742106,0.11213359415040287,0.014645044707216738,-0.01822176698213739,0.010787098254254487,5.54612740507556,
reopened,+ routing queue,0.5809056805374546,0.6360393164595222,0.05513363592206755,0.031503281025273694,0.08002355135541281,0.012407220229584912,-0.009227117493766611,0.009260420070192666,4.157115496713036,33.29796905597625
long-handling,intake only,0.6472196162715179,0.7651878638458569,0.11796824757433899,0.10758579847530986,0.1274463650948601,0.005081543974130336,-0.005274698869428749,0.0030975202031084744,20.708941449093768,
long-handling,+ routing queue,0.6923027967192263,0.7707158148381731,0.07841301811894674,0.06973601580937304,0.08642535870667048,0.004261634515707327,-0.005318516751340585,0.0023057218044759157,17.2806309942631,33.530403535464984
