world,n,V_mean,V_sd,gap,n_reps,V_limit
drift,2000,-0.001323805389409316,0.005112297096538431,0.0010160485788029638,30,-0.0003077568106063522
drift,4000,-5.921567218373225e-05,0.005136436249371052,-0.00024854113842261996,30,-0.0003077568106063522
drift,8000,8.229583867602382e-05,0.004803136097257659,-0.000390052649282376,30,-0.0003077568106063522
drift,16000,0.0002551302353060225,0.0034327196696080664,-0.0005628870459123747,30,-0.0003077568106063522
drift,32000,0.001022538725778044,0.0036497198628102005,-0.001330295536384396,30,-0.0003077568106063522
drift,64000,-0.00022570810469735303,0.0033056883175095943,-8.204870590899915e-05,30,-0.0003077568106063522
imbalanced,2000,0.09980672000908637,0.010833801353899265,0.014845415725899298,30,0.11465213573498567
imbalanced,4000,0.10733850463844667,0.012380658140846377,0.007313631096538997,30,0.11465213573498567
imbalanced,8000,0.10945125958521196,0.009855783829472815,0.005200876149773714,30,0.11465213573498567
imbalanced,16000,0.11287759540826654,0.007932781810552021,0.0017745403267191318,30,0.11465213573498567
imbalanced,32000,0.11494357758427899,0.009527461135178253,-0.00029144184929331317,30,0.11465213573498567
imbalanced,64000,0.11457394107135488,0.007191839063949347,7.819466363079656e-05,30,0.11465213573498567
linear,2000,0.19095252901668058,0.0059815917295050845,0.001091500365832591,30,0.1920440293825132
linear,4000,0.19182398979288579,0.006391362353153256,0.00022003958962739286,30,0.1920440293825132
linear,8000,0.19332296485834446,0.0038389277126133505,-0.001278935475831259,30,0.1920440293825132
linear,16000,0.19240610878992673,0.004886436976468257,-0.00036207940741353657,30,0.1920440293825132
linear,32000,0.1924444943007861,0.00488541730427257,-0.0004004649182729247,30,0.1920440293825132
linear,64000,0.19225601268196207,0.005784955081516901,-0.000211983299448885,30,0.1920440293825132
noisy,2000,0.07619000804925813,0.004321359811967371,0.03787435697210494,30,0.11406436502136308
noisy,4000,0.07793200981458,0.0026086715814889233,0.036132355206783075,30,0.11406436502136308
noisy,8000,0.07879506450936899,0.002454288583016869,0.03526930051199408,30,0.11406436502136308
noisy,16000,0.07882002043255361,0.0026592833382687604,0.035244344588809456,30,0.11406436502136308
noisy,32000,0.08038917982348641,0.002455058905611399,0.03367518519787666,30,0.11406436502136308
noisy,64000,0.08118213437931233,0.0029207803680486566,0.03288223064205075,30,0.11406436502136308
nonlinear,2000,0.16771215357143893,0.004216660010749584,0.001690806658260439,30,0.16940296022969936
nonlinear,4000,0.16756100119643913,0.003324806511934158,0.001841959033260232,30,0.16940296022969936
nonlinear,8000,0.16823212109132366,0.0030174095308090104,0.0011708391383757233,30,0.16940296022969936
nonlinear,16000,0.1691239101122336,0.003907892246752543,0.0002790501174657548,30,0.16940296022969936
nonlinear,32000,0.16939325547578463,0.003825629511948208,9.704753914707709e-06,30,0.16940296022969936
nonlinear,64000,0.16907970690158952,0.004020495928666004,0.00032325332810986265,30,0.16940296022969936
sparse,2000,0.07213959762239504,0.0033885185843841904,0.018979916348506758,30,0.09111951397090179
sparse,4000,0.07927629870085799,0.002874154668407177,0.011843215270043799,30,0.09111951397090179
sparse,8000,0.08387933649749742,0.003192527342618695,0.007240177473404371,30,0.09111951397090179
sparse,16000,0.087254873033314,0.0026897736625214118,0.0038646409375877933,30,0.09111951397090179
sparse,32000,0.09021810758103554,0.00290532738020115,0.0009014063898662476,30,0.09111951397090179
sparse,64000,0.09050070702868585,0.002221993680731218,0.0006188069422159474,30,0.09111951397090179
