log,domain,target,population,regime,populated,baseline,instrument,without_f,with_f,V,n,n_test,card_f,card_g,n_b0,f,g
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.750,0.7808611071377486,0.8144757545415534,0.03361464740380482,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.775,0.756512341264165,0.8006484527726123,0.04413611150844732,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,empty,nb_0.800,0.7260763839221857,0.7862251466170791,0.06014876269489344,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,auc,0.638968549870716,0.8987369036819046,0.25976835381118857,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,ap,0.9615253183629267,0.9921632799800177,0.030637961617091092,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,brier_skill,0.015791414393415915,0.28495147745246585,0.26916006305904994,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nagelkerke,0.050661059438307274,0.41363495459974453,0.36297389516143724,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.050,0.9423318702994075,0.9423318702994075,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.075,0.9407732721993914,0.9407732721993914,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.100,0.9391280853160412,0.9391280853160412,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.125,0.9373888877536425,0.9372662811369721,-0.0001226066166704065,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.150,0.9355473844522789,0.9354295859382231,-0.00011779851405580022,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.175,0.9335942748902268,0.9348621387671595,0.0012678638769326733,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.200,0.9315190959805464,0.9331283078243456,0.001609211843799252,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.225,0.929310034560564,0.9312110962943139,0.0019010617337498203,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.250,0.9269537023792495,0.9292423592237639,0.002288656844514403,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.275,0.9244348645302581,0.9272562259851336,0.0028213614548754373,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.300,0.9217361096920531,0.924596930747696,0.0028608210556428926,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.325,0.9186228855088818,0.9225061852010786,0.0038832996921968066,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.350,0.9155012488584223,0.9202381083370927,0.004736859478670419,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.375,0.9121298812759262,0.9177227864397082,0.005592905163781969,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.400,0.9084775663948887,0.9147952128927669,0.006317646497878138,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.425,0.9045076589155001,0.9121852319441767,0.007677573028676554,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.450,0.900176850756167,0.9092339501436911,0.009057099387524081,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.475,0.8954335846768976,0.9062536185980614,0.010820033921163819,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.500,0.890215991989701,0.902732084108139,0.01251609211843796,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.525,0.8844491790196418,0.8987909266801677,0.014341747660525872,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.550,0.8781449164799187,0.8937920183092548,0.015647101829336152,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.575,0.8710022129292283,0.8884784639073766,0.01747625097814831,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.600,0.8629666714347017,0.8646831640680875,0.0017164926333858022,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.625,0.8538597244075716,0.8591045630095837,0.005244838602012081,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.650,0.8434517849479943,0.8472015039744978,0.003749719026503451,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.675,0.8346665492996489,0.8454001298372633,0.010733580537614418,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.700,0.8190530682305822,0.8392695370237925,0.020216468793210263,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.725,0.8039687390281012,0.8317837219281934,0.02781498290009221,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.750,0.7858675439851237,0.8234158203404377,0.03754827635531399,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.775,0.7637438611548181,0.8117818147141562,0.048037953559338153,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0_half,nb_0.800,0.7360892576169361,0.7998855671577743,0.06379630954083815,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0,auc,0.641127051868453,0.8983072579166639,0.2571802060482109,46606,13982,3019,57,4,CI Name (aff),assignment group
