target,learner,mechanism,mechanism_sd,sampling_se,ratio
handover,hgb,content,0.02622754033871791,0.01540028325268985,1.7030557106238253
handover,hgb,corrupt,0.005762451683367195,0.01540028325268985,0.3741782919713968
handover,hgb,duplicate,0.003113692390018145,0.01540028325268985,0.2021840987550862
handover,hgb,mask_common,0.0,0.01540028325268985,0.0
handover,hgb,mask_random,0.005920866258077324,0.01540028325268985,0.3844647634674623
handover,hgb,mask_rare,0.0,0.01540028325268985,0.0
handover,hgb,propensity,0.0037168424872071905,0.01540028325268985,0.2413489691209412
handover,hgb,time,0.0,0.01540028325268985,0.0
handover,logit,content,0.030555719984391164,0.0183350882463569,1.6665161123760859
handover,logit,corrupt,0.0053981691841806885,0.0183350882463569,0.2944174094855137
handover,logit,duplicate,0.0009909912814097554,0.0183350882463569,0.054048896198067714
handover,logit,mask_common,0.0,0.0183350882463569,0.0
handover,logit,mask_random,0.0040282884556998915,0.0183350882463569,0.21970379425363795
handover,logit,mask_rare,0.0,0.0183350882463569,0.0
handover,logit,propensity,0.003920161138254236,0.0183350882463569,0.21380650507821553
handover,logit,time,0.0,0.0183350882463569,0.0
