log,target,utility_map,unit,excess_one_number,excess_majority,one_number_adopts,majority_adopts,mean_adopts,share_positive
BPIC19,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.6401234567901234
BPIC19,duration,square-root,utility(square-root),0.0,0.0,True,True,True,0.6401234567901234
BPIC19,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.6401234567901234
Helpdesk,duration,identity,utility(identity),0.0,0.0,False,False,False,0.2574074074074075
Helpdesk,duration,headroom,utility(headroom),0.0,0.0,False,False,False,0.2574074074074075
Helpdesk,duration,standardised,utility(standardised),0.0,0.0,False,False,False,0.2574074074074075
Helpdesk,duration,square-root,utility(square-root),0.0,0.0,False,False,False,0.2574074074074075
Helpdesk,duration,rank-logistic,utility(rank-logistic),0.0,0.0,False,False,False,0.2574074074074075
RoadFines,duration,identity,utility(identity),0.0,0.0,True,True,True,0.8271604938271605
RoadFines,duration,headroom,utility(headroom),0.0,0.0,True,True,True,0.8271604938271605
RoadFines,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.8271604938271605
RoadFines,duration,square-root,utility(square-root),0.0,0.0,True,True,True,0.8271604938271605
RoadFines,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.8271604938271605
Sepsis,duration,identity,utility(identity),0.0,0.0,True,True,True,0.9435185185185189
Sepsis,duration,headroom,utility(headroom),0.0,0.0,True,True,True,0.9435185185185189
Sepsis,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.9435185185185189
Sepsis,duration,square-root,utility(square-root),0.0,0.0,True,True,True,0.9435185185185189
Sepsis,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.9435185185185189
UCI498,duration,identity,utility(identity),0.0038064506767484354,0.0038064506767484354,False,False,True,0.49259259259259275
UCI498,duration,headroom,utility(headroom),0.007002544851556762,0.007002544851556762,False,False,True,0.49259259259259275
UCI498,duration,standardised,utility(standardised),0.10689701270761398,0.10689701270761398,False,False,True,0.49259259259259275
UCI498,duration,square-root,utility(square-root),0.010850159253704875,0.010850159253704875,False,False,True,0.49259259259259275
UCI498,duration,rank-logistic,utility(rank-logistic),0.03504032481501057,0.03504032481501057,False,False,True,0.49259259259259275
UCI498,handover,identity,utility(identity),0.0042728847478959355,0.0042728847478959355,False,False,True,0.4814814814814816
UCI498,handover,headroom,utility(headroom),0.004563943715838278,0.004563943715838278,False,False,True,0.4814814814814816
UCI498,handover,standardised,utility(standardised),0.214693517988312,0.214693517988312,False,False,True,0.4814814814814816
UCI498,handover,square-root,utility(square-root),0.0138976083776257,0.0138976083776257,False,False,True,0.4814814814814816
UCI498,handover,rank-logistic,utility(rank-logistic),0.07378686314999566,0.07378686314999566,False,False,True,0.4814814814814816
