log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,ap,-0.041182505370312095,0.01959617584223843,2.4341788529885062,-0.08888310220493312,0.006518091464308921,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,auc,-0.02920806985847635,0.033843144234868616,2.4341788529885062,-0.11158833587363341,0.053172196156680715,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,brier_skill,-0.014557552635552362,0.03498637493793057,2.4341788529885062,-0.09972064665219,0.07060554138108528,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,logloss_skill,-0.020758006200166657,0.03274823658312045,2.4341788529885062,-0.10047307116346303,0.05895705876312972,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,nagelkerke,-0.04907851688178255,0.08503407527786337,2.4341788529885062,-0.25606666470659034,0.1579096309430252,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.050,0.0,0.00048219346397389783,4.057038159313274,-0.001956277283513554,0.001956277283513554,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.075,0.0001813894431343943,0.00208798748554791,4.057038159313274,-0.00828965546190205,0.008652434348170838,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.100,0.0019885657469549956,0.003674833667060339,4.057038159313274,-0.01292037466943793,0.01689750616334792,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.125,-0.0006391818472355482,0.004307637850172024,4.057038159313274,-0.018115432981885646,0.01683706928741455,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.150,0.002763521515988937,0.006019449127263068,4.057038159313274,-0.021657613291362312,0.027184656323340186,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.175,0.005152193071656097,0.007897762475243745,4.057038159313274,-0.026889330663600233,0.03719371680691243,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.200,0.01565995525727068,0.010449169358511983,4.057038159313274,-0.026732723563339444,0.058052634077880805,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.225,0.02634047773688389,0.014380691771402915,4.057038159313274,-0.03200253753702014,0.08468349301078792,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.250,0.008202833706189433,0.01714634204796155,4.057038159313274,-0.06136053027502829,0.07776619768740715,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.275,0.003702846563295531,0.019678376561301912,4.057038159313274,-0.07613307805924226,0.08353877118583332,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.300,0.023330137424097147,0.022259694811678117,4.057038159313274,-0.06697829384154867,0.11363856868974297,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.325,0.009114259673543762,0.025119457779792787,4.057038159313274,-0.09279633908033427,0.1110248584274218,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.350,-0.011185682326621926,0.024622537374747833,4.057038159313274,-0.11108025603509117,0.08870889138184732,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.375,-0.0013422818791946622,0.023565099753791487,4.057038159313274,-0.09694679080835056,0.09426222704996123,False
