log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC13_incidents,handover,True,0.45,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.475,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.5,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.525,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.55,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.575,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.6,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.625,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.65,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.675,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.7,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.725,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.75,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.775,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,handover,True,0.8,0.0,0.0,0.0,0.9999999999999999
BPIC14,duration,True,0.05,0.0,0.0,0.0,0.0
BPIC14,duration,True,0.075,0.0,0.0,0.0,0.25
BPIC14,duration,True,0.1,0.0,0.0,0.18972806306520001,0.625
BPIC14,duration,True,0.125,0.0,0.0,1.7049982630729001,0.875
BPIC14,duration,True,0.15,0.0,0.0,0.0,1.0
BPIC14,duration,True,0.175,0.0,0.0,4.384154085555838,0.875
BPIC14,duration,True,0.2,0.0,0.0,9.3580138749821,0.875
BPIC14,duration,True,0.225,0.0,0.0,17.016982664347235,0.875
BPIC14,duration,True,0.25,0.0,0.0,23.071329804987325,0.875
BPIC14,duration,True,0.275,0.0,0.0,0.0,1.0
BPIC14,duration,True,0.3,0.0,0.0,0.0,1.0
BPIC14,duration,True,0.325,0.0,0.0,43.13482413897231,0.75
BPIC14,duration,True,0.35,0.0,0.0,46.74003939130527,0.75
BPIC14,duration,True,0.375,0.0,0.0,54.60592189958515,0.75
BPIC14,duration,True,0.4,0.0,0.0,62.70562151337432,0.75
BPIC14,duration,True,0.425,0.0,0.0,59.555997462576094,0.75
BPIC14,duration,True,0.45,0.0,0.0,68.88483244691221,0.875
BPIC14,duration,True,0.475,0.0,0.0,0.0,1.0
BPIC14,duration,True,0.5,0.0,0.0,30.834286940351852,0.75
BPIC14,duration,True,0.525,0.0,0.0,22.5647260763839,0.75
BPIC14,duration,True,0.55,0.0,0.0,18.939032724614137,0.625
BPIC14,duration,True,0.575,0.0,0.0,14.462397031477437,0.75
BPIC14,duration,True,0.6,0.0,0.0,24.86679301959661,0.75
BPIC14,duration,True,0.625,0.0,0.0,31.775973871167665,0.875
BPIC14,duration,True,0.65,0.0,0.0,0.0,1.0
BPIC14,duration,True,0.675,0.0,0.0,48.821011630337864,0.875
BPIC14,duration,True,0.7,0.0,0.0,28.25954799027319,0.75
BPIC14,duration,True,0.725,0.0,0.0,22.39080115993286,0.75
BPIC14,duration,True,0.75,0.0,0.0,14.9924903447289,0.75
BPIC14,duration,True,0.775,0.0,0.0,8.76921120806111,0.75
BPIC14,duration,True,0.8,0.0,0.0,10.3883564583035,0.75
BPIC14,handover,True,0.05,0.0,0.0,0.0,0.0
BPIC14,handover,True,0.075,0.0,0.0,0.0,0.0
BPIC14,handover,True,0.1,0.0,0.0,0.0,0.0
BPIC14,handover,True,0.125,0.0,0.0,0.0,0.0
BPIC14,handover,True,0.15,0.0,0.0,0.0,0.0
BPIC14,handover,True,0.175,0.0,0.0,0.5819170101819174,0.75
BPIC14,handover,True,0.2,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.225,0.0,0.0,1.37417463005425,0.875
BPIC14,handover,True,0.25,0.0,0.0,1.7075525675867875,0.875
BPIC14,handover,True,0.275,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.3,0.0,0.0,2.4738439217768944,0.875
BPIC14,handover,True,0.325,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.35,0.0,0.0,3.73282131971865,0.875
BPIC14,handover,True,0.375,0.0,0.0,4.280503504505775,0.75
BPIC14,handover,True,0.4,0.0,0.0,5.76038239641435,0.875
BPIC14,handover,True,0.425,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.45,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.475,0.0,0.0,8.361090109051712,0.875
BPIC14,handover,True,0.5,0.0,0.0,9.324488628236214,0.875
BPIC14,handover,True,0.525,0.0,0.0,9.31413697310075,0.75
BPIC14,handover,True,0.55,0.0,0.0,9.240054673469075,0.875
BPIC14,handover,True,0.575,0.0,0.0,15.923308960259774,0.875
BPIC14,handover,True,0.6,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.625,0.0,0.0,6.973251323129701,0.75
BPIC14,handover,True,0.65,0.0,0.0,9.622065104113387,0.875
BPIC14,handover,True,0.675,0.0,0.0,13.630849553821898,0.875
BPIC14,handover,True,0.7,0.0,0.0,18.383755304438974,0.875
BPIC14,handover,True,0.725,0.0,0.0,23.406717727987864,0.875
BPIC14,handover,True,0.75,0.0,0.0,28.214847661278753,0.875
BPIC14,handover,True,0.775,0.0,0.0,0.0,1.0
BPIC14,handover,True,0.8,0.0,0.0,0.0,1.0
BPIC15_1,duration,True,0.05,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.075,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.1,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.125,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.15,0.09803921568626,0.09803921568626,0.09803921568626,0.2
BPIC15_1,duration,True,0.175,0.11784511784509999,0.11784511784509999,0.11784511784509999,0.2
BPIC15_1,duration,True,0.2,0.0,0.0,0.41666666666664,0.6000000000000001
BPIC15_1,duration,True,0.225,0.32258064516128004,0.32258064516128004,0.32258064516128004,0.4
BPIC15_1,duration,True,0.25,0.37037037037036,0.37037037037036,0.37037037037036,0.4
BPIC15_1,duration,True,0.275,0.0,0.0,2.4137931034482003,0.8
BPIC15_1,duration,True,0.3,0.0,0.0,1.5079365079365001,0.6000000000000001
BPIC15_1,duration,True,0.325,0.0,0.0,0.16460905349793994,0.6000000000000001
BPIC15_1,duration,True,0.35,7.264957264957239,7.264957264957239,0.0,0.6000000000000001
BPIC15_1,duration,True,0.375,8.888888888888918,8.888888888888918,8.888888888888918,0.4
BPIC15_1,duration,True,0.4,3.148148148148164,3.148148148148164,3.148148148148164,0.4
BPIC15_1,duration,True,0.425,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.45,0.0,0.0,0.0,0.2
BPIC15_1,duration,True,0.475,0.0,0.0,0.0,0.0
BPIC15_1,duration,True,0.5,0.0,0.0,0.0,0.2
BPIC15_1,duration,True,0.525,0.0,0.0,0.0,0.4
