model,auc,brier,mean_p,cal_slope,cal_intercept,cal_in_large
intake,0.5623977964686157,0.23158183476190333,0.40669800564507896,1.3913515092383903,-0.0015294748682440809,0.0346953657682732
intake + item,0.7458556499672737,0.192136494616758,0.39912363846194976,1.0560170091558418,-0.11888479430670361,0.027120998585143996
intake + group,0.6442537504512584,0.2056766014019693,0.40266960590292916,1.1853960010380968,-0.05982036469770397,0.0306669660261234
intake + group + item,0.747589110707169,0.1892541966999733,0.3991305129126276,1.040329669245859,-0.12583556584019068,0.027127873035821815
