rep,psi,is_affine,m_changed,R,R_psi,R_shift
0,square,False,0.004837621508904849,-1.1201686877423849,-1.0070297148737297,0.11313897286865515
0,sqrt,False,0.0256410918478564,-1.1201686877423849,-1.22706232282564,0.10689363508325522
0,logit-shift,False,0.01204795520723062,-1.1201686877423849,-1.2813470901870856,0.16117840244470072
0,logit-scale,False,0.04408619718758178,-1.1201686877423849,-1.0335133324915668,0.08665535525081802
0,beta-cdf,False,0.081704927965907,-1.1201686877423849,-0.9376888308777718,0.1824798568646131
0,affine,True,0.045473031452137214,-1.1201686877423849,-1.120168687742387,2.220446049250313e-15
1,square,False,0.0004430144076905673,-1.00709655866397,-1.078630575999815,0.07153401733584497
1,sqrt,False,0.026586463043702102,-1.00709655866397,-0.9904081327663223,0.01668842589764763
1,logit-shift,False,0.015453986470232717,-1.00709655866397,-0.9725582679445173,0.03453829071945269
1,logit-scale,False,0.04003220409966696,-1.00709655866397,-0.9286117322267042,0.07848482643726573
1,beta-cdf,False,0.07015298096366035,-1.00709655866397,-0.8176469886778319,0.18944956998613804
1,affine,True,0.042821603905385475,-1.00709655866397,-1.0070965586639682,1.7763568394002505e-15
2,square,False,0.0015136010180270831,-1.837087012860085,-1.8987753266829541,0.06168831382286921
2,sqrt,False,0.029892080200196902,-1.837087012860085,-1.910237982106616,0.07315096924653108
2,logit-shift,False,0.01809199730472083,-1.837087012860085,-1.8945317071848948,0.05744469432480992
2,logit-scale,False,0.044289433897669594,-1.837087012860085,-1.5954082296023122,0.2416787832577727
2,beta-cdf,False,0.08486159330343573,-1.837087012860085,-1.377919213459767,0.4591677994003178
2,affine,True,0.046337443596811356,-1.837087012860085,-1.837087012860081,3.9968028886505635e-15
3,square,False,0.0007278730037029169,-0.6836111021120723,-0.6729347473022675,0.010676354809804778
3,sqrt,False,0.02405690294453766,-0.6836111021120723,-0.7334687160296811,0.04985761391760879
3,logit-shift,False,0.01365688278194832,-0.6836111021120723,-0.7409925752558373,0.05738147314376496
3,logit-scale,False,0.03443109083344148,-0.6836111021120723,-0.5902686542532816,0.09334244785879076
3,beta-cdf,False,0.060688983304662936,-0.6836111021120723,-0.5129448559926995,0.17066624611937287
3,affine,True,0.03978882271176731,-0.6836111021120723,-0.6836111021120737,1.3322676295501878e-15
