learner,split,quality,level,rung,metric,log,target,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,lo,hi,resolved
hgb,holdout70,clean,1.0,B_half,ap,BPIC13_closed,handover,-0.0252971266992052,0.04163226131049507,80,-0.07788138917121504,0.09174663098687857,-0.14234088438528897,0.027287135772804637,-0.11999527672094343,0.024603329997312462,0.02458547646273285,-0.14234088438528897,0.027287135772804637,False
hgb,holdout70,clean,1.0,B_half,auc,BPIC13_closed,handover,-0.0169753086419753,0.06458143142318773,80,-0.0983470920866665,0.14723199138719872,-0.18118260867114933,0.0643964748027159,-0.12543625914610876,0.08314590010504447,0.0344177009675451,-0.18118260867114933,0.0643964748027159,False
hgb,holdout70,clean,1.0,B_half,brier_skill,BPIC13_closed,handover,-0.1911523518920665,0.1411530263372474,80,-0.5444569957746797,0.011704211951972899,-0.3940089157361059,0.16215229199054665,-0.39197034855079793,0.10154732211060882,-0.044916152691405836,-0.3940089157361059,0.16215229199054665,False
hgb,holdout70,clean,1.0,B_half,logloss_skill,BPIC13_closed,handover,-0.181968743745752,0.2806478415065157,80,-1.017184371907455,-0.07083966810877904,-0.29309781938272494,0.6532468844159509,-0.3213143128514943,0.20360031935679646,-0.35877823485336524,-0.29309781938272494,0.6532468844159509,False
hgb,holdout70,clean,1.0,B_half,nagelkerke,BPIC13_closed,handover,-0.6212913126510119,1.9148458828546482,80,-6.77222359272327,-0.22540950906641324,-1.0171731162356106,5.529640967421246,-1.3108971840775412,1.446715158872209,-1.641299033328095,-1.0171731162356106,5.529640967421246,False
hgb,holdout70,clean,1.0,B_half,nb_0.050,BPIC13_closed,handover,-0.0008242081714353,0.017909726262218605,80,-0.062136465324384715,-0.005239609089838643,0.003591192746968043,0.060488048981514116,-0.000844714063316598,0.0009419521779208871,-0.0271988696573648,0.003591192746968043,0.060488048981514116,True
hgb,holdout70,clean,1.0,B_half,nb_0.075,BPIC13_closed,handover,-0.000786020920249,0.0212086573936856,80,-0.07990960759417134,-0.0028704879376019884,0.0012984460971039885,0.07833756575367334,-0.000718002413236145,6.0463139866485256e-05,-0.02705725860088285,0.0012984460971039885,0.07833756575367334,True
hgb,holdout70,clean,1.0,B_half,nb_0.100,BPIC13_closed,handover,-0.0007457121551081,0.023822243579014434,80,-0.07683942331593333,0.005257270693512194,-0.006748695003728394,0.07534799900571712,-0.005533573815144386,0.03082262395995331,-0.0287099179716629,-0.006748695003728394,0.07534799900571712,False
hgb,holdout70,clean,1.0,B_half,nb_0.125,BPIC13_closed,handover,-0.0006391818472354,0.025446748463693023,80,-0.07833173537871524,0.0019495046340683667,-0.0032278683285391664,0.07705337168424443,-0.004977889209527932,0.026525590412754173,-0.024928092042186104,-0.0032278683285391664,0.07705337168424443,False
hgb,holdout70,clean,1.0,B_half,nb_0.150,BPIC13_closed,handover,-0.0027635215159889,0.02554688503181735,80,-0.07523029345966568,0.013396499539412977,-0.018923542571390777,0.06970325042768788,-0.0317146993025398,0.01946622057220959,-0.02460850111856825,-0.018923542571390777,0.06970325042768788,False
