log,target,rung,learner,calibration,bin,n,p_mean,y_mean
BPIC15_1,duration,B_intake,logit,raw,7,42,0.8642900969297133,0.6666666666666666
BPIC15_1,duration,B_intake,logit,raw,8,35,0.9214698389074164,0.7714285714285715
BPIC15_1,duration,B_intake,logit,raw,9,37,0.9531435573148107,0.8648648648648649
BPIC15_1,duration,B_intake,logit,platt,0,34,0.32980845232082995,0.14705882352941177
BPIC15_1,duration,B_intake,logit,platt,1,34,0.4010558245539991,0.14705882352941177
BPIC15_1,duration,B_intake,logit,platt,2,40,0.4456516374285221,0.175
BPIC15_1,duration,B_intake,logit,platt,3,36,0.4880485141497047,0.08333333333333333
BPIC15_1,duration,B_intake,logit,platt,4,35,0.5763334949515332,0.37142857142857144
BPIC15_1,duration,B_intake,logit,platt,5,37,0.6581619969557084,0.6486486486486487
BPIC15_1,duration,B_intake,logit,platt,6,36,0.7142456289123942,0.5555555555555556
BPIC15_1,duration,B_intake,logit,platt,7,36,0.7529043541765956,0.5277777777777778
BPIC15_1,duration,B_intake,logit,platt,8,36,0.8193457555636157,0.8333333333333334
BPIC15_1,duration,B_intake,logit,platt,9,36,0.8554677213647661,0.9166666666666666
BPIC15_1,duration,B_intake,logit,isotonic,0,36,0.2958329499162237,0.16666666666666666
BPIC15_1,duration,B_intake,logit,isotonic,1,36,0.38099840743011687,0.1388888888888889
BPIC15_1,duration,B_intake,logit,isotonic,2,32,0.4331977504425052,0.1875
BPIC15_1,duration,B_intake,logit,isotonic,3,40,0.48243167672367715,0.1
BPIC15_1,duration,B_intake,logit,isotonic,4,36,0.5936801577040138,0.3611111111111111
BPIC15_1,duration,B_intake,logit,isotonic,5,36,0.696691865867669,0.6666666666666666
BPIC15_1,duration,B_intake,logit,isotonic,6,34,0.7416971785589338,0.47058823529411764
BPIC15_1,duration,B_intake,logit,isotonic,7,11,0.7977913743916815,0.36363636363636365
BPIC15_1,duration,B_intake,logit,isotonic,8,60,0.8599095455858181,0.7666666666666667
BPIC15_1,duration,B_intake,logit,isotonic,9,39,0.9313753458590432,0.8974358974358975
BPIC15_1,duration,B_intake,hgb,raw,0,35,0.07293786088998089,0.22857142857142856
BPIC15_1,duration,B_intake,hgb,raw,1,36,0.19493468606025766,0.25
BPIC15_1,duration,B_intake,hgb,raw,2,36,0.3955937755777017,0.1388888888888889
BPIC15_1,duration,B_intake,hgb,raw,3,35,0.4880324241977709,0.4
BPIC15_1,duration,B_intake,hgb,raw,4,38,0.6013021554518077,0.6052631578947368
BPIC15_1,duration,B_intake,hgb,raw,5,36,0.7273040675592957,0.5277777777777778
BPIC15_1,duration,B_intake,hgb,raw,6,36,0.8105152032311961,0.3333333333333333
BPIC15_1,duration,B_intake,hgb,raw,7,36,0.8967830524104724,0.6666666666666666
BPIC15_1,duration,B_intake,hgb,raw,8,36,0.9409762478496595,0.5555555555555556
BPIC15_1,duration,B_intake,hgb,raw,9,36,0.9875427300082943,0.6944444444444444
BPIC15_1,duration,B_intake,hgb,platt,0,34,0.3625115520645048,0.14705882352941177
BPIC15_1,duration,B_intake,hgb,platt,1,38,0.3998038992065589,0.13157894736842105
BPIC15_1,duration,B_intake,hgb,platt,2,36,0.4312567310010118,0.1388888888888889
BPIC15_1,duration,B_intake,hgb,platt,3,36,0.4685904737743558,0.2777777777777778
BPIC15_1,duration,B_intake,hgb,platt,4,36,0.5076906545547993,0.3333333333333333
BPIC15_1,duration,B_intake,hgb,platt,5,36,0.5817054865983851,0.6388888888888888
BPIC15_1,duration,B_intake,hgb,platt,6,35,0.6316975570720244,0.5428571428571428
BPIC15_1,duration,B_intake,hgb,platt,7,37,0.670278811172189,0.5405405405405406
BPIC15_1,duration,B_intake,hgb,platt,8,36,0.7033498204233385,0.75
BPIC15_1,duration,B_intake,hgb,platt,9,36,0.7824028724264892,0.9166666666666666
BPIC15_1,duration,B_intake,hgb,isotonic,0,7,0.3164166672781807,0.14285714285714285
BPIC15_1,duration,B_intake,hgb,isotonic,1,51,0.3959056481808979,0.13725490196078433
BPIC15_1,duration,B_intake,hgb,isotonic,2,45,0.4199326859448914,0.2
BPIC15_1,duration,B_intake,hgb,isotonic,3,41,0.4396635625053049,0.12195121951219512
BPIC15_1,duration,B_intake,hgb,isotonic,4,34,0.5048986114506168,0.47058823529411764
BPIC15_1,duration,B_intake,hgb,isotonic,5,32,0.5769367630657818,0.5
BPIC15_1,duration,B_intake,hgb,isotonic,6,39,0.6609920021748759,0.6153846153846154
BPIC15_1,duration,B_intake,hgb,isotonic,7,36,0.7184291097282434,0.5
BPIC15_1,duration,B_intake,hgb,isotonic,8,38,0.7937878806167064,0.7368421052631579
BPIC15_1,duration,B_intake,hgb,isotonic,9,37,0.9053398667962532,0.9459459459459459
BPIC15_1,duration,B_intake_g,logit,raw,0,36,0.2619618033561364,0.08333333333333333
BPIC15_1,duration,B_intake_g,logit,raw,1,35,0.36357140099942037,0.2
BPIC15_1,duration,B_intake_g,logit,raw,2,32,0.43877213247667857,0.1875
BPIC15_1,duration,B_intake_g,logit,raw,3,40,0.517805368300328,0.175
BPIC15_1,duration,B_intake_g,logit,raw,4,37,0.6448945958881662,0.3783783783783784
BPIC15_1,duration,B_intake_g,logit,raw,5,36,0.7400247988402051,0.5555555555555556
BPIC15_1,duration,B_intake_g,logit,raw,6,36,0.8244445991100133,0.5555555555555556
BPIC15_1,duration,B_intake_g,logit,raw,7,36,0.8711967339807545,0.6388888888888888
BPIC15_1,duration,B_intake_g,logit,raw,8,36,0.9228754924361188,0.8055555555555556
BPIC15_1,duration,B_intake_g,logit,raw,9,36,0.9567774099559954,0.8333333333333334
BPIC15_1,duration,B_intake_g,logit,platt,0,32,0.3387913716793606,0.09375
BPIC15_1,duration,B_intake_g,logit,platt,1,39,0.4073735290308429,0.1794871794871795
BPIC15_1,duration,B_intake_g,logit,platt,2,37,0.4555896481563249,0.13513513513513514
BPIC15_1,duration,B_intake_g,logit,platt,3,36,0.4967527643413649,0.19444444444444445
BPIC15_1,duration,B_intake_g,logit,platt,4,35,0.5737268129725008,0.42857142857142855
BPIC15_1,duration,B_intake_g,logit,platt,5,37,0.6548283691899487,0.5135135135135135
BPIC15_1,duration,B_intake_g,logit,platt,6,32,0.7083126388454605,0.5625
BPIC15_1,duration,B_intake_g,logit,platt,7,40,0.7458857048823508,0.55
BPIC15_1,duration,B_intake_g,logit,platt,8,36,0.8125091446515095,0.8888888888888888
BPIC15_1,duration,B_intake_g,logit,platt,9,36,0.8489367466539552,0.8611111111111112
BPIC15_1,duration,B_intake_g,logit,isotonic,0,27,0.2732406688899473,0.1111111111111111
BPIC15_1,duration,B_intake_g,logit,isotonic,1,45,0.3881626705289227,0.17777777777777778
BPIC15_1,duration,B_intake_g,logit,isotonic,2,33,0.4332449371102056,0.12121212121212122
BPIC15_1,duration,B_intake_g,logit,isotonic,3,39,0.48812065869980176,0.15384615384615385
BPIC15_1,duration,B_intake_g,logit,isotonic,4,36,0.5849711844670478,0.3888888888888889
BPIC15_1,duration,B_intake_g,logit,isotonic,5,27,0.690747135518996,0.5925925925925926
BPIC15_1,duration,B_intake_g,logit,isotonic,6,45,0.7418594660238338,0.4888888888888889
BPIC15_1,duration,B_intake_g,logit,isotonic,7,10,0.7950466340791187,0.6
BPIC15_1,duration,B_intake_g,logit,isotonic,8,51,0.8379750086575833,0.7450980392156863
BPIC15_1,duration,B_intake_g,logit,isotonic,9,47,0.9132985507861767,0.8936170212765957
BPIC15_1,duration,B_intake_g,hgb,raw,0,36,0.06545672117287968,0.2222222222222222
BPIC15_1,duration,B_intake_g,hgb,raw,1,36,0.1763204301573366,0.19444444444444445
BPIC15_1,duration,B_intake_g,hgb,raw,2,36,0.32397679285384556,0.25
BPIC15_1,duration,B_intake_g,hgb,raw,3,36,0.5249429628410082,0.5
BPIC15_1,duration,B_intake_g,hgb,raw,4,36,0.6506994182406631,0.2222222222222222
BPIC15_1,duration,B_intake_g,hgb,raw,5,36,0.7577846579613169,0.6944444444444444
BPIC15_1,duration,B_intake_g,hgb,raw,6,36,0.858440091942795,0.4444444444444444
BPIC15_1,duration,B_intake_g,hgb,raw,7,35,0.9228719504262415,0.45714285714285713
BPIC15_1,duration,B_intake_g,hgb,raw,8,37,0.9589583209537862,0.7297297297297297
BPIC15_1,duration,B_intake_g,hgb,raw,9,36,0.9877906576482537,0.6944444444444444
BPIC15_1,duration,B_intake_g,hgb,platt,0,36,0.3632843321552338,0.16666666666666666
BPIC15_1,duration,B_intake_g,hgb,platt,1,35,0.3989653149751898,0.08571428571428572
BPIC15_1,duration,B_intake_g,hgb,platt,2,37,0.42643895009461,0.10810810810810811
BPIC15_1,duration,B_intake_g,hgb,platt,3,36,0.4554067833401867,0.2777777777777778
BPIC15_1,duration,B_intake_g,hgb,platt,4,36,0.4955501453222172,0.3611111111111111
BPIC15_1,duration,B_intake_g,hgb,platt,5,36,0.5760165873343241,0.6388888888888888
BPIC15_1,duration,B_intake_g,hgb,platt,6,36,0.629917216923439,0.5
BPIC15_1,duration,B_intake_g,hgb,platt,7,35,0.6666503930221471,0.5714285714285714
BPIC15_1,duration,B_intake_g,hgb,platt,8,37,0.706297684697446,0.7297297297297297
BPIC15_1,duration,B_intake_g,hgb,platt,9,36,0.7775905630486741,0.9722222222222222
BPIC15_1,duration,B_intake_g,hgb,isotonic,0,14,0.34120877701780433,0.21428571428571427
BPIC15_1,duration,B_intake_g,hgb,isotonic,1,50,0.3769233939942688,0.1
BPIC15_1,duration,B_intake_g,hgb,isotonic,2,36,0.41444544556642826,0.1111111111111111
BPIC15_1,duration,B_intake_g,hgb,isotonic,3,43,0.43151228913383055,0.23255813953488372
BPIC15_1,duration,B_intake_g,hgb,isotonic,4,37,0.48701824802896826,0.35135135135135137
BPIC15_1,duration,B_intake_g,hgb,isotonic,5,33,0.6060208537476277,0.48484848484848486
BPIC15_1,duration,B_intake_g,hgb,isotonic,6,37,0.6853613079954443,0.6486486486486487
BPIC15_1,duration,B_intake_g,hgb,isotonic,7,38,0.711983795705715,0.5789473684210527
BPIC15_1,duration,B_intake_g,hgb,isotonic,8,29,0.7660342849249323,0.7931034482758621
BPIC15_1,duration,B_intake_g,hgb,isotonic,9,43,0.86160230676194,0.9069767441860465
BPIC13_closed,handover,B_half,logit,raw,0,45,0.13168715141974185,0.15555555555555556
BPIC13_closed,handover,B_half,logit,raw,1,40,0.217081720878101,0.225
BPIC13_closed,handover,B_half,logit,raw,2,49,0.2777662766249946,0.1836734693877551
BPIC13_closed,handover,B_half,logit,raw,3,45,0.31156244591660004,0.26666666666666666
BPIC13_closed,handover,B_half,logit,raw,4,27,0.3514686925727063,0.3333333333333333
BPIC13_closed,handover,B_half,logit,raw,5,61,0.38405089637007794,0.32786885245901637
BPIC13_closed,handover,B_half,logit,raw,6,46,0.43794354064885316,0.5434782608695652
BPIC13_closed,handover,B_half,logit,raw,7,44,0.5097004443250341,0.22727272727272727
BPIC13_closed,handover,B_half,logit,raw,8,42,0.6439725151912339,0.5238095238095238
BPIC13_closed,handover,B_half,logit,raw,9,48,0.8996639979153919,0.0
BPIC13_closed,handover,B_half,logit,platt,0,45,0.2043781977803076,0.08888888888888889
BPIC13_closed,handover,B_half,logit,platt,1,45,0.26602624068119657,0.17777777777777778
BPIC13_closed,handover,B_half,logit,platt,2,43,0.30881456876215785,0.2558139534883721
BPIC13_closed,handover,B_half,logit,platt,3,46,0.3402560932148165,0.3695652173913043
BPIC13_closed,handover,B_half,logit,platt,4,29,0.3667933284229572,0.20689655172413793
BPIC13_closed,handover,B_half,logit,platt,5,60,0.4005122305275556,0.36666666666666664
BPIC13_closed,handover,B_half,logit,platt,6,45,0.44438202971479884,0.37777777777777777
BPIC13_closed,handover,B_half,logit,platt,7,40,0.495045260544609,0.4
BPIC13_closed,handover,B_half,logit,platt,8,45,0.584213348506477,0.4666666666666667
BPIC13_closed,handover,B_half,logit,platt,9,49,0.7704002426214275,0.02040816326530612
BPIC13_closed,handover,B_half,logit,isotonic,0,40,0.18907169879572253,0.15
BPIC13_closed,handover,B_half,logit,isotonic,1,50,0.2649368954029112,0.16
BPIC13_closed,handover,B_half,logit,isotonic,2,41,0.31015434800307995,0.2682926829268293
BPIC13_closed,handover,B_half,logit,isotonic,3,45,0.32963754000331785,0.35555555555555557
BPIC13_closed,handover,B_half,logit,isotonic,4,35,0.34659717558098074,0.4
BPIC13_closed,handover,B_half,logit,isotonic,6,102,0.3662548896661044,0.3627450980392157
BPIC13_closed,handover,B_half,logit,isotonic,7,44,0.4309460216148757,0.25
BPIC13_closed,handover,B_half,logit,isotonic,8,36,0.5802469540984715,0.4722222222222222
BPIC13_closed,handover,B_half,logit,isotonic,9,54,0.822285766158315,0.05555555555555555
BPIC13_closed,handover,B_half,hgb,raw,0,43,0.019381650212149302,0.13953488372093023
BPIC13_closed,handover,B_half,hgb,raw,1,45,0.08409372479180587,0.15555555555555556
BPIC13_closed,handover,B_half,hgb,raw,2,45,0.19582865549975478,0.4222222222222222
BPIC13_closed,handover,B_half,hgb,raw,3,42,0.2863138270455871,0.3333333333333333
BPIC13_closed,handover,B_half,hgb,raw,4,46,0.3644608041437092,0.30434782608695654
BPIC13_closed,handover,B_half,hgb,raw,5,44,0.44356704432091687,0.29545454545454547
BPIC13_closed,handover,B_half,hgb,raw,6,48,0.5557190574547413,0.4166666666666667
BPIC13_closed,handover,B_half,hgb,raw,7,42,0.7286203092908671,0.4523809523809524
BPIC13_closed,handover,B_half,hgb,raw,8,47,0.8238543773365714,0.14893617021276595
BPIC13_closed,handover,B_half,hgb,raw,9,45,0.957883621673399,0.08888888888888889
BPIC13_closed,handover,B_half,hgb,platt,0,40,0.21331986088198138,0.075
BPIC13_closed,handover,B_half,hgb,platt,1,50,0.311435958382502,0.26
BPIC13_closed,handover,B_half,hgb,platt,2,44,0.36524251670408353,0.3409090909090909
BPIC13_closed,handover,B_half,hgb,platt,3,31,0.38355094990061667,0.2903225806451613
BPIC13_closed,handover,B_half,hgb,platt,4,48,0.39813269595035533,0.3125
BPIC13_closed,handover,B_half,hgb,platt,5,54,0.41121336482676163,0.42592592592592593
BPIC13_closed,handover,B_half,hgb,platt,6,46,0.44538107931478754,0.4782608695652174
BPIC13_closed,handover,B_half,hgb,platt,7,44,0.48051130390978736,0.2727272727272727
BPIC13_closed,handover,B_half,hgb,platt,8,34,0.5254787569206374,0.23529411764705882
BPIC13_closed,handover,B_half,hgb,platt,9,56,0.6300676352559316,0.05357142857142857
BPIC13_closed,handover,B_half,hgb,isotonic,0,37,0.21329591180943383,0.10810810810810811
BPIC13_closed,handover,B_half,hgb,isotonic,1,43,0.2976345628586282,0.20930232558139536
BPIC13_closed,handover,B_half,hgb,isotonic,2,41,0.3334134347711012,0.3902439024390244
BPIC13_closed,handover,B_half,hgb,isotonic,3,46,0.3410107007334388,0.5
BPIC13_closed,handover,B_half,hgb,isotonic,4,20,0.34796312755551606,0.2
BPIC13_closed,handover,B_half,hgb,isotonic,5,71,0.36404117009750814,0.23943661971830985
BPIC13_closed,handover,B_half,hgb,isotonic,6,53,0.37452657786230914,0.37735849056603776
BPIC13_closed,handover,B_half,hgb,isotonic,7,30,0.4349788326558855,0.5
BPIC13_closed,handover,B_half,hgb,isotonic,8,61,0.5372961977253391,0.19672131147540983
BPIC13_closed,handover,B_half,hgb,isotonic,9,45,0.7811155623889036,0.06666666666666667
BPIC13_closed,handover,B_intake,logit,raw,0,45,0.08314195704887699,0.1111111111111111
BPIC13_closed,handover,B_intake,logit,raw,1,45,0.14171697024709873,0.06666666666666667
BPIC13_closed,handover,B_intake,logit,raw,2,44,0.19334112119690314,0.1590909090909091
BPIC13_closed,handover,B_intake,logit,raw,3,41,0.25634018660595376,0.2682926829268293
BPIC13_closed,handover,B_intake,logit,raw,4,46,0.3076780353512832,0.2826086956521739
BPIC13_closed,handover,B_intake,logit,raw,5,47,0.3531247199647793,0.23404255319148937
