field_class,Rabobank,ServiceNow-IT,VolvoIT
intake,0.9956632271571706,0.996709206196324,1.0
descriptive,0.9956632271571706,0.9414178505498034,1.0
workflow,0.9956632271571706,0.971085159322578,0.9684935133703997
configuration,0.9956632271571705,0.0021671081146159565,
relational,0.497881461542296,0.005758889156433078,
outcome,0.9810506526522677,0.9983465767718116,1.0
