representation,distinct_naive_base,distinct_naive_full,distinct_honest_base,auc_naive_base,auc_naive_full,auc_honest_base,auc_honest_full
"A0 paper, one-hot intake",23,875,132,0.5623977964686157,0.7458556499672737,0.6442537504512584,0.747589110707169
"A1 intake target-encoded, per field",23,938,133,0.563983058923095,0.7457051614388821,0.6457788681329193,0.74931420457951
"A2 intake target-encoded, composite",19,933,130,0.5671359869400447,0.7458144025761942,0.6491871985223122,0.7481240147927137
A3 naive arm re-encoded only,19,933,132,0.5671359869400447,0.7458144025761942,0.6442537504512584,0.747589110707169
