field,levels,auc,gain
CI Type (aff),13,0.6711497424846194,0.026895992033361016
CI Subtype (aff),61,0.6574891336602374,0.01323538320897899
Service Component WBS (aff),256,0.7220230823346723,0.07776933188341384
CI Name (aff),2554,0.747589110707169,0.10333536025591061
CI Name marginal over WBS,-1,0.74520090517768,0.023177822843007734
