log,target,family,encoding,split,quality,level,quality_level,rung,metric,without_f,with_f,V
BPIC14,duration,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g_km,auc,0.5926295206300228,0.6220893999706354,0.02945987934061256
BPIC14,duration,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g_km,ap,0.509700670183395,0.5363992781664539,0.026698607983058897
BPIC14,duration,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g_km,brier_skill,0.03418078035719718,0.0412895320884582,0.0071087517312610204
BPIC14,duration,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g_km,nagelkerke,0.04578479697030454,0.04791087314233936,0.0021260761720348215
BPIC14,duration,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g_km,logloss_skill,0.025205340539879884,0.02639745667805593,0.001192116138176047
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,auc,0.528359895461084,0.6126391707555918,0.08427927529450785
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,ap,0.45213974138589347,0.5034551800070562,0.05131543862116278
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,brier_skill,0.017289990806529598,0.031267917210702434,0.013977926404172836
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,nagelkerke,0.02289894067262077,0.038859008102860436,0.015960067430239665
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,logloss_skill,0.01249618640884076,0.02133557417761589,0.008839387768775131
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,auc,0.5278057019980354,0.6145930881137611,0.08678738611572567
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,ap,0.45103342359553106,0.5048789080658249,0.05384548447029386
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,brier_skill,0.01810960131942707,0.03198776112466317,0.013878159805236101
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,nagelkerke,0.024004844578150813,0.03990519229193327,0.015900347713782455
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake,logloss_skill,0.01310520418915151,0.021918797403113865,0.008813593213962356
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,auc,0.5549651428250357,0.6351667248051579,0.08020158198012217
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,ap,0.48690385222521737,0.5214399333478273,0.034536081122609974
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,brier_skill,0.035286207522055024,0.04921266737256125,0.013926459850506223
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,nagelkerke,0.04676148753813777,0.06262375247312961,0.015862264934991842
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g,logloss_skill,0.02575273790174426,0.03470157873569524,0.008948840833950977
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g_km,auc,0.5926295206300228,0.6359759674540391,0.04334644682401623
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g_km,ap,0.509700670183395,0.5187840502225429,0.009083380039147881
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g_km,brier_skill,0.03418078035719718,0.04728845086035238,0.0131076705031552
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g_km,nagelkerke,0.04578479697030454,0.0599179717468871,0.01413317477658256
BPIC14,duration,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_intake_g_km,logloss_skill,0.025205340539879884,0.03316721309107873,0.007961872551198845
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,auc,0.5376338646131805,0.6187962418133442,0.08116237720016373
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,ap,0.5269245384376804,0.5942585782370629,0.06733403979938246
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,brier_skill,0.021629000652761965,0.04434332825267684,0.022714327599914874
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,nagelkerke,0.029291375507104502,0.05814936004113511,0.02885798453403061
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_half,logloss_skill,0.01601060946301225,0.03214021955353297,0.01612961009052072
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,auc,0.5322381549324601,0.6188044284690954,0.08656627353663537
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,ap,0.5223926428284252,0.5931197261658324,0.07072708333740718
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,brier_skill,0.021413713157025338,0.0440505735576141,0.022636860400588765
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,nagelkerke,0.028873862790344977,0.057576800837745176,0.0287029380474002
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake,logloss_skill,0.015779879392600726,0.03181666114702164,0.016036781754420915
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,auc,0.5699194765656981,0.6347513942898076,0.06483191772410957
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,ap,0.5514071063290829,0.5981401140395483,0.0467330077104654
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,brier_skill,0.02774964997399132,0.05168093053596012,0.023931280561968804
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,nagelkerke,0.03734028266330412,0.06772560849602059,0.03038532583271647
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g,logloss_skill,0.02047318616752125,0.037573502082244525,0.017100315914723274
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g_km,auc,0.5824019520057307,0.6347503069995906,0.052348354993859814
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g_km,ap,0.5573807531206942,0.597241978430771,0.03986122531007674
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g_km,brier_skill,0.027936078874250758,0.05159659378551518,0.02366051491126442
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g_km,nagelkerke,0.03763163023485537,0.06754054633152749,0.029908916096672122
BPIC14,duration,logistic,frequency,rolling1,clean,1.0,clean/1.0,B_intake_g_km,logloss_skill,0.020635238447293425,0.03746811391561733,0.016832875468323905
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,auc,0.5376338646131805,0.5728786328284896,0.035244768215309086
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,ap,0.5269245384376804,0.5610259082383265,0.03410136980064615
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,brier_skill,0.021629000652761965,0.0036893031879937643,-0.0179396974647682
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,nagelkerke,0.029291375507104502,0.0008337535310262226,-0.02845762197607828
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_half,logloss_skill,0.01601060946301225,0.0004508412305836984,-0.01555976823242855
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,auc,0.5322381549324601,0.5718553648178468,0.03961720988538675
BPIC14,duration,logistic,frequency,rolling1,mask_rare,0.5,mask_rare/0.5,B_intake,ap,0.5223926428284252,0.5581918325481822,0.03579918971975693
