contrast,text,decision_time,cell_a,cell_b,estimate,se,lo,hi,basic_lo,basic_hi,p_raw,n_draws,log,cohort,target,learner,encoding,split,instrument,register,free_field,p_holm,reject_holm_05,p_floor_raw,p_floor_holm
PC1,the register adds to the intake baseline,t_incident,B_intake/clean/1.0,,0.2571802060482109,0.011147798035005744,0.2362740811312568,0.2788030569507586,0.23555735514566323,0.278086330965165,0.0004997501249375312,2000,BPIC14,every incident at terminal state,handover,logit,one-hot,holdout70,auc,CI Name (aff),assignment group,0.002498750624687656,True,0.0004997501249375312,0.0024987506246876563
PC2,the register adds once the free assignment field is admitted,t_incident,B_intake_g/clean/1.0,,0.16727153256753435,0.016177914568309734,0.12718861300620407,0.18998666266923714,0.14455640246583157,0.20735445212886464,0.0004997501249375312,2000,BPIC14,every incident at terminal state,handover,logit,one-hot,holdout70,auc,CI Name (aff),assignment group,0.002498750624687656,True,0.0004997501249375312,0.0024987506246876563
PC3,"the register adds at the later decision time, after the knowledge reference exists","t_incident, knowledge reference admitted",B_intake_g_km/clean/1.0,,0.0076842335265743245,0.0032479177660267007,0.0032690199060136675,0.01596157484117757,-0.0005931077880289223,0.01209944714713498,0.0009995002498750624,2000,BPIC14,every incident at terminal state,handover,logit,one-hot,holdout70,auc,CI Name (aff),assignment group,0.002498750624687656,True,0.0004997501249375312,0.0024987506246876563
PC4,the free assignment field absorbs part of the register's contribution,t_incident,B_intake/clean/1.0,B_intake_g/clean/1.0,0.08990867348067655,0.017551717489102267,0.06275979605622774,0.13138169485358223,0.04843565210777087,0.11705755090512536,0.0004997501249375312,2000,BPIC14,every incident at terminal state,handover,logit,one-hot,holdout70,auc,CI Name (aff),assignment group,0.002498750624687656,True,0.0004997501249375312,0.0024987506246876563
PC5,a register missing its long tail is worth less than a complete one,t_incident,B_intake_g/clean/1.0,B_intake_g/mask_rare/0.5,0.06338907384987913,0.0060654156973069615,0.04937343908755895,0.07309555087710574,0.053682596822652515,0.07740470861219931,0.0004997501249375312,2000,BPIC14,every incident at terminal state,handover,logit,one-hot,holdout70,auc,CI Name (aff),assignment group,0.002498750624687656,True,0.0004997501249375312,0.0024987506246876563
