cells,retained,sd,gain
10,0.09471190032035677,0.06813667597243998,0.007752732954231774
49,0.4130764154110828,0.12427821389421238,0.033812764051204626
100,0.5431735646709105,0.11451855942910626,0.044461990314290094
200,0.6906786022864185,0.09519003675003815,0.056536155885553115
400,0.768926198206386,0.08704164593933847,0.06294118749643039
800,0.8146695044905969,0.062383023511508796,0.0666855494706447
