split,n_groups,entropy,perplexity,top1,top3,top10
train,49,2.4288996439791783,5.3848256875650256,0.620749261424351,0.7486957068326106,0.924036708781193
test,32,1.5083936840353294,2.8449310428301664,0.7857299992667008,0.867126200777297,0.9696414167338857
