log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,boot_shift,sim_lo,sim_hi,raw_lo,raw_hi,sim_resolved,raw_resolved
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,ap,-0.041182505370312,0.01959617584223842,2.4341788529885044,0.008285386901885503,-0.09716848910681845,-0.0017672954375765465,-0.08888310220493295,0.006518091464308956,True,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,auc,-0.0292080698584763,0.03384314423486859,2.4341788529885044,0.0051341645460827,-0.11672250041971594,0.04803803161059794,-0.11158833587363323,0.05317219615668064,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,brier_skill,-0.0145575526355523,0.03498637493793055,2.4341788529885044,-0.019975943871997748,-0.0797447027801921,0.09058148525308299,-0.09972064665218985,0.07060554138108524,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,logloss_skill,-0.0207580062001666,0.032748236583120434,2.4341788529885044,-0.021480875243067098,-0.07899219592039577,0.08043793400619678,-0.10047307116346288,0.05895705876312968,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,scalars,5,nagelkerke,-0.0490785168817825,0.08503407527786336,2.4341788529885044,-0.056461757546179506,-0.19960490716041057,0.21437138848920456,-0.25606666470659006,0.15790963094302507,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.050,0.0,0.0004821934639738853,4.057038159313288,0.0,-0.00195627728351351,0.00195627728351351,-0.00195627728351351,0.00195627728351351,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.075,0.0001813894431343,0.002087987485547877,4.057038159313288,1.0001765041178778e-16,-0.00828965546190214,0.00865243434817054,-0.008289655461902039,0.00865243434817064,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.100,0.0019885657469549,0.003674833667060303,4.057038159313288,-0.0009942828734775002,-0.011926091795960433,0.017891789036825232,-0.012920374669437932,0.01689750616334773,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.125,-0.0006391818472355,0.004307637850171985,4.057038159313288,0.0022371364653242997,-0.0203525694472098,0.014599932822090201,-0.0181154329818855,0.0168370692874145,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.150,0.0027635215159889,0.006019449127263031,4.057038159313288,0.0011185682326621499,-0.022776181524024434,0.02606608809067794,-0.021657613291362288,0.027184656323340085,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.175,0.005152193071656,0.007897762475243717,4.057038159313288,0.0023388244864755506,-0.02922815515007588,0.03485489232043678,-0.02688933066360033,0.03719371680691233,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.200,0.0156599552572706,0.01044916935851196,4.057038159313288,-0.0053131991051454,-0.021419524458194172,0.06336583318302617,-0.026732723563339573,0.05805263407788078,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.225,0.0263404777368838,0.01438069177140288,4.057038159313288,-0.017211517644511752,-0.014791019892508542,0.10189501065529964,-0.03200253753702029,0.0846834930107879,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.250,0.0082028337061894,0.017146342047961515,4.057038159313288,-0.0003728560775540495,-0.06098767419747437,0.07813905376496127,-0.06136053027502842,0.07776619768740722,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.275,0.0037028465632955,0.019678376561301877,4.057038159313288,0.004319987657178101,-0.08045306571642052,0.07921878352865533,-0.07613307805924242,0.08353877118583343,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.300,0.0233301374240971,0.022259694811678075,4.057038159313288,-0.01725790987535955,-0.04972038396618932,0.13089647856510261,-0.06697829384154888,0.11363856868974306,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.325,0.0091142596735437,0.025119457779792746,4.057038159313288,-0.01234567901234555,-0.08045066006798897,0.12337053743976746,-0.09279633908033452,0.11102485842742191,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.350,-0.0111856823266219,0.024622537374747795,4.057038159313288,-0.0003441748408190993,-0.11073608119427224,0.08905306622266664,-0.11108025603509133,0.08870889138184754,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.375,-0.0013422818791946,0.023565099753791455,4.057038159313288,-0.015212527964205799,-0.08173426284414491,0.1094747550141673,-0.09694679080835071,0.0942622270499615,False,False
BPIC13_closed,handover,logit,clean,1.0,B_half,decision-curve,31,nb_0.400,-0.0201342281879194,0.028190365133134908,4.057038159313288,0.00708426547352725,-0.1415878807315498,0.0871508934086565,-0.13450361525802254,0.09423515888218376,False,False
